,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,180000,86000,0,90000,179000,1005000,1048000,649000,614000,1123000,1407000,3229000,2436000,811000,902000,721000,540000,505000,313000,56000,151000,2333000,133000,72000,85000,1678000,223000,90000,0,196000,121000,127000,155000,165000,,299000,78000,55000,75000,118000
IncomeRevenues_yy,,,,,-0.56,1068.60,,621.11,243.02,11.74,34.26,397.53,296.74,-27.78,-35.89,-77.67,-77.83,-37.73,-65.34,-92.22,-72.04,362.00,-57.30,29.29,-43.51,-28.08,66.78,24.27,-100.00,-88.33,-45.82,40.79,,-15.83,-100.00,136.09,-49.71,-66.68,,-60.51
IncomeRevenues_sy,,,,,11.18,145.44,,356.48,26.19,11.74,28.12,18.80,32.47,-2.17,-8.19,-28.69,-35.13,17.58,11.47,-7.92,5.08,4.51,10.94,10.54,-3.64,-20.82,-3.82,17.85,-6.22,30.36,-10.58,-0.04,,-2.78,6.54,21.20,7.18,-9.79,,-11.23
IncomeRevenues_qq,,-52.22,-100.00,,98.89,461.45,4.28,-38.07,-5.39,82.90,25.29,129.50,-24.56,-66.71,11.22,-20.07,-25.10,-6.48,-38.10,-82.07,169.34,1445.11,-94.28,-45.69,17.67,1867.09,-86.73,-59.54,-100.00,,-38.42,5.15,22.26,6.31,-100.00,,-73.96,-29.57,37.45,56.61
IncomeRevenues_sq,,-11.63,-20.44,,43.48,45.26,2.78,6.50,-5.39,14.10,14.93,16.30,-24.56,-13.51,4.98,-15.13,-9.12,12.87,-12.45,-13.66,0.08,98.27,-27.59,-17.72,7.98,6.06,6.74,-1.50,-6.18,,-20.04,6.24,-1.40,8.62,-10.67,,2.38,5.63,-4.20,-10.40
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000,218000,,,112000,197000
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.27,-9.75
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.94,9.08
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.55,-100.00,,,76.18
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.46,0.90,,,-0.85
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-701000,-465000,-521000,-223000,-35000,-866000,681000,-627000,-979000,-931000,363000,218000,-416000,-1546000,-1125000,-1789000,-1910000,-1699000,-2032000,-1704000,-935000,-446000,-556000,-1325000,-483000,-686000,-472000,-245000,0,-366000,-88000,-77000,-31000,-45000,-33000,81000,-66000,-105000,-36000,-79000
IncomeGrossProfit_yy,,,,,95.01,-86.24,230.71,-181.17,-2697.14,-7.51,-46.70,134.77,57.51,-66.06,-409.92,-920.64,-359.13,-9.90,-80.65,4.76,51.02,73.77,72.66,22.21,48.32,-53.95,15.06,81.54,100.00,46.62,81.42,68.50,,87.83,61.87,205.38,-110.45,-135.43,-8.53,-196.95
IncomeGrossProfit_sy,,,,,70.50,228.32,231.90,186.20,15.67,-7.51,48.69,27.24,57.51,-57.96,-24.17,-66.39,-41.74,33.80,-8.63,4.76,51.02,4.70,22.99,21.62,35.78,-50.14,14.00,-18.94,-16.84,118.73,-13.08,37.80,,1.98,28.37,28.50,-2.98,-36.12,-13.62,-17.56
IncomeGrossProfit_qq,,33.67,-12.04,57.20,84.30,-2374.29,178.64,-192.07,-56.14,4.90,138.99,-39.94,-290.83,-271.63,27.23,-59.02,-6.76,11.05,-19.62,16.17,45.10,52.36,-24.66,-138.55,63.52,-41.91,31.22,48.17,100.00,,76.06,12.14,59.28,-42.13,24.99,342.78,-181.31,-59.00,65.42,-116.89
IncomeGrossProfit_sq,,-28.85,-37.20,36.32,87.44,49.61,-36.28,5.89,-13.56,-4.77,19.87,2.63,-43.12,-31.81,27.23,-43.72,1.43,69.53,5.92,-22.42,18.50,59.29,0.18,-25.80,22.10,-25.61,47.48,-16.94,15.40,,-31.12,3.42,12.32,-8.18,-4.48,8.56,-0.36,-7.96,0.25,-8.43
IncomeOtherOperatingIncome,1177000,-7000,243000,252000,301000,-519000,359000,-305000,47000,3000,18000,6000,121000,-155000,758000,-191000,4000,-239000,247000,-163000,90000,-126000,12000,-517000,26000,-2682000,45000,-8000,0,10574000,1000,1000,176000,-18065000,242000,-190000,2000,-1446000,51000,101000
IncomeOtherOperatingIncome_yy,,,,,-74.43,-7314.29,47.74,-221.03,-84.39,100.58,-94.99,101.97,157.45,-5266.67,4111.11,-3283.33,-96.69,-54.19,-67.35,14.64,2148.90,47.49,-94.96,-217.29,-71.39,-2037.22,257.65,98.49,-100.00,494.22,-98.45,114.41,,-270.84,34941.74,-16903.01,-99.12,92.00,-78.73,153.02
IncomeOtherOperatingIncome_sy,,,,,-74.43,49.72,47.74,63.53,77.60,100.58,97.77,-192.13,157.45,-257.77,285.42,96.05,-96.69,146.79,-67.35,100.00,8.61,-23.48,-84.13,-45.36,-39.43,-79.46,86.40,-43.72,18.59,136.78,-60.52,17.84,,-74.64,47.76,-20.88,40.38,86.24,-9.71,153.02
IncomeOtherOperatingIncome_qq,,-100.59,3571.43,3.70,19.44,-272.43,169.17,-184.96,115.41,-93.62,500.00,-66.67,1916.67,-228.10,589.03,-125.20,102.09,-6075.00,203.56,-165.87,155.18,-239.51,109.93,-4249.37,104.98,-10520.47,101.66,-117.57,100.00,,-99.99,63.62,15455.89,-10385.80,101.34,-178.46,100.82,-93360.65,103.56,95.60
IncomeOtherOperatingIncome_sq,,-100.59,102.17,-44.73,28.20,86.92,-41.27,21.79,7.80,171.06,-23.78,-158.74,486.22,-191.95,286.87,-113.79,47.43,181.20,-35.38,-48.31,-26.54,167.09,-44.22,89.42,-55.10,-63.28,101.66,-24.02,84.09,,-73.82,166.41,-7.40,37.08,23.53,9.33,50.63,89.34,-72.63,400.00
IncomeOtherOperatingCosts,870000,527000,425000,406000,473000,-989000,499000,-459000,32000,274000,7000,0,31000,100000,262000,-188000,8000,59000,209000,55000,10000,-19000,43000,101000,23000,25000,16000,6089000,0,78000,6000,49000,13000,2599000,105000,-105000,5000,355000,,34000
IncomeOtherOperatingCosts_yy,,,,,-45.63,-287.67,17.41,-213.05,-93.23,127.70,-98.60,100.00,-3.12,-63.50,3642.86,,-74.19,-41.00,-20.42,129.16,28.31,-132.41,-79.50,83.58,123.96,232.51,-63.03,5951.53,-100.00,208.01,-63.09,-99.20,,3230.83,1700.86,-315.96,-61.52,-86.36,-100.00,132.37
IncomeOtherOperatingCosts_sy,,,,,151.72,-91.02,-72.44,-43.75,-37.64,69.83,34.52,31.74,-3.12,-63.50,285.71,,-74.19,-72.96,27.62,-74.93,-31.63,-44.61,-29.48,83.58,30.96,-60.70,-63.03,9.35,-10.91,20.31,-56.36,-34.94,,-39.82,9.33,166.64,-14.44,-43.21,-24.92,-51.57
IncomeOtherOperatingCosts_qq,,-39.43,-19.35,-4.47,16.50,-309.09,150.46,-191.98,106.97,756.25,-97.45,-100.00,,222.58,162.00,-171.76,104.26,637.50,253.41,-73.71,-81.27,-286.25,323.56,135.41,-77.15,10.20,-37.62,38429.70,-100.00,,-92.53,733.46,-72.47,19323.23,-95.96,-199.95,104.90,6785.34,-100.00,
IncomeOtherOperatingCosts_sq,,15353.86,-78.89,-46.15,5.57,184.20,-92.44,165.06,62.75,406.22,-94.25,25.00,,222.58,-80.50,163.09,-33.24,321.36,-27.65,-15.78,-67.01,309.90,-56.66,107.95,-55.09,16.29,-37.62,4.48,-72.86,,-65.77,96.63,-36.96,179.19,-28.80,131.86,-32.30,-33.75,-80.85,
IncomeEBIT,-394000,-999000,-703000,-377000,-207000,-396000,541000,-473000,-964000,-1202000,374000,224000,-326000,-1801000,-629000,-1792000,-1914000,-1997000,-1993000,-1922000,-856000,-552000,-586000,-1943000,-481000,-3394000,-443000,-6342000,0,10130000,-93000,-125000,131000,-20708000,103000,-4000,-70000,-1905000,15000,-12000
IncomeEBIT_yy,,,,,47.46,60.36,176.96,-25.46,-365.70,-203.54,-30.87,147.36,66.18,-49.83,-268.18,-900.00,-487.12,-10.88,-216.91,-7.23,55.29,72.36,70.61,-1.13,43.82,-514.74,24.36,-226.34,100.00,398.49,79.05,98.04,,-304.43,211.28,97.16,-153.19,90.80,-85.35,-242.70
IncomeEBIT_sy,,,,,47.46,126.17,157.67,186.42,18.88,-29.86,48.62,24.85,66.18,-63.11,-29.55,-68.88,-88.15,75.66,-10.08,-3.24,55.29,0.38,37.30,8.14,35.17,-59.52,17.56,-23.00,-12.42,136.50,-12.82,4.40,,-24.92,22.55,28.80,-0.86,3.80,-13.55,-18.77
IncomeEBIT_qq,,-153.55,29.63,46.37,45.09,-91.30,236.62,-187.43,-103.81,-24.69,131.11,-40.11,-245.54,-452.45,65.07,-184.90,-6.81,-4.34,0.18,3.60,55.47,35.49,-6.12,-231.70,75.26,-605.97,86.94,-1331.11,100.00,,-100.92,-34.14,205.10,-15922.86,100.50,-103.42,-1869.81,-2636.60,100.79,-180.05
IncomeEBIT_sq,,-153.55,29.63,30.16,52.40,41.80,-15.40,5.34,-18.50,-23.55,102.76,-12.20,-19.72,-86.96,65.07,-48.11,-6.81,72.76,2.57,-21.23,18.36,56.36,11.73,-27.54,40.43,-79.22,86.94,-15.00,6.48,,-32.07,-5.65,16.23,-10.10,-2.81,-4.90,11.22,-7.08,-12.12,-10.52
IncomeFinanceIncome,6649000,-8841000,127000,1609000,-1358000,-3000,116000,279000,404000,192000,0,824000,44000,135000,106000,69000,64000,84000,53000,38000,40000,42000,7000,58000,18000,30000,12000,4000,0,96000,221000,226000,1000,283000,3000,0,2000,1449000,,0
