,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2054000,3433000,2126000,3600000,2002000,4982000,6142000,6968000,4708000,5161000,7405000,8719000,5184000,4536000,4529000,10915000,3471000,3966000,5483000,8303000,4242000,4900000,6142000,10541000,4581000,8047000,10134000,6536000,6810000,6790000,6070000,7406000,7050000,6287000,10583000,13484000,6261000,9778000,9816000,7526000,6558000,10073000,12867000,12041000,10285000,9030000,9809000,12169000,9718000,10532000
IncomeRevenues_yy,,,,,-2.53,45.12,188.90,93.56,135.16,3.59,20.56,25.13,10.11,-12.11,-38.84,25.19,-33.04,-12.57,21.06,-23.93,22.21,23.55,12.02,26.95,7.99,64.22,65.00,-37.99,48.66,-15.62,-40.10,13.31,3.52,-7.41,74.35,82.07,-11.19,55.53,-7.25,-44.19,4.74,3.02,31.08,59.99,56.83,-10.35,-23.77,1.06,-5.51,16.63
IncomeRevenues_sy,,,,,34.12,54.48,20.68,76.41,28.54,26.77,11.44,12.00,2.52,-7.36,-8.78,-12.53,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,67.14,-38.07,69.33,-44.39,148.85,23.28,13.45,-32.43,9.62,43.48,17.74,-40.54,-12.50,-0.15,141.00,-68.20,14.26,38.25,51.43,-48.91,15.51,25.35,71.62,-56.54,75.66,25.94,-35.50,4.19,-0.29,-10.60,22.01,-4.81,-10.82,68.33,27.41,-53.57,56.17,0.39,-23.33,-12.86,53.60,27.74,-6.42,-14.58,-12.20,8.63,24.06,-20.14,8.38
IncomeRevenues_sq,,21.28,-5.20,48.49,-28.59,24.70,-2.87,56.48,-25.78,15.66,-5.90,37.14,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,1749000,2182000,1506000,2012000,1304000,3297000,4801000,5394000,3334000,3452000,5204000,6968000,3184000,2969000,3496000,7922000,2689000,2606000,4481000,5991000,3086000,3477000,4732000,8345000,3427000,6521000,8382000,5210000,5464000,5600000,4590000,6230000,5570000,4839000,8592000,10922000,4719000,8227000,8311000,5631000,4702000,8657000,10421000,10441000,8523000,8043000,7430000,10059000,7762000,9667000
IncomeCostOfSales_yy,,,,,-25.44,51.10,218.79,168.09,155.67,4.70,8.39,29.18,-4.50,-13.99,-32.82,13.69,-15.55,-12.23,28.18,-24.38,14.76,33.42,5.60,39.29,11.05,87.55,77.13,-37.57,59.44,-14.12,-45.24,19.58,1.94,-13.59,87.19,75.31,-15.28,70.01,-3.27,-48.44,-0.36,5.23,25.39,85.42,81.26,-7.09,-28.70,-3.66,-8.93,20.19
IncomeCostOfSales_sy,,,,,19.90,68.92,17.75,92.79,19.50,30.53,13.03,13.38,2.39,-10.42,-11.87,-12.92,-5.98,-1.76,18.01,17.01,7.93,8.31,5.36,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,24.76,-30.98,33.60,-35.19,152.84,45.62,12.35,-38.19,3.54,50.75,33.90,-54.31,-6.75,17.75,126.60,-66.06,-3.09,71.95,33.70,-48.49,12.67,36.09,76.35,-58.93,90.28,28.54,-37.84,4.88,2.49,-18.04,35.73,-10.59,-13.12,77.56,27.12,-56.79,74.34,1.02,-32.25,-16.50,84.11,20.38,0.19,-18.37,-5.63,-7.62,35.38,-22.84,24.54
IncomeCostOfSales_sq,,14.06,-0.82,22.23,-26.93,29.42,-2.54,43.90,-30.12,17.54,-9.08,32.78,-37.76,4.60,-15.34,36.62,-25.54,9.85,2.19,33.71,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
IncomeDistributionExpenses,98000,127000,196000,141000,202000,187000,315000,488000,203000,236000,294000,285000,223000,234000,312000,281000,270000,240000,253000,322000,236000,171000,210000,154000,235000,289000,204000,310000,392000,405000,451000,310000,332000,392000,563000,426000,419000,533000,534000,441000,433000,575000,574000,414000,459000,484000,623000,689000,646000,730000
IncomeDistributionExpenses_yy,,,,,106.12,47.24,60.71,246.10,0.50,26.20,-6.67,-41.60,9.85,-0.85,6.12,-1.40,21.08,2.56,-18.91,14.59,-12.59,-28.75,-17.00,-52.17,-0.42,69.01,-2.86,101.30,66.81,40.14,121.08,,-15.31,-3.21,24.83,37.42,26.20,35.97,-5.15,3.52,3.34,7.88,7.49,-6.12,6.00,-15.83,8.54,66.43,40.74,50.83
IncomeDistributionExpenses_sy,,,,,29.85,12.38,21.53,71.37,21.04,39.38,31.86,15.37,16.04,3.20,0.34,-16.50,-1.10,11.57,17.82,25.57,10.47,30.27,-2.97,-6.27,2.73,-15.66,1.63,9.14,8.98,23.78,10.38,,1.27,8.10,2.60,6.19,8.45,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23,7.24
IncomeDistributionExpenses_qq,,29.59,54.33,-28.06,43.26,-7.43,68.45,54.92,-58.40,16.26,24.58,-3.06,-21.75,4.93,33.33,-9.94,-3.91,-11.11,5.42,27.27,-26.71,-27.54,22.81,-26.67,52.60,22.98,-29.41,51.96,26.45,3.32,11.36,-31.26,7.10,18.07,43.62,-24.33,-1.64,27.21,0.19,-17.42,-1.81,32.79,-0.17,-27.87,10.87,5.45,28.72,10.59,-6.24,13.00
IncomeDistributionExpenses_sq,,11.48,0.06,29.88,-8.15,11.55,3.40,54.92,-28.14,21.80,-10.64,46.15,-28.79,1.12,-8.48,16.14,-16.09,8.07,4.82,27.24,-26.71,8.28,-14.55,19.56,-10.27,5.33,-1.88,29.42,-20.68,3.64,0.64,15.29,-15.59,12.78,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52,4.92
IncomeAdministrativExpenses,608000,429000,353000,524000,677000,1161000,921000,1616000,1032000,1178000,1259000,1394000,1031000,1368000,506000,1355000,1051000,1251000,772000,1507000,1114000,1113000,1078000,1107000,894000,1003000,957000,1019000,1002000,1042000,933000,733000,891000,1104000,989000,1055000,1008000,1032000,968000,1037000,1194000,789000,1005000,849000,972000,1037000,895000,1056000,1050000,1147000
IncomeAdministrativExpenses_yy,,,,,11.35,170.63,160.91,208.40,52.44,1.46,36.70,-13.74,-0.10,16.13,-59.81,-2.80,1.94,-8.55,52.57,11.22,5.99,-11.03,39.64,-26.54,-19.75,-9.88,-11.22,-7.95,12.08,3.89,-2.51,-28.07,-11.08,5.95,6.00,43.93,13.13,-6.52,-2.12,-1.71,18.45,-23.55,3.82,-18.13,-18.59,31.43,-10.95,24.38,8.02,10.61
IncomeAdministrativExpenses_sy,,,,,9.95,20.00,39.72,25.08,46.15,18.14,44.04,22.70,6.17,11.33,-2.94,-15.02,-2.63,-5.60,5.88,11.22,10.01,0.58,5.88,-3.42,4.80,3.78,-0.61,1.31,2.68,-0.50,4.22,7.63,0.81,3.47,1.59,2.67,6.10,4.48,9.38,3.20,3.18,6.89,-1.84,4.29,3.99,4.66,5.10,0.81,7.38,7.83
IncomeAdministrativExpenses_qq,,-29.44,-17.72,48.44,29.20,71.49,-20.67,75.46,-36.14,14.15,6.88,10.72,-26.04,32.69,-63.01,167.79,-22.44,19.03,-38.29,95.21,-26.08,-0.09,-3.14,2.69,-19.24,12.19,-4.59,6.48,-1.67,3.99,-10.46,-21.44,21.56,23.91,-10.42,6.67,-4.45,2.38,-6.20,7.13,15.14,-33.92,27.38,-15.52,14.49,6.69,-13.69,17.99,-0.57,9.24
IncomeAdministrativExpenses_sq,,-0.60,-6.71,35.41,-9.22,25.27,1.22,28.32,1.80,8.80,2.00,19.98,-21.06,4.27,-12.80,8.80,-7.80,9.12,-6.44,21.12,-19.23,12.06,-2.96,10.19,-19.19,7.27,-5.92,14.86,-5.56,3.99,-1.40,16.87,-10.45,4.86,-5.50,15.70,-6.90,3.22,-5.40,15.59,-5.06,0.66,-1.20,12.78,1.38,2.96,-0.94,8.67,-1.87,6.94
IncomeGrossProfit,-401000,695000,71000,923000,-181000,337000,105000,-530000,139000,295000,648000,72000,746000,-35000,215000,1357000,-539000,-131000,-23000,483000,-194000,139000,122000,935000,25000,234000,591000,-3000,-48000,-257000,96000,133000,257000,-48000,439000,1081000,115000,-14000,3000,417000,229000,52000,867000,337000,331000,-534000,861000,365000,260000,-1012000
IncomeGrossProfit_yy,,,,,54.86,-51.51,47.89,-157.42,176.80,-12.46,517.14,113.58,436.69,-111.86,-66.82,1784.72,-172.25,-274.29,-110.70,-64.41,64.01,206.11,630.43,93.58,112.89,68.35,384.43,-100.32,-292.00,-209.83,-83.76,4533.33,635.42,81.32,357.29,712.78,-55.25,70.83,-99.32,-61.42,99.13,471.43,28800.00,-19.18,44.54,-1126.92,-0.69,8.31,-21.45,-89.51
IncomeGrossProfit_sy,,,,,48.06,10.03,-9.53,57.55,9.76,21.52,-24.71,17.05,-60.69,-97.89,-49.70,-9.16,6.46,23.35,39.94,32.72,20.88,39.07,104.80,12.85,33.20,-26.39,4.27,45.34,11.95,70.90,34.56,15.12,15.43,20.12,18.11,27.29,11.32,21.78,28.36,-25.10,-12.94,2.34,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81,15.05
