,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,696000,417000,694000,935000,1872000,1081000,2088000,1511000,2141000,1540000,2936000,2559000,6732000,3043000,4196000,4327000,5753000,6169000,5801000,3141000,3801000,2562000,3083000,5940000,4783000,5052000,5068000,5078000,7182000,6458000,7257000
IncomeCostOfSales,,302000,576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000,115000,118000
IncomeGrossProfit,206000,863000,-109000,859000,19000,673000,132000,935000,373000,2000000,382000,106000,1467000,-826000,549000,-662000,-1772000,-1127000,-2192000,-2267000,-1122000,-5440000,-324000,-1424000,-890000,-1413000,-211000,-459000,0,1000,2000
IncomeOtherOperatingIncome,2000,210000,10000,10000,152000,353000,-167000,55000,309000,42000,57000,608000,192000,767000,-76000,311000,417000,195000,195000,376000,352000,187000,186000,126000,217000,173000,0,,2000,-2000,3000
IncomeOtherOperatingCosts,0,0,69000,20000,41000,-2000,187000,146000,85000,77000,417000,,,,,,,,,259000,115000,117000,209000,863000,101000,869000,29000,756000,465000,727000,430000
IncomeEBIT,1818000,691000,-39000,1378000,-303000,664000,182000,-1848000,-1233000,-1775000,-2072000,-927000,-5064000,28000,-1237000,-704000,-1287000,6000,-286000,1000,2000,3000,5000,16000,4000,1000,3000,-3000,11000,13000,7000
IncomeFinanceIncome,2000,48000,47000,31000,26000,22000,20000,18000,11000,5000,8000,2000,2000,2000,3000,1000,1000,1000,8000,8000,0,0,0,4000,9000,-1000,14000,7000,9000,5000,1000
IncomeFinanceCosts,8000,5000,12000,-4000,2000,2000,11000,16000,6000,5000,55000,89000,93000,,,,,,,,,,,,,,,2225000,1000,-1000,
