,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,152762000,159055000,183873000,362428000,182493000,150160000,174203000,420206000,266302000,332084000,236910000,366636000,208782000,272238000,180574000,334075000,140376000,141149000,126840000,154864000,104188000,118636000,122198000,169546000,111987000,106539000,129224000,218271000,165612000,96691000,95601000,122995000,148138000,105809000,120617000,126333000,144054000,85662000,103834000,95755000,139774000,104518000,86064000,68651000,119054000,73654000,83605000,45951000,96637000,80964000,76550000
IncomeCostOfSales,101643000,108586000,138257000,290388000,137535000,117519000,137123000,321253000,234740000,303812000,216891000,295548000,185306000,218561000,144792000,260975000,121734000,178989000,106243000,120557000,90616000,99538000,103976000,141068000,89101000,90166000,103097000,186440000,134221000,76587000,75566000,100082000,117881000,85688000,97554000,104769000,118256000,71587000,84927000,84184000,115172000,91203000,66799000,83405000,100214000,84393000,71559000,114565000,78088000,67639000,67949000
IncomeDistributionExpenses,13413000,14846000,14925000,16998000,12154000,13605000,12595000,31293000,18448000,14259000,17003000,24855000,14102000,17541000,13064000,20109000,13737000,26443000,7722000,7326000,7672000,6439000,8764000,7433000,6950000,7595000,5918000,6341000,5731000,5622000,4928000,5614000,4453000,3620000,4589000,3809000,5709000,4965000,5423000,6109000,7268000,6268000,5835000,4696000,5878000,5824000,5830000,3740000,3915000,3006000,2726000
IncomeAdministrativExpenses,29810000,27647000,22797000,34956000,27963000,33114000,24872000,73615000,34723000,47003000,48533000,29890000,32929000,41211000,21122000,30890000,24117000,29988000,21954000,23876000,23804000,25135000,20201000,25540000,14928000,8153000,18713000,19467000,14144000,11125000,12820000,12998000,13512000,12622000,14274000,12457000,13263000,11096000,11199000,10542000,9991000,10002000,10397000,8696000,10670000,9036000,9157000,7731000,7953000,8416000,8221000
IncomeGrossProfit,7896000,7976000,7894000,20086000,4841000,-14078000,-387000,-5955000,-21609000,-32990000,-45517000,16343000,-23555000,-5075000,1596000,22101000,-19212000,-94271000,-9079000,3105000,-17904000,-12476000,-10743000,-4495000,1008000,625000,1496000,6023000,11516000,3357000,2287000,4301000,12292000,3879000,4200000,5298000,6826000,-1986000,2285000,-5080000,7343000,-2955000,3033000,-28146000,2292000,-25599000,-2941000,-80085000,6681000,1903000,-2346000
IncomeOtherOperatingIncome,1124000,1445000,643000,2091000,344000,1811000,4523000,4076000,1248000,2187000,1970000,24046000,1741000,2087000,10120000,5993000,4371000,10445000,4278000,1244000,1101000,687000,2855000,2285000,1187000,635000,242000,1013000,435000,794000,3042000,3134000,951000,258000,1705000,702000,806000,911000,416000,1748000,358000,2931000,-1761000,941000,173000,112000,14000,-43000,945000,1940000,-136000
IncomeOtherOperatingCosts,997000,1159000,215000,12715000,520000,2146000,247000,5613000,763000,20480000,11032000,-14596000,3030000,-1972000,2685000,-256000,1284000,1572000,-180000,1796000,651000,1903000,579000,1923000,828000,1088000,375000,1943000,2819000,480000,1803000,5505000,3451000,195000,234000,3472000,632000,376000,385000,587000,422000,51000,213000,210000,466000,2442000,200000,15743000,301000,173000,2672000
IncomeEBIT,8023000,8262000,8322000,9462000,4665000,-14413000,3889000,-7492000,-21124000,-51283000,-54579000,54985000,-24844000,-1016000,9031000,28350000,-16125000,-85398000,-4621000,2553000,-17454000,-13692000,-8467000,-4133000,1367000,172000,1363000,5093000,9132000,3671000,3526000,1930000,9792000,3942000,5671000,2528000,7000000,-1451000,2316000,-3919000,7279000,-75000,1059000,-27415000,1999000,-27929000,-3127000,-95871000,7325000,3670000,-5154000
IncomeFinanceIncome,2718000,1853000,1481000,1372000,1054000,684000,217000,723000,966000,497000,2505000,-1688000,3696000,-895000,651000,1786000,1088000,-598000,1311000,637000,908000,845000,-438000,704000,166000,162000,481000,228000,299000,503000,148000,395000,203000,226000,484000,1180000,205000,169000,40000,27000,89000,68000,32000,371000,123000,-52000,126000,249000,10000,42000,630000
IncomeFinanceCosts,5194000,5007000,4548000,5208000,5628000,1833000,704000,1867000,3534000,3750000,5414000,2772000,3970000,1301000,3666000,5216000,2995000,1611000,2585000,2660000,2587000,2552000,2143000,3814000,2460000,1211000,1232000,1953000,2162000,2260000,1642000,1506000,1435000,1378000,1154000,1390000,1309000,1133000,673000,1311000,929000,1070000,597000,1261000,770000,730000,789000,1038000,1144000,847000,955000
IncomeOtherIncome,-2000,-6000,4000,0,-9000,14000,-13000,34000,-41000,91000,53000,-60000,0,15000,2000,179000,37000,-29000,-83000,38000,-184000,403000,-642000,9000,-17000,-177000,-26000,14000,-40000,0,,14000,-203000,-512000,-6000,-7000,-7000,-7000,-145000,-22000,-589000,-98000,-437000,-348000,-195000,30000,0,-13000,5545000,5102000,5259000
IncomeNetGrossProfit,5626000,82000,-15548000,3389000,-8602000,-23733000,-54445000,-57435000,50465000,-25118000,-3197000,6018000,25099000,-17995000,-87636000,-5978000,568000,-19317000,-14996000,-11690000,-7234000,-944000,-1054000,586000,3382000,7269000,1874000,2032000,859000,8560000,2790000,5015000,2115000,5384000,-2421000,1676000,-5210000,6432000,-1222000,472000,-28894000,1254000,-29148000,-4138000,-96855000,6221000,2865000,-5492000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5545000,5102000,5259000
IncomeBeforeTaxProfit,5626000,82000,-15548000,3389000,-8602000,-23733000,-54445000,-57435000,50465000,-25118000,-3197000,6018000,25099000,-17995000,-87636000,-5978000,568000,-19317000,-14996000,-11690000,-7234000,-944000,-1054000,586000,3382000,7269000,1874000,2032000,859000,8560000,2790000,5015000,2115000,5384000,-2421000,1676000,-5210000,6432000,-1222000,472000,-28894000,1254000,-29148000,-4138000,-96855000,6221000,2865000,-5492000,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450000,3789000,3504000
IncomeNetProfit,1149000,-913000,-13412000,2472000,-8746000,-24752000,-48801000,-50077000,42504000,-26295000,1629000,3728000,19609000,-16979000,-75385000,-3738000,-8197000,-17113000,-13638000,-12363000,-7180000,-1154000,1356000,1302000,6676000,7160000,1027000,1146000,929000,6053000,2160000,3964000,834000,4133000,350000,1493000,-10186000,3441000,-481000,-1833000,-27747000,1167000,-24449000,-1225000,-98808000,5598000,-2238000,-5016000,3436000,3908000,3540000
IncomeShareholderNetProfit,566000,-935000,-13404000,2359000,-15615000,-17411000,-40358000,-50125000,42279000,-26315000,1495000,3728000,19608000,-17033000,-75495000,-3726000,-8258000,-17057000,-13688000,-12343000,-7332000,-1178000,1354000,1304000,6597000,7123000,1085000,1159000,863000,5943000,2237000,4003000,784000,4139000,373000,1510000,-10206000,3399000,-468000,-1833000,-27785000,1145000,-24462000,-1225000,-98808000,5598000,-2238000,-5016000,,,
BalanceNoncurrentAssets,120705000,123537000,129937000,126345000,126658000,365280000,364219000,,318482000,304034000,299056000,280299000,275907000,277683000,238145000,235215000,230882000,225316000,217312000,219528000,235074000,230260000,228493000,229461000,223808000,223296000,224861000,221816000,219110000,220517000,220709000,216326000,212098000,215074000,212482000,214182000,208776000,207077000,210758000,203082000,200777000,194439000,194226000,64381000,71384000,73082000,71959000,72767000,284863000,279282000,
BalanceIntangibleAssets,250164000,243648000,235903000,227204000,221316000,218103000,208634000,205084000,201802000,197526000,194976000,194443000,205351000,202942000,202658000,201185000,199491000,199476000,199248000,201111000,201055000,202355000,202411000,200890000,199857000,197464000,195303000,194197000,193793000,192204000,192708000,179650000,179074000,178333000,177737000,38863000,37527000,37426000,37362000,33140000,57373000,54914000,,42161000,38715000,35412000,31511000,29821000,25599000,19949000,18041000
BalanceProperty,16257000,11491000,10133000,8782000,13657000,12753000,12022000,11510000,10841000,11305000,10346000,9678000,8671000,8306000,7589000,6636000,5691000,10522000,10106000,9431000,8424000,7949000,7349000,6663000,5988000,5460000,4875000,1035000,774000,968000,1025000,898000,2477000,3160000,,1759000,2855000,1690000,3747000,7658000,3702000,4806000,5410000,4150000,7778000,5607000,7292000,4205000,3665000,3804000,7923000
BalanceNoncurrentReceivables,6965000,6925000,6439000,3552000,3565000,2782000,3804000,3447000,3170000,3162000,3171000,3169000,3451000,3245000,3161000,4073000,2383000,3126000,3310000,1230000,1174000,3204000,3195000,3208000,3562000,6200000,,2703000,1611000,753000,1827000,1650000,2187000,1590000,1421000,1793000,1780000,1767000,1646000,1542000,1489000,1473000,191000,191000,4056000,3853000,3401000,3401000,3394000,3387000,3380000
