,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,30441000,35514000,36788000,40679000,40474000,41418000,43718000,44950000,43913000,45663000,46259000,48633000,49042000,52816000,56222000,54009000,54920000,50469000,54277000,56416000,58089000,57219000,62935000,65596000,68324000,68120000,71662000,76524000,79282000,81407000,86515000,90632000,91904000
IncomeRevenues_yy,,,20.85,,,16.62,18.84,10.50,8.50,10.25,5.81,8.19,11.68,15.66,21.54,11.05,11.99,-4.44,-3.46,4.46,5.77,13.37,15.95,16.27,17.62,19.05,13.87,16.66,16.04,19.51,20.73,18.44,15.92
IncomeRevenues_sy,,,19.42,,,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,,3.59,10.58,-0.50,2.33,5.55,2.82,-2.31,3.99,1.31,5.13,0.84,7.70,6.45,-3.94,1.69,-8.10,7.55,3.94,2.97,-1.50,9.99,4.23,4.16,-0.30,5.20,6.78,3.60,2.68,6.27,4.76,1.40
IncomeRevenues_sq,,,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,27441000,30976000,34708000,35120000,36258000,36536000,38861000,43723000,43022000,43098000,45459000,46245000,44547000,45785000,50695000,49579000,50328000,43776000,49081000,51614000,53766000,51574000,58575000,62118000,62511000,60093000,67281000,70689000,72405000,74647000,87920000,85599000,89185000
IncomeCostOfSales_yy,,,26.48,,,17.95,11.97,24.50,18.66,17.96,16.98,5.77,3.54,6.23,11.52,7.21,12.98,-4.39,-3.18,4.10,6.83,17.81,19.34,20.35,16.26,16.52,14.86,13.80,15.83,24.22,30.68,21.09,23.18
IncomeCostOfSales_sy,,,11.30,,,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,,12.05,1.19,3.24,0.77,6.36,12.51,-1.60,0.18,5.48,1.73,-3.67,2.78,10.72,-2.20,1.51,-13.02,12.12,5.16,4.17,-4.08,13.57,6.05,0.63,-3.87,11.96,5.07,2.43,3.10,17.78,-2.64,4.19
IncomeCostOfSales_sq,,,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
