,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,33471000,29131000,39518000,25858000,44118000,70470000,54553000,47178000,40383000,84340000,63726000,50141000,73137000,92911000,60812000,48440000,63344000,78719000,68011000,64411000,74390000,91141000,69985000,68931000,74953000,96174000,78772000,60422000,87098000,134845000,110307000,108905000
IncomeCostOfSales,23371000,24214000,24158000,16818000,24417000,41456000,24725000,33455000,29915000,46568000,40516000,38486000,46294000,47032000,33117000,38317000,39970000,53197000,37534000,40931000,44856000,50722000,41484000,52027000,57864000,55066000,55513000,50749000,62572000,80710000,72139000,84596000
IncomeDistributionExpenses,1457000,3587000,1849000,1626000,2818000,2874000,2367000,2596000,2946000,4132000,3956000,4465000,2448000,630000,2412000,1731000,1688000,1333000,1338000,1404000,2224000,4974000,3488000,3419000,5475000,3991000,4454000,3762000,6990000,7105000,6828000,8256000
IncomeAdministrativExpenses,778000,2380000,1121000,1202000,2303000,1305000,1276000,1759000,1354000,1330000,2118000,1851000,2648000,-852000,1335000,1036000,1408000,957000,1125000,1287000,1227000,1073000,1056000,1532000,995000,1279000,1306000,1482000,1191000,1528000,1325000,2123000
IncomeGrossProfit,7865000,-1049000,12390000,6211000,14580000,24834000,26185000,9369000,6168000,32310000,17136000,5338000,21746000,46102000,23947000,7356000,20278000,23232000,28014000,20788000,26084000,34373000,23956000,11953000,10619000,35837000,17498000,4429000,16346000,45501000,30015000,13931000
IncomeOtherOperatingIncome,1293000,9441000,3534000,3283000,2798000,1220000,1388000,1532000,499000,9000,231000,1483000,3085000,7391000,1074000,2941000,2519000,2174000,4076000,4088000,4096000,6097000,857000,450000,956000,2562000,107000,163000,705000,1765000,222000,176000
IncomeOtherOperatingCosts,167000,2356000,327000,1866000,1293000,776000,184000,891000,362000,1153000,538000,1254000,-893000,1488000,431000,198000,603000,39000,347000,264000,827000,2458000,932000,322000,73000,-330000,67000,100000,906000,-129000,109000,622000
IncomeEBIT,8991000,6035000,15597000,7628000,16085000,25279000,27389000,10010000,6305000,31166000,16829000,5567000,25725000,52005000,24591000,10099000,22194000,25368000,31743000,24612000,29354000,38012000,23881000,12080000,11502000,38730000,17538000,4492000,16145000,47394000,30128000,13486000
IncomeFinanceIncome,231000,836000,720000,1519000,-580000,1661000,839000,773000,432000,477000,241000,255000,-53000,214000,206000,116000,3278000,1820000,4281000,2417000,-4157000,3281000,748000,1656000,906000,5496000,639000,474000,55000,122000,546000,711000
IncomeFinanceCosts,842000,403000,742000,578000,5502000,-1258000,483000,-217000,118000,428000,372000,342000,-41000,3437000,804000,-58000,425000,2181000,1056000,1367000,736000,1564000,1421000,1835000,158000,899000,1215000,6338000,1293000,-3192000,5312000,2625000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,8380000,6468000,15574000,8569000,10003000,28197000,27744000,10999000,6620000,31216000,16699000,5481000,25712000,48782000,23993000,10272000,25046000,25006000,34968000,25663000,24461000,39729000,23208000,11901000,12250000,43327000,16962000,-1371000,14907000,50709000,25362000,11573000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,8380000,6468000,15574000,8569000,10003000,28197000,27744000,10999000,6620000,31216000,16699000,5481000,25712000,48782000,23993000,10272000,25046000,25006000,34968000,25663000,24461000,39729000,23208000,11901000,12250000,43327000,16962000,-1371000,14907000,50709000,25362000,11573000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,8134000,7748000,15515000,8467000,8808000,29762000,27588000,10982000,6588000,30494000,16598000,5461000,25522000,49141000,23863000,10242000,25046000,24564000,34785000,25482000,24287000,37521000,22937000,11782000,12173000,43105000,16950000,-1523000,14856000,52098000,25020000,11520000
