,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3806000,3101000,5138000,5230000,611000,1290000,1154000,2265000,2792000,4331000,4098000,3272000,3359000,2900000,1972000,2044000,2875000,2209000,3531000,2776000,3034000,3394000,3899000,5028000,4815000,4379000,4852000,4697000,3992000,4377000,4337000,4270000,4612000,5175000,4832000,5055000,4580000,4780000,4746000,4790000,4225000,4955000,5514000,6201000,6391000,6813000,7600000,9488000,9966000,9654000
IncomeCostOfSales,3487000,2921000,4067000,4631000,11000,537000,47000,303000,33000,571000,598000,285000,812000,-7000,59000,-675000,130000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000,83000,247000,233000,127000
IncomeDistributionExpenses,232000,223000,369000,528000,924000,698000,434000,398000,486000,373000,283000,1205000,497000,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000,20000,61000,98000,230000,274000,566000,764000,780000,972000
IncomeAdministrativExpenses,862000,914000,1033000,1094000,1087000,1134000,3139000,984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,176000,77000,763000,268000,243000,247000,318000,829000,1451000,1864000,1940000,1639000,1116000,1327000,453000
IncomeGrossProfit,1302000,1529000,719000,1893000,1282000,1491000,1452000,2055000,2754000,2857000,2285000,2817000,2293000,1586000,2033000,1960000,1862000,2276000,2585000,2620000,2571000,2399000,2576000,2849000,2674000,2087000,2284000,2705000,3193000,2516000,2334000,3267000,4457000,4283000,4345000,,9000,13000,0,16000,67000,2000,142000,35000,586000,117000,59000,564000,404000,1204000
IncomeOtherOperatingIncome,-975000,275000,138000,437000,203000,354000,381000,-181000,140000,57000,359000,195000,1174000,49000,27000,60000,345000,59000,397000,81000,54000,68000,16000,15000,224000,131000,17000,35000,283000,87000,226000,28000,150000,73000,491000,,26000,157000,48000,6000,137000,99000,575000,58000,111000,613000,1177000,1283000,2389000,177000
IncomeOtherOperatingCosts,223000,689000,2861000,44000,220000,-8000,319000,59000,354000,168000,596000,49000,206000,53000,1264000,43000,411000,508000,536000,310000,393000,6892000,578000,247000,234000,275000,200000,401000,330000,360000,1347000,657000,799000,176000,60000,802000,111000,259000,266000,314000,834000,1387000,1875000,1999000,1587000,1067000,554000,374000,-2062000,1627000
IncomeEBIT,634000,1641000,-1376000,1801000,1613000,1882000,2575000,2855000,2290000,2844000,2871000,1586000,1853000,1967000,943000,2293000,2570000,2193000,2089000,2157000,2200000,-4029000,2320000,1971000,2068000,2465000,3276000,2203000,2230000,2935000,3260000,3699000,4038000,3000,8000,30000,-14000,77000,15000,1423000,1004000,299000,89000,151000,227000,269000,691000,1395000,331000,57000
IncomeFinanceIncome,28000,955000,25000,81000,243000,189000,123000,200000,149000,8000,99000,62000,13000,-3000,10000,22000,-3000,54000,182000,2000,23000,132000,114000,204000,150000,1000,169000,1000,0,399000,-229000,30000,265000,10000,25000,-8000,5000,32000,-27000,139000,-126000,37000,132000,65000,325000,247000,53000,112000,768000,713000
IncomeFinanceCosts,1304000,305000,548000,45000,510000,867000,774000,1132000,1044000,1157000,1320000,1074000,912000,1053000,879000,1075000,1219000,1043000,1003000,1146000,986000,1125000,1110000,1089000,1185000,1364000,1583000,1604000,1832000,1897000,2095000,2194000,2242000,,30000,0,42000,0,0,,180000,-17000,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,-284000,133000,,1057000,39000,169000,73000,840000,134000,304000,308000,1598000,1964000,1649000,2012000,2068000,1326000,1089000,1192000,1657000,-2499000,971000,-642000,2291000,-1899000,1837000,1346000,1204000,1924000
