,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,95604000,92579000,111902000,166236000,134019000,124852000,124548000,177061000,151767000,146353000,167671000,195917000,115805000,40749000,11704000,33084000,18268000,17410000,3682000,10238000,2311000,1817000,1972000,2915000,2369000,1967000,2106000,3461000,1027000,3901000,1591000,2241000,290000,252000,80000,-35000,41000,25000,24000,38000,11000,6000,6000,8000,16000,8000,6000,9000,2000,6000
IncomeCostOfSales,89354000,89486000,105093000,148645000,124919000,113322000,113912000,154917000,142518000,140379000,158193000,178983000,101731000,35607000,11812000,33969000,17367000,13737000,5120000,15156000,1534000,3211000,2808000,2323000,1709000,1020000,1510000,1992000,624000,1964000,968000,1475000,225000,216000,38000,35000,42000,40000,45000,39000,4000,11000,0,1000,14000,2000,0,24000,3000,1525000
IncomeDistributionExpenses,1911000,2525000,5430000,3960000,4573000,6265000,8023000,6515000,3297000,4457000,8773000,6298000,1441000,379000,4277000,-41000,270000,193000,397000,767000,-512000,120000,112000,185000,644000,70000,-555000,88000,85000,74000,38000,,,,,,,,,,,,,,,3836000,1952000,5270000,6896000,4595000
IncomeAdministrativExpenses,4946000,3704000,6943000,3619000,4298000,3234000,9536000,5196000,4637000,3616000,2957000,3259000,3246000,2915000,2218000,2641000,1733000,2287000,3082000,2661000,10707000,2217000,2953000,2444000,759000,1079000,3908000,475000,829000,446000,336000,322000,317000,344000,366000,321000,345000,333000,304000,350000,416000,634000,272000,193000,637000,889000,-770000,-986000,5265000,545000
IncomeGrossProfit,2011000,667000,7178000,-885000,-1621000,1787000,-1375000,2580000,-936000,-4103000,-8119000,-2317000,157000,-4546000,-7533000,-2631000,-2615000,-3243000,-2602000,-2186000,-10404000,-1691000,-929000,-2129000,1093000,-530000,-3180000,-410000,-793000,-404000,-406000,-323000,-332000,-365000,-367000,-314000,-350000,-327000,-297000,-348000,-410000,-628000,-287000,-191000,-634000,291000,1074000,411000,1260000,480000
IncomeOtherOperatingIncome,504000,714000,1969000,1639000,1073000,449000,1932000,2010000,9833000,1083000,2095000,2308000,7054000,9234000,13024000,4781000,4022000,2559000,9623000,6716000,-940000,897000,985000,13936000,-4160000,258000,8358000,908000,339000,93000,9227000,5000,15000,5000,4000,8000,315000,6000,0,1000,0,22000,3000,310000,324000,260000,1055000,200000,572000,1177000
IncomeOtherOperatingCosts,1927000,564000,2910000,1338000,13591000,3539000,13422000,36875000,32922000,1497000,33276000,1020000,231000,122000,124000,2978000,542000,3172000,-2831000,19000,596000,11399000,-550000,23000,2664000,162000,100000,64000,510000,11000,20000,0,7000,22000,106000,75000,48000,49000,1000,870000,-20000,-835000,5470000,825000,1943000,204000,7220000,190000,-3458000,898000
IncomeEBIT,-13034000,1051000,-4525000,-39895000,-38946000,-1506000,-26065000,3668000,5260000,2028000,1283000,-3662000,6479000,1358000,-8513000,-813000,-540000,408000,-2517000,-295000,2514000,336000,-554000,-375000,8311000,-329000,-337000,-360000,-370000,-306000,-57000,-427000,-372000,-348000,-409000,-676000,-314000,-191000,-632000,759000,1031000,1227000,1965000,1138000,926000,1097000,551000,1296000,5880000,-717000
IncomeFinanceIncome,-2572000,1022000,1177000,293000,121000,168000,1541000,313000,9316000,2317000,126000,252000,3943000,469000,3995000,602000,522000,120000,502000,216000,249000,161000,157000,91000,3878000,6000,6000,5000,8000,6000,12000,6000,10000,7000,13000,13000,7000,4000,30000,686000,480000,676000,666000,654000,731000,870000,423000,855000,1201000,1386000
IncomeFinanceCosts,22340000,14534000,18238000,22256000,-24170000,3693000,6118000,861000,3754000,1201000,1616000,386000,7757000,10958000,2761000,3856000,15035000,12180000,7901000,1602000,1922000,1845000,13475000,1778000,6174000,752000,828000,867000,913000,864000,1422000,5406000,-3029000,1146000,1174000,1182000,1181000,1152000,1152000,,,,,,,,,,,
