,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,280185000,279803000,278725000,276594000,281904000,280049000,244087000,211816000,198435000,181424000,181464000,126825000,165317000,171913000,180981000,172052000,194587000,192650000,190254000,183214000,177543000,221055000,213815000,207560000,266584000,266149000,296664000,298300000,336351000,342922000
IncomeRevenues_yy,,,,,0.61,0.09,-12.43,-23.42,-29.61,-35.22,-25.66,-40.12,-16.69,-5.24,-0.27,35.66,17.71,12.06,5.12,6.49,-8.76,14.74,12.38,13.29,50.15,20.40,38.75,43.72,26.17,28.85
IncomeRevenues_sy,,,,,9.18,0.09,-8.34,-5.27,-4.38,6.22,8.31,3.77,5.62,8.90,6.14,0.94,11.28,1.79,2.12,-1.20,-5.84,8.04,12.38,8.14,11.60,8.36,12.03,12.08,7.52,16.57
IncomeRevenues_qq,,-0.14,-0.39,-0.76,1.92,-0.66,-12.84,-13.22,-6.32,-8.57,0.02,-30.11,30.35,3.99,5.27,-4.93,13.10,-1.00,-1.24,-3.70,-3.10,24.51,-3.28,-2.93,28.44,-0.16,11.47,0.55,12.76,1.95
IncomeRevenues_sq,,10.57,4.87,-1.28,-6.65,4.06,5.76,-3.59,-9.28,12.36,1.39,-6.83,-2.51,13.88,2.34,-7.27,3.76,6.32,-0.38,-3.70,-4.04,15.77,-0.34,-0.14,-4.55,4.54,4.73,1.58,1.11,2.19
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,8945000,2492000,1073000,3220000,3805000,8220000,-413000,-341000,1651000,-752000,997000,929000,2027000,1764000,994000,-317000,7000,2688000,1945000,-1997000,662000,22907000,5761000,8236000,15231000,4444000,9236000,12218000,11572000,7326000
IncomeGrossProfit_yy,,,,,-57.46,229.86,-138.49,-110.59,-56.61,-109.14,341.38,372.30,22.76,334.71,-0.34,-134.14,-99.63,52.39,95.73,-530.01,8789.99,752.16,196.26,512.37,2201.62,-80.60,60.32,48.35,-24.03,64.86
IncomeGrossProfit_sy,,,,,-22.45,-23.84,-21.92,-18.88,-8.84,33.08,36.97,11.89,9.54,4.86,6.27,-26.46,-2.77,2.96,-1.50,3.02,11.53,27.44,38.26,5.98,20.60,-9.84,13.58,11.44,15.14,29.60
IncomeGrossProfit_qq,,-72.14,-56.94,200.09,18.17,116.03,-105.02,17.43,584.16,-145.52,232.65,-6.86,118.27,-12.97,-43.68,-131.91,102.35,36010.95,-27.66,-202.70,133.14,3361.47,-74.85,42.96,84.94,-70.83,107.84,32.29,-5.29,-36.69
IncomeGrossProfit_sq,,-6.37,19.84,-15.51,-12.90,-11.22,9.82,-7.71,-11.63,44.40,0.50,-22.93,-16.42,42.94,-6.29,-31.34,11.08,43.56,1.43,-44.11,58.25,79.28,-28.24,-25.87,36.57,4.97,32.92,32.29,-6.18,-22.07
