,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,120732000,156451000,191150000,126778000,54023000,48786000,84591000,65021000,60392000,45968000,48635000,82742000,80002000,81367000,100884000,102982000,64800000,42077000,33862000,29849000,22726000,28738000,29134000,38443000,24333000,34182000,50441000,69467000,35916000,41017000,33720000,25416000,27997000,34112000,39935000,38445000,32092000,34614000,46757000,62585000,27079000,57235000,89023000,93106000,36826000,42902000,48172000,41314000,27054000,26636000,28869000,29447000,20027000,30220000
IncomeCostOfSales,113307000,149378000,184161000,120776000,47036000,41552000,73141000,55026000,51213000,39630000,41509000,68612000,70759000,71317000,91760000,93831000,60407000,39410000,30002000,25114000,18821000,23857000,23307000,33216000,21643000,29447000,45702000,63694000,31352000,36791000,31359000,23924000,23674000,31414000,35077000,35395000,27768000,28023000,40636000,56731000,23329000,50425000,82320000,85140000,32512000,61944000,44437000,38814000,23499000,24013000,27570000,33203000,19144000,27839000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,2545000,2957000,2623000,3950000,3401000,5326000,7081000,6425000,4544000,6595000,4991000,4297000,4056000,4491000,3918000,5632000,3613000,3866000,4229000,3878000,3776000,4212000,3748000,5693000,3888000,4599000,2880000,4178000,4501000,3263000,3343000,3551000,3940000,3667000,3494000,4056000,3445000,3975000,3753000,5036000,3295000,3922000,3712000,4645000,3190000,4059000,4776000,3169000,3465000,3111000,3068000,3684000,3567000,3460000
IncomeGrossProfit,4880000,4116000,4366000,2052000,3586000,1908000,4369000,3570000,4635000,-257000,2135000,9833000,5187000,5559000,5206000,3519000,780000,-1199000,-369000,857000,129000,669000,2079000,-466000,-1198000,136000,1859000,1595000,63000,963000,-982000,-2059000,383000,-969000,1364000,-1006000,879000,2616000,2368000,818000,455000,2888000,2991000,3321000,1124000,-23101000,-1041000,-669000,90000,-488000,-1769000,-7440000,-2684000,-1079000
IncomeOtherOperatingIncome,166000,428000,23079000,450000,76000,354000,425000,195000,811000,870000,192000,4488000,770000,-169000,283000,9126000,367000,3227000,956000,6004000,192000,1595000,334000,5456000,224000,761000,985000,4603000,158000,233000,1802000,-824000,119000,2903000,636000,481000,88000,138000,231000,1039000,216000,109000,77000,1131000,125000,97000,767000,1033000,140000,375000,9987000,-9838000,1468000,1380000
IncomeOtherOperatingCosts,48000,1097000,1956000,1418000,105000,101000,872000,1034000,1807000,-1510000,290000,4963000,269000,283000,245000,9306000,763000,732000,194000,3811000,127000,862000,316000,3522000,67000,244000,177000,904000,198000,3526000,179000,-745000,44000,236000,210000,4158000,18000,126000,234000,1927000,32000,1034000,513000,57000,21000,76000,124000,1847000,12000,66000,1670000,-27779000,16000,93000
IncomeEBIT,4998000,3447000,25489000,1084000,3557000,2161000,3922000,2731000,3639000,2123000,2037000,9358000,5688000,5107000,5244000,3339000,384000,1296000,393000,3050000,194000,1402000,2097000,1468000,-1041000,653000,2667000,5294000,23000,-2330000,641000,-2138000,458000,1698000,1790000,-4683000,949000,2628000,2365000,-70000,639000,1963000,2555000,4395000,1228000,-23080000,-398000,-1483000,218000,-179000,6548000,10501000,-1232000,208000
IncomeFinanceIncome,196000,363000,645000,265000,1206000,939000,540000,-30000,928000,760000,941000,2646000,191000,725000,-299000,2053000,1121000,-124000,188000,366000,277000,-33000,231000,103000,2335000,-1790000,118000,464000,1300000,-7000,18000,111000,81000,649000,-370000,1737000,252000,47000,200000,83000,1081000,-53000,-240000,173000,346000,95000,105000,375000,161000,163000,22000,209000,143000,165000
IncomeFinanceCosts,932000,163000,5122000,1547000,377000,291000,914000,975000,131000,972000,269000,1226000,288000,562000,-309000,603000,117000,549000,921000,308000,21000,508000,482000,-1000,482000,153000,441000,446000,258000,76000,426000,912000,320000,544000,423000,528000,299000,339000,1141000,878000,273000,659000,254000,1674000,230000,1083000,510000,60000,247000,347000,249000,181000,109000,91000
IncomeOtherIncome,-45000,182000,41000,2060000,43000,197000,-221000,390000,33000,2594000,553000,-2935000,-312000,262000,-91000,89000,-122000,139000,-186000,-46000,126000,-11000,27000,-48000,90000,262000,80000,150000,170000,55000,9000,39000,-329000,0,-6000,,1166000,48000,-136000,-5000,-853000,-165000,-1102000,627000,-624000,-265000,1182000,0,2544000,300000,-976000,4217000,3829000,21053000
IncomeNetGrossProfit,1862000,4429000,3006000,3327000,2116000,4469000,4505000,3262000,7843000,5591000,4958000,5516000,4698000,1477000,501000,-201000,2922000,404000,987000,1835000,1599000,764000,-1200000,2606000,5392000,1215000,-2243000,288000,-2930000,258000,1474000,997000,-3480000,902000,2336000,1424000,301000,1495000,1115000,2056000,2041000,1179000,-25170000,-176000,-1792000,-133000,819000,6321000,13073000,-898000,-694000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217000,3829000,21053000
IncomeBeforeTaxProfit,1862000,4429000,3006000,3327000,2116000,4469000,4505000,3262000,7843000,5591000,4958000,5516000,4698000,1477000,501000,-201000,2922000,404000,987000,1835000,1599000,764000,-1200000,2606000,5392000,1215000,-2243000,288000,-2930000,258000,1474000,997000,-3480000,902000,2336000,1424000,301000,1495000,1115000,2056000,2041000,1179000,-25170000,-176000,-1792000,-133000,819000,6321000,13073000,-898000,-694000,,,
IncomeDiscontinuedProfit,-602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056000,4022000,15079000,2667000,3736000
IncomeNetProfit,2302000,2840000,1498000,3386000,3559000,2805000,4026000,4759000,3845000,4523000,2274000,1046000,-391000,243000,1741000,111000,655000,1830000,2349000,598000,-1414000,2062000,4363000,767000,-2948000,328000,-1299000,289000,1137000,727000,-3166000,289000,2111000,1253000,-375000,868000,104000,1971000,1211000,916000,-21956000,721000,-2042000,939000,-8000,6289000,9756000,-973000,-629000,3006000,4003000,15060000,2690000,3503000
IncomeShareholderNetProfit,2363000,2477000,1349000,3040000,3166000,2700000,3462000,3655000,3274000,3235000,2557000,658000,-658000,543000,-187000,162000,532000,1425000,2200000,637000,-1630000,1985000,3990000,438000,-3014000,261000,-1543000,224000,1118000,895000,-2271000,343000,2031000,1238000,139000,856000,97000,2257000,1222000,925000,-22011000,697000,-2160000,889000,-47000,6300000,9686000,-949000,-504000,,,,,
BalanceNoncurrentAssets,74481000,26568000,23505000,23501000,26167000,42871000,42952000,48605000,75880000,77699000,80382000,94558000,94155000,94292000,99749000,97410000,97708000,101751000,74238000,95457000,96320000,95759000,95612000,100721000,100122000,97488000,97122000,104356000,104072000,101638000,99236000,99961000,99712000,82906000,82056000,81783000,81563000,82908000,84214000,83187000,83399000,82626000,82754000,82670000,82681000,81592000,1208000,1150000,2014000,1842000,1716000,1410000,1299000,1311000
BalanceIntangibleAssets,1159000,1321000,1285000,968000,811000,691000,484000,396000,341000,270000,157000,192000,194000,182000,227000,296000,280000,331000,288000,300000,251000,255000,214000,190000,195000,408000,402000,508000,480000,434000,414000,391000,362000,324000,281000,242000,215000,225000,67326000,9206000,9329000,9558000,9504000,31362000,32360000,38099000,68609000,69288000,72370000,85989000,85593000,86999000,93757000,92865000
BalanceProperty,89748000,96156000,71692000,91617000,93535000,92972000,92682000,96453000,96248000,59768000,59563000,58947000,58953000,58739000,58250000,58198000,58255000,36863000,35631000,35774000,35772000,35707000,35378000,35463000,35146000,33520000,33443000,33793000,33508000,33213000,,,,,,,,,,,,,,,,,,,,,,,,
