,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4133000,22476000,11144000,35417000,13271000,20541000,17935000,24117000,19910000,22430000,21432000,28125000,22976000,26664000,29356000,38746000,34286000,34190000,18156000,23869000,19160000,20458000,22088000,25074000,19577000,21312000,30672000,34868000,26279000,29595000,21636000,29859000,26999000,26326000,23294000,22453000,21203000,17658000,18438000,33227000,16983000,22468000,27368000,26160000,20863000,28983000,24224000,35095000,24073000,25873000,31257000,30596000,29305000,30700000
IncomeRevenues_yy,,,,,221.10,-8.61,60.94,-31.91,50.03,9.20,19.50,16.62,15.40,18.88,36.97,37.76,49.23,28.23,-38.15,-38.40,-44.12,-40.16,21.66,5.05,2.18,4.17,38.86,39.06,34.23,38.87,-29.46,-14.37,2.74,-11.05,7.66,-24.80,-21.47,-32.93,-20.85,47.98,-19.90,27.24,48.43,-21.27,22.85,29.00,-11.49,34.16,15.39,-10.73,29.03,-12.82,21.73,18.66
IncomeRevenues_sy,,,,,14.30,14.00,44.71,19.53,45.93,23.82,20.41,10.16,3.92,7.02,6.25,3.38,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,443.82,-50.42,217.81,-62.53,54.78,-12.69,34.47,-17.44,12.66,-4.45,31.23,-18.31,16.05,10.10,31.99,-11.51,-0.28,-46.90,31.47,-19.73,6.77,7.97,13.52,-21.92,8.86,43.92,13.68,-24.63,12.62,-26.89,38.01,-9.58,-2.49,-11.52,-3.61,-5.57,-16.72,4.42,80.21,-48.89,32.30,21.81,-4.41,-20.25,38.92,-16.42,44.88,-31.41,7.48,20.81,-2.11,-4.22,4.76
IncomeRevenues_sq,,25.77,18.30,8.95,-19.46,15.56,12.64,12.57,-14.78,10.13,11.02,2.37,-16.20,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,3401000,15851000,8020000,,8424000,,,62226000,,,,67045000,16412000,20855000,23027000,27513000,22546000,18841000,12536000,13895000,12985000,14024000,16595000,16740000,14084000,16903000,20913000,26195000,20173000,23024000,18325000,21723000,20661000,17687000,18319000,18123000,16365000,14426000,13011000,23868000,13926000,17028000,20789000,17201000,15382000,19756000,19804000,25874000,19327000,18882000,23181000,24162000,23834000,24149000
IncomeCostOfSales_yy,,,,,147.69,-100.00,-100.00,,-100.00,,,7.74,,,,-58.96,37.38,-9.66,-45.56,-49.50,-42.41,-25.57,32.38,20.47,8.46,20.53,26.02,56.48,43.23,36.21,-12.38,-17.07,2.42,-23.18,-0.03,-16.57,-20.79,-18.44,-28.98,31.70,-14.90,18.04,59.78,-27.93,10.46,16.02,-4.74,50.42,25.65,-4.42,17.05,-6.62,23.32,27.89
IncomeCostOfSales_sy,,,,,14.68,15.47,13.35,,30.04,,,7.06,,,,-8.39,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,366.07,-49.40,-100.00,,-100.00,,,-100.00,,,,-75.52,27.07,10.41,19.48,-18.05,-16.43,-33.46,10.84,-6.55,8.00,18.33,0.87,-15.87,20.02,23.72,25.26,-22.99,14.13,-20.41,18.54,-4.89,-14.39,3.57,-1.07,-9.70,-11.85,-9.81,83.44,-41.65,22.27,22.09,-17.26,-10.57,28.44,0.24,30.65,-25.30,-2.30,22.77,4.23,-1.36,1.32
IncomeCostOfSales_sq,,22.87,16.46,7.16,,11.68,,,-17.73,,,,-21.05,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,,,,,,,,1567000,625000,1004000,838000,853000,741000,557000,1259000,970000,563000,1154000,306000,321000,455000,821000,821000,1141000,325000,929000,1528000,1731000,401000,836000,878000,1119000,814000,1043000,1072000,673000,555000,1012000,591000,741000,287000,529000,750000,724000,471000,1963000,933000,1086000,1380000,1456000,1935000,701000,465000,1105000
IncomeDistributionExpenses_yy,,,,,,,,,,,,-45.56,18.56,-44.52,50.24,13.72,-24.02,107.18,-75.69,-66.91,-19.18,-28.86,168.30,255.45,-28.57,13.15,86.11,51.71,23.38,-10.01,-42.54,-35.36,102.99,24.76,22.10,-39.86,-31.82,-2.97,-44.87,10.10,-48.29,-47.73,26.90,-2.29,64.11,271.08,24.40,50.00,192.99,-25.83,107.40,-35.45,-66.30,-24.11
