,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,145339000,199802000,120711000,228277000,173315000,207513000,171877000,230009000,272672000,204195000,266768000,233458000,270800000,112688000,190628000,191954000,132134000,189647000,159902000,142832000,114523000,96422000,20175000,146018000,201501000,210980000,141929000,166118000,305096000,238270000,220313000,119877000,123590000,212597000,198660000,162960000,159888000,262756000,72526000,157769000,193912000,479988000,139058000,228657000,218211000,567090000,113011000,322505000,245201000,723966000,203480000,435713000,265786000
IncomeCostOfSales,119097000,139326000,87282000,157603000,117659000,134327000,108855000,141614000,169478000,125719000,162007000,127476000,152760000,64495000,120193000,145637000,106819000,149716000,124748000,105080000,84823000,69494000,16068000,98814000,133156000,140197000,102106000,123066000,239311000,182952000,164313000,97156000,99665000,158182000,166085000,141873000,119738000,204519000,54231000,119610000,156538000,369869000,107339000,180517000,168801000,425287000,86993000,232171000,177576000,522207000,142707000,317577000,198148000
IncomeDistributionExpenses,6022000,5973000,4575000,5866000,6098000,5130000,6647000,7462000,5648000,2611000,7532000,8397000,8057000,6016000,6203000,4790000,5542000,5731000,7917000,6384000,5640000,6375000,8404000,9563000,8444000,8897000,9708000,9422000,10083000,9624000,11512000,9663000,9882000,9049000,10305000,9802000,10642000,9048000,11446000,11727000,11496000,10976000,11501000,11355000,11472000,13061000,15119000,13825000,14747000,19090000,17597000,17675000,17390000
IncomeAdministrativExpenses,5609000,8545000,8492000,8913000,8962000,14925000,12633000,12155000,13822000,19089000,15245000,16904000,15134000,14631000,10620000,11249000,9936000,11291000,9890000,11274000,11131000,10849000,11246000,11784000,11262000,9842000,10979000,12632000,10794000,11990000,9749000,11107000,9994000,11556000,10610000,12430000,11812000,12518000,12080000,11906000,11220000,13852000,12214000,13311000,14512000,19358000,11238000,16068000,18536000,29775000,19579000,24765000,21778000
IncomeGrossProfit,14611000,45958000,20362000,55895000,40596000,53131000,43742000,68778000,83724000,56776000,81984000,80681000,94849000,27546000,53612000,30278000,9837000,22909000,17347000,20094000,12929000,9704000,-15543000,25857000,48639000,52044000,19136000,20998000,44908000,33704000,34739000,1951000,4049000,33810000,11660000,-1145000,17696000,36671000,-5231000,14526000,14658000,85291000,8004000,23474000,23426000,109384000,-339000,60441000,34342000,152894000,23597000,75696000,28470000
IncomeOtherOperatingIncome,140000,1959000,309000,1984000,1509000,1929000,493000,456000,2485000,639000,776000,252000,409000,5222000,833000,1277000,534000,4604000,593000,1006000,458000,3306000,989000,238000,2868000,-36000,736000,648000,638000,1961000,313000,712000,401000,8579000,1477000,7923000,2190000,3434000,534000,1301000,802000,1073000,860000,2099000,147000,19000,434000,7900000,88000,280000,706000,1519000,533000
IncomeOtherOperatingCosts,3130000,4095000,299000,5247000,1654000,3557000,261000,3322000,7460000,5091000,361000,2868000,1639000,13330000,957000,845000,1178000,9747000,519000,2030000,189000,3649000,226000,2199000,4650000,4800000,1332000,2583000,1696000,3607000,2059000,802000,1630000,6729000,4276000,3792000,-405000,3224000,998000,2660000,2236000,4601000,1518000,2342000,2563000,4371000,1045000,10061000,2075000,7467000,1759000,4407000,873000
IncomeEBIT,11621000,43822000,20372000,52632000,40451000,51503000,43974000,65912000,78749000,52324000,82399000,78065000,93619000,19438000,53488000,30710000,9193000,17766000,17421000,19070000,13198000,9361000,-14780000,23896000,46857000,47208000,18540000,19063000,43850000,32058000,32993000,1861000,2820000,35660000,8861000,2986000,20291000,36881000,-5695000,13167000,13224000,81763000,7346000,23231000,21010000,105032000,-950000,58280000,32355000,145707000,22544000,72808000,28130000
IncomeFinanceIncome,807000,702000,734000,888000,1739000,3791000,3129000,3037000,2942000,2527000,3931000,2821000,1147000,4204000,708000,543000,806000,1082000,675000,742000,1232000,2467000,1150000,824000,1575000,2963000,1466000,1798000,2080000,1472000,886000,817000,611000,211000,3813000,760000,530000,569000,395000,419000,173000,996000,315000,272000,765000,1101000,386000,1208000,411000,1109000,338000,438000,698000
IncomeFinanceCosts,1853000,4081000,1654000,1496000,573000,614000,495000,855000,428000,453000,150000,561000,106000,4042000,2447000,2906000,3993000,4197000,3179000,3146000,3712000,3040000,1411000,1101000,2358000,2011000,1790000,1390000,1924000,1711000,1325000,1276000,1403000,2162000,1013000,1150000,2266000,828000,1222000,625000,1011000,971000,1282000,331000,886000,673000,418000,458000,665000,733000,486000,449000,335000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,10575000,40443000,19452000,52024000,41617000,54680000,46608000,68094000,81263000,54398000,86180000,80325000,94660000,19600000,51749000,28347000,6006000,14651000,14917000,16666000,10718000,8788000,-15041000,23619000,46074000,48160000,18216000,19471000,44006000,31819000,32554000,1402000,2028000,33709000,11661000,2596000,18555000,36622000,-6522000,12961000,12386000,81788000,6379000,23172000,20889000,105460000,-982000,59030000,32101000,146083000,22396000,72797000,28493000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,10575000,40443000,19452000,52024000,41617000,54680000,46608000,68094000,81263000,54398000,86180000,80325000,94660000,19600000,51749000,28347000,6006000,14651000,14917000,16666000,10718000,8788000,-15041000,23619000,46074000,48160000,18216000,19471000,44006000,31819000,32554000,1402000,2028000,33709000,11661000,2596000,18555000,36622000,-6522000,12961000,12386000,81788000,6379000,23172000,20889000,105460000,-982000,59030000,32101000,146083000,22396000,72797000,28493000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
