,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6040000,7346000,9027000,10143000,9134000,9075000,11258000,11118000,8907000,8159000,10058000,10647000,13687000,10302000,12628000,13069000,11555000,11630000,12597000,14594000,13488000,12553000,14918000,16248000,15172000,14488000,16371000,17480000,16086000,13722000,16650000
IncomeCostOfSales,4675000,6342000,7976000,9216000,9347000,8754000,10567000,9014000,9437000,6925000,8883000,8368000,12458000,9529000,11323000,10992000,9930000,9878000,10875000,12347000,11816000,10864000,12706000,13641000,13334000,12654000,14286000,14741000,13671000,12280000,14189000
IncomeDistributionExpenses,,,0,202000,-202000,93000,72000,97000,83000,25000,17000,11000,32000,12000,17000,9000,3000,21000,-13000,0,6000,,,,,,,,120000,230000,168000
IncomeAdministrativExpenses,261000,273000,174000,367000,2433000,642000,687000,1045000,1301000,1201000,998000,765000,1189000,1136000,1005000,781000,850000,904000,927000,1016000,1188000,1224000,1124000,1319000,1262000,1151000,1230000,1304000,1245000,774000,883000
IncomeGrossProfit,464000,-284000,54000,252000,-426000,-1255000,522000,113000,966000,-3000,-237000,523000,879000,486000,727000,955000,1397000,761000,762000,1197000,1420000,613000,710000,766000,1477000,1264000,212000,1158000,13000,93000,101000
IncomeOtherOperatingIncome,13000,134000,2000,122000,-69000,96000,150000,174000,224000,-36000,46000,84000,42000,-36000,300000,123000,92000,-14000,55000,256000,105000,193000,123000,88000,101000,750000,220000,138000,34000,6000,1000
IncomeOtherOperatingCosts,-4000,371000,0,266000,449000,7448000,89000,92000,-6000,136000,9000,64000,75000,2075000,76000,133000,47000,-21000,9000,32000,12000,106000,10000,37000,10000,456000,3000,54000,1224000,861000,983000
IncomeEBIT,481000,-521000,56000,108000,-944000,-8607000,583000,195000,1196000,-175000,-200000,544000,846000,-1625000,950000,945000,1442000,769000,808000,1421000,1513000,700000,823000,817000,1569000,1558000,429000,1241000,0,1000,3000
IncomeFinanceIncome,-2000,299000,98000,73000,462000,-62000,36000,7000,11000,417000,10000,12000,28000,31000,769000,-26000,56000,34000,65000,-19000,4000,343000,59000,8000,12000,317000,159000,53000,48000,258000,308000
IncomeFinanceCosts,387000,217000,369000,427000,902000,1468000,274000,223000,189000,244000,171000,161000,163000,125000,199000,72000,153000,132000,156000,88000,122000,120000,107000,160000,113000,137000,109000,146000,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176000,604000,678000
IncomeNetGrossProfit,92000,-439000,-215000,-246000,-1384000,-10137000,345000,-21000,1018000,-2000,-361000,395000,711000,-1719000,1520000,846000,1345000,671000,717000,1313000,1395000,923000,775000,665000,1468000,1738000,478000,1148000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176000,604000,678000
IncomeBeforeTaxProfit,92000,-439000,-215000,-246000,-1384000,-10137000,345000,-21000,1018000,-2000,-361000,395000,711000,-1719000,1520000,846000,1345000,671000,717000,1313000,1395000,923000,775000,665000,1468000,1738000,478000,1148000,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,-903000,,,,,,,,,,,,,930000,443000,570000,-24000,-222000
IncomeNetProfit,-203000,-363000,-914000,-8110000,8000,90000,468000,80000,-214000,426000,602000,-2778000,1326000,776000,1352000,608000,774000,1060000,1239000,661000,802000,406000,1293000,1213000,413000,802000,927000,441000,571000,-20000,-222000
IncomeShareholderNetProfit,-203000,-363000,-930000,-8010000,244000,446000,632000,456000,122000,297000,650000,-2624000,1234000,664000,1295000,1026000,748000,904000,1202000,845000,768000,464000,1288000,1317000,521000,696000,,,,,
BalanceNoncurrentAssets,9526000,19851000,21719000,27085000,28226000,25522000,28050000,21042000,20123000,19368000,18275000,18032000,17862000,18474000,16594000,12928000,12166000,12389000,20273000,20762000,20874000,21410000,21909000,22392000,22369000,22176000,21920000,22183000,22681000,22891000,306000
BalanceIntangibleAssets,1691000,1688000,1746000,1772000,1758000,1068000,1055000,1053000,1041000,1030000,990000,986000,983000,981000,297000,295000,949000,9006000,9108000,9105000,9409000,9409000,9406000,9410000,9409000,9408000,9410000,9409000,9417000,8631000,17997000
BalanceProperty,19539000,22164000,22238000,22283000,21674000,14319000,14132000,13611000,13311000,13063000,12767000,12377000,12348000,8293000,7954000,7859000,7650000,7989000,8193000,8425000,8723000,9130000,9061000,9074000,8885000,9437000,9524000,9992000,,,5000
BalanceNoncurrentReceivables,375000,576000,569000,549000,658000,665000,611000,627000,673000,736000,736000,722000,519000,512000,428000,428000,499000,488000,500000,644000,720000,678000,636000,652000,630000,635000,633000,5000,5000,,1584000
BalanceNoncurrInvestments,2781000,0,3255000,1708000,1399000,1089000,780000,598000,649000,1709000,1708000,1262000,1225000,1240000,1200000,1205000,1230000,1280000,1293000,1290000,1291000,1282000,1297000,1596000,1321000,584000,158000,487000,1216000,859000,912000
BalanceOtherNoncurrentAssets,1504000,3302000,2874000,3015000,2528000,2709000,2724000,2669000,2542000,2111000,2144000,1927000,1948000,1966000,1883000,1845000,1853000,1843000,1929000,1766000,1693000,1409000,1517000,1528000,5946000,6376000,6323000,10896000,7937000,11213000,6387000
BalanceCurrentAssets,4788000,4914000,4636000,4339000,4706000,4898000,4265000,6147000,4386000,6375000,6791000,6112000,7183000,7259000,8254000,6691000,6936000,6816000,8265000,7005000,7037000,6627000,8076000,297000,590000,690000,752000,697000,738000,699000,421000
BalanceInventory,473000,431000,454000,447000,489000,540000,460000,762000,603000,633000,771000,1075000,788000,814000,900000,1306000,1136000,1204000,1109000,854000,909000,973000,1594000,3062000,3352000,3070000,2836000,3202000,3066000,1776000,2095000
BalanceCurrentReceivables,1734000,1581000,1737000,1910000,2054000,2258000,1487000,2250000,1653000,1217000,1332000,2176000,1653000,2061000,2269000,2290000,2139000,2193000,2149000,2529000,3577000,,,0,,1422000,608000,1584000,1188000,1238000,1237000
BalanceCurrentInvestments,1238000,1238000,1110000,1110000,1709000,76000,64000,65000,66000,66000,68000,4000,4000,4000,4000,4000,3959000,2474000,1757000,5397000,3375000,5288000,1215000,1256000,830000,964000,922000,1252000,1093000,1439000,1528000
BalanceCash,1902000,3306000,4068000,3737000,4452000,4012000,5293000,3086000,3141000,3123000,4505000,3292000,3741000,2815000,3090000,96000,250000,524000,255000,421000,401000,219000,97000,279000,270000,144000,160000,297000,232000,192000,235000
BalanceOtherCurrentAssets,217000,360000,322000,259000,218000,428000,577000,220000,263000,414000,408000,293000,370000,432000,,,,,,,,,,,,,,,,,3067000
BalanceAssetsForSale,,,,,,,,,,,,,15472000,26227000,28042000,37981000,36163000,36735000,34437000,25830000,25037000,24004000,22615000,22739000,22760000,22739000,22741000,20381000,18542000,19180000,26385000
BalanceTotalAssets,27945000,28133000,29664000,28600000,29328000,29185000,30441000,28925000,29219000,29307000,30966000,4478000,8448000,9020000,17530000,17306000,17939000,16367000,8356000,8591000,9045000,9647000,10133000,10222000,10481000,11043000,6738000,8425000,8949000,13514000,13683000
BalanceCapital,14313000,12688000,13827000,14771000,15616000,13603000,14891000,16191000,16700000,15997000,520000,520000,520000,620000,621000,636000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,767000,767000,767000
BalanceShareCapital,767000,767000,767000,767000,767000,767000,767000,767000,767000,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,2325000,2912000,7341000,16258000,15824000,18794000,18152000,17362000,17354000,13826000,13797000,14361000,14327000,15210000,15121000,15277000,14372000,14318000,17458000,17748000,17630000,19123000
BalanceReserve,18996000,19041000,19041000,19444000,19444000,19444000,19444000,20124000,7000,21000,20000,16000,15000,15000,666000,576000,351000,-6000,-169000,-529000,-1220000,-1091000,-1134000,380000,-1259000,-1114000,-342000,-234000,-193000,222000,260000
BalanceNonshareCapital,152000,109000,50000,56000,-48000,-146000,-45000,6080000,13251000,13403000,11880000,8986000,6804000,6151000,4726000,4592000,3944000,5176000,5558000,2827000,3676000,3779000,5506000,5361000,5430000,7336000,6241000,6051000,3916000,5826000,4957000
BalanceNoncurrentLiabilities,4848000,2387000,4427000,4200000,2182000,2206000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,6080000,13192000,13232000,10328000,7876000,5868000,5323000,4243000,3468000,2778000,4104000,4441000,1802000,2782000,3109000,4707000,4404000,4772000,6722000,5875000,5751000,3640000,5495000,4659000,4590000
BalanceNoncurrentBorrowings,2240000,4184000,3947000,978000,1373000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,0,59000,171000,1552000,1110000,936000,828000,483000,1124000,1167000,1072000,1117000,1025000,894000,670000,799000,957000,659000,614000,367000,300000,276000,330000,298000,258000,148000
BalanceNoncurrentOtherLiabilities,243000,253000,1204000,832000,4907000,4507000,5599000,8555000,9856000,11977000,11253000,12172000,11503000,11020000,7960000,7577000,10931000,9673000,9052000,6270000,6015000,5915000,5877000,8255000,7962000,12837000,8688000,9448000,8612000,14401000,9552000
BalanceCurrentLiabilities,8876000,10572000,12810000,2709000,2405000,2811000,3321000,3117000,2931000,2898000,3453000,3380000,3225000,2589000,3111000,2689000,2826000,2659000,3015000,2373000,2365000,1925000,2846000,2338000,2061000,2159000,2764000,2181000,2447000,2342000,2361000
BalanceCurrentTradePayablesv,1991000,2246000,448000,469000,800000,4231000,5837000,7204000,7069000,7496000,6473000,6365000,3999000,2940000,6118000,4405000,3772000,1213000,1054000,1217000,1403000,2614000,2690000,4829000,2731000,2989000,2814000,5500000,3255000,2547000,4689000
BalanceCurrentBorrowings,4163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,192000,560000,869000,661000,859000,1686000,987000,1000000,1430000,1313000,1201000,1462000,1624000,1891000,2008000,3267000,1944000,1710000,2016000,2161000,2095000,5105000,2787000,2866000,2816000,5746000,3320000,3545000,3689000,5344000
BalanceCurrentOtherLiabilities,1558000,1073000,1119000,342000,43000,156000,299000,223000,220000,119000,170000,64000,500000,550000,613000,263000,644000,622000,533000,634000,838000,843000,1012000,830000,801000,709000,635000,424000,203000,1056000,15472000
BalanceReckoning,26227000,28042000,0,37981000,36163000,36735000,34437000,25830000,25037000,24004000,22615000,22739000,22760000,22739000,22741000,18894000,18542000,19180000,26385000,27945000,28133000,29664000,28600000,29328000,29185000,30441000,28925000,29219000,29307000,30966000,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,1647000,457000,1772000,996000,288000,-313000,777000,744000,1526000,1430000,730000,926000,1230000,172000,1235000,939000,650000,1390000,1117000,1022000,1658000,465000,2126000,1563000,1017000,727000,1542000,1918000,1100000,574000,1100000
CashflowAmortization,102000,446000,491000,560000,300000,562000,585000,586000,556000,408000,454000,448000,471000,460000,441000,444000,442000,366000,410000,360000,366000,385000,362000,410000,438000,416000,427000,424000,-90000,339000,358000
CashflowInvestingCashflow,-2446000,-744000,-2032000,-5617000,-893000,918000,-113000,-535000,-419000,-133000,109000,-73000,-306000,-169000,50000,-418000,-163000,-22000,-418000,-3631000,-811000,-585000,-440000,-707000,-867000,-354000,-300000,-228000,137000,-724000,-565000
CashflowCapex,2446000,744000,2032000,1270000,2272000,645000,632000,535000,522000,226000,111000,147000,249000,118000,32000,428000,173000,25000,317000,3963000,-3510000,590000,440000,707000,896000,354000,383000,340000,-40000,425000,887000
CashflowFinancingCashflow,2944000,1377000,-458000,9469000,-611000,-2627000,1249000,-4283000,-1065000,-1723000,-705000,-896000,-594000,-162000,-939000,-433000,-51000,-27000,126000,2215000,-132000,-320000,-404000,-3063000,-95000,-390000,140000,-2903000,-788000,-777000,-260000
CashflowShareCapitalCash,,,0,9038000,-252000,0,874000,-13000,10000,10000,0,0,15000,5000,0,5000,5000,5000,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,2530000,0,,,2453000,0,,,2145000,1090000,-718000,4848000
CashflowNetCashflow,-1216000,-2022000,1913000,-4074000,42000,-426000,135000,-42000,330000,-159000,346000,89000,437000,1342000,824000,-393000,715000,-440000,1281000,-2208000,55000,-18000,1382000,-1213000,449000,-926000,276000,,,,
