,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,76073000,98014000,71028000,96907000,91755000,118136000,72383000,94266000,102566000,117335000,73358000,93035000
IncomeRevenues_yy,,,,,20.61,20.53,1.91,-2.73,11.78,-0.68,1.35,-1.31
IncomeRevenues_sy,,,,,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,28.84,-27.53,36.43,-5.32,28.75,-38.73,30.23,8.80,14.40,-37.48,26.82
IncomeRevenues_sq,,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,
IncomeGrossProfit,4161000,10961000,-1831000,7478000,1353000,9707000,-13274000,-5225000,-6002000,-5434000,-12990000,-772000
IncomeGrossProfit_yy,,,,,-67.49,-11.44,-624.96,-169.87,-543.61,-155.98,2.14,85.22
IncomeGrossProfit_sy,,,,,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,163.39,-116.71,508.41,-81.91,617.44,-236.75,60.64,-14.87,9.46,-139.05,94.06
IncomeGrossProfit_sq,,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,388000,1456000,207000,164000,64000,743000,409000,2081000,-1948000,1021000,137000,599000
IncomeOtherOperatingIncome_yy,,,,,-83.52,-48.98,97.58,1168.90,-3143.75,37.42,-66.50,-71.22
IncomeOtherOperatingIncome_sy,,,,,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,274.96,-85.79,-20.77,-60.98,1060.94,-44.95,408.80,-193.61,152.41,-86.58,337.23
IncomeOtherOperatingIncome_sq,,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,353000,1300000,263000,298000,235000,519000,69000,651000,-10000,1427000,34000,63000
IncomeOtherOperatingCosts_yy,,,,,-33.38,-60.08,-73.76,118.46,-104.26,174.95,-50.72,-90.32
IncomeOtherOperatingCosts_sy,,,,,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95,22.44
IncomeOtherOperatingCosts_qq,,268.50,-79.77,13.31,-21.14,120.85,-86.71,843.48,-101.54,14370.00,-97.62,85.29
IncomeOtherOperatingCosts_sq,,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,4197000,11117000,-1887000,7344000,1182000,9931000,-12934000,-3795000,-7940000,-5840000,-12887000,-236000
IncomeEBIT_yy,,,,,-71.84,-10.67,-585.43,-151.67,-771.74,-158.81,0.36,93.78
IncomeEBIT_sy,,,,,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,164.88,-116.97,489.19,-83.91,740.19,-230.24,70.66,-109.22,26.45,-120.67,98.17
IncomeEBIT_sq,,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,-31000,53000,135000,4000,-103000,71000,47000,379000,-23000,-351000,342000,-72000
IncomeFinanceIncome_yy,,,,,-236.11,34.87,-65.19,9375.00,77.67,-594.37,627.66,-119.00
IncomeFinanceIncome_sy,,,,,-40.89,58.97,8.86,-15.18,72.31,64.29,-27.09,-16.67
IncomeFinanceIncome_qq,,271.78,156.44,-97.04,-2675.00,168.93,-33.80,706.38,-106.07,-1426.09,197.44,-121.05
IncomeFinanceIncome_sq,,13.24,125.00,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54,-40.83
IncomeFinanceCosts,79000,423000,243000,181000,329000,164000,472000,3000,408000,2901000,486000,1048000
IncomeFinanceCosts_yy,,,,,318.88,-61.18,94.24,-98.34,24.01,1668.90,2.97,34833.33
IncomeFinanceCosts_sy,,,,,-38.02,-9.24,0.86,5.73,7.46,58.11,12.50,19.89
IncomeFinanceCosts_qq,,437.94,-42.49,-25.51,81.77,-50.15,187.80,-99.36,13500.00,611.03,-83.25,115.64
IncomeFinanceCosts_sq,,46.61,14.36,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27,24.16
IncomeOtherIncome,,,,,,,,-42000,0,-19000,,
IncomeOtherIncome_yy,,,,,,,,,,,,100.00
IncomeOtherIncome_sy,,,,,,,,,,,,100.00
IncomeOtherIncome_qq,,,,,,,,,100.00,,100.00,
IncomeOtherIncome_sq,,,,,,,,,100.00,,-73.20,
IncomeNetGrossProfit,4088000,10747000,-1995000,7167000,750000,9838000,-13359000,-3461000,-8371000,-9111000,-13031000,-1356000
IncomeNetGrossProfit_yy,,,,,-81.65,-8.46,-569.62,-148.29,-1216.13,-192.61,2.46,60.82
IncomeNetGrossProfit_sy,,,,,-17.32,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeNetGrossProfit_qq,,162.91,-118.56,459.25,-89.54,1211.73,-235.79,74.09,-141.87,-8.84,-43.02,89.59
IncomeNetGrossProfit_sq,,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeExtraordinarProfit,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,
IncomeBeforeTaxProfit,4088000,10747000,-1995000,7167000,750000,9838000,-13359000,-3461000,-8371000,-9111000,-13031000,-1356000
IncomeBeforeTaxProfit_yy,,,,,-81.65,-8.46,-569.62,-148.29,-1216.13,-192.61,2.46,60.82
IncomeBeforeTaxProfit_sy,,,,,-20.01,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeBeforeTaxProfit_qq,,162.91,-118.56,459.25,-89.54,1211.73,-235.79,74.09,-141.87,-8.84,-43.02,89.59
IncomeBeforeTaxProfit_sq,,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeDiscontinuedProfit,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,
IncomeNetProfit,3389000,8721000,-1680000,5808000,554000,8320000,-11440000,-3000000,-6647000,-15536000,-13043000,-1226000
IncomeNetProfit_yy,,,,,-83.65,-4.60,-580.95,-151.65,-1299.82,-286.73,-14.01,59.13
IncomeNetProfit_sy,,,,,-19.17,-3.50,-93.75,2.61,22.30,16.46,-14.01,27.94
IncomeNetProfit_qq,,157.30,-119.26,445.71,-90.46,1401.81,-237.50,73.78,-121.57,-133.73,16.05,90.60
IncomeNetProfit_sq,,34.70,-79.16,147.44,-41.18,18.69,-87.98,145.54,-28.24,-26.81,-67.35,112.20
IncomeShareholderNetProfit,3389000,8721000,-1680000,5808000,554000,8320000,-11440000,-3000000,-6647000,-15536000,-13043000,-1226000
IncomeShareholderNetProfit_yy,,,,,-83.65,-4.60,-580.95,-151.65,-1299.82,-286.73,-14.01,59.13
IncomeShareholderNetProfit_sy,,,,,-19.17,-4.68,-78.45,2.61,22.30,21.35,-14.01,27.03
IncomeShareholderNetProfit_qq,,157.30,-119.26,445.71,-90.46,1401.81,-237.50,73.78,-121.57,-133.73,16.05,90.60
IncomeShareholderNetProfit_sq,,34.70,-72.46,139.28,-41.18,14.05,-102.63,156.75,-27.60,-26.81,-71.97,122.96
BalanceNoncurrentAssets,33162000,36016000,38535000,40974000,44354000,61962000,66322000,68140000,70715000,64476000,63726000,62391000
BalanceNoncurrentAssets_yy,,,,,33.75,72.04,72.11,66.30,59.43,4.06,-3.91,-8.44
BalanceNoncurrentAssets_sy,,,,,7.12,7.67,7.68,3.42,3.23,1.21,-1.09,2.59
BalanceNoncurrentAssets_qq,,8.61,6.99,6.33,8.25,39.70,7.04,2.74,3.78,-8.82,-1.16,-2.09
BalanceNoncurrentAssets_sq,,3.64,0.02,0.20,1.11,1.00,0.81,-0.10,0.68,-0.22,-0.10,0.04
BalanceIntangibleAssets,2074000,3967000,4968000,6300000,7758000,9350000,10631000,11196000,11489000,13103000,13980000,14365000
BalanceIntangibleAssets_yy,,,,,274.06,135.68,113.99,77.71,48.09,40.14,31.50,28.30
BalanceIntangibleAssets_sy,,,,,0.78,-0.03,0.31,2.31,1.30,3.71,1.48,1.42
BalanceIntangibleAssets_qq,,91.28,25.23,26.81,23.14,20.52,13.70,5.31,2.62,14.05,6.69,2.75
BalanceIntangibleAssets_sq,,2.05,-0.02,-0.07,-0.12,0.11,-0.06,,-0.02,0.53,0.06,0.60
BalanceProperty,19746000,20834000,21869000,24296000,26638000,43053000,44488000,45323000,45181000,43462000,41853000,40792000
BalanceProperty_yy,,,,,34.90,106.64,103.43,86.55,69.61,0.95,-5.92,-10.00
BalanceProperty_sy,,,,,9.57,6.90,8.49,6.17,4.97,-1.46,-0.53,4.48
BalanceProperty_qq,,5.51,4.97,11.10,9.64,61.62,3.33,1.88,-0.31,-3.80,-3.70,-2.54
BalanceProperty_sq,,4.36,0.16,0.96,0.20,3.35,0.74,0.24,0.51,-0.60,,1.81
BalanceNoncurrentReceivables,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,
BalanceNoncurrInvestments,984000,1260000,1260000,1266000,1276000,48000,48000,10000,5000,,,
BalanceNoncurrInvestments_yy,,,,,29.71,-96.19,-96.19,-99.21,-99.61,-100.00,-100.00,-100.00
BalanceNoncurrInvestments_sy,,,,,,,-0.59,,,-7.47,,-3.03
BalanceNoncurrInvestments_qq,,28.11,-0.02,0.48,0.79,-96.24,,-79.17,-50.00,-100.00,,
BalanceNoncurrInvestments_sq,,,-0.02,,,-1.12,,,,-1.12,,
BalanceOtherNoncurrentAssets,10358000,9954000,10438000,9112000,8682000,9511000,11155000,11611000,14040000,7911000,7893000,7234000
BalanceOtherNoncurrentAssets_yy,,,,,-16.18,-4.45,6.87,27.43,61.71,-16.82,-29.24,-37.70
BalanceOtherNoncurrentAssets_sy,,,,,1.66,2.07,5.66,15.61,9.24,-13.54,-17.64,-6.47
BalanceOtherNoncurrentAssets_qq,,-3.90,4.86,-12.70,-4.72,9.55,17.29,4.09,20.92,-43.65,-0.23,-8.35
BalanceOtherNoncurrentAssets_sq,,-3.90,1.19,-5.24,0.16,2.11,5.14,0.98,-2.60,-2.78,-0.30,-4.47
BalanceCurrentAssets,77743000,75470000,89461000,85470000,104372000,114906000,108955000,125772000,117067000,114267000,107395000,102576000
BalanceCurrentAssets_yy,,,,,34.25,52.25,21.79,47.15,12.16,-0.56,-1.43,-18.44
BalanceCurrentAssets_sy,,,,,15.70,15.37,14.46,7.46,8.23,-0.56,2.02,7.16
BalanceCurrentAssets_qq,,-2.92,18.54,-4.46,22.12,10.09,-5.18,15.43,-6.92,-2.39,-6.01,-4.49
BalanceCurrentAssets_sq,,-1.13,3.86,4.64,4.42,2.47,-2.24,0.96,1.32,3.56,-4.29,0.30
BalanceInventory,67839000,62021000,75849000,73502000,87301000,83404000,97705000,103285000,105257000,101472000,98761000,91953000
BalanceInventory_yy,,,,,28.69,34.48,28.82,40.52,20.57,21.66,1.08,-10.97
BalanceInventory_sy,,,,,15.00,19.65,23.00,14.97,12.25,9.27,2.24,6.26
BalanceInventory_qq,,-8.58,22.30,-3.09,18.77,-4.46,17.15,5.71,1.91,-3.60,-2.67,-6.89
BalanceInventory_sq,,-2.68,5.20,0.82,8.07,-0.22,6.13,,2.95,-4.43,2.53,-1.76
BalanceCurrentReceivables,5482000,4267000,9429000,8751000,13873000,22620000,6784000,17381000,6105000,5814000,4744000,6215000
BalanceCurrentReceivables_yy,,,,,153.06,430.12,-28.05,98.62,-55.99,-74.30,-30.07,-64.24
BalanceCurrentReceivables_sy,,,,,1.50,19.01,1.79,12.14,2.02,-3.52,-0.08,11.46
BalanceCurrentReceivables_qq,,-22.17,120.98,-7.19,58.53,63.05,-70.01,156.21,-64.88,-4.77,-18.40,31.01
BalanceCurrentReceivables_sq,,-14.66,9.46,-2.18,4.20,9.47,-8.44,0.02,-8.72,-0.22,-3.74,1.68
BalanceCurrentInvestments,,,400000,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,-100.00,,,,,
BalanceCurrentInvestments_sy,,,,,,,-93.42,,,,,
BalanceCurrentInvestments_qq,,,,-100.00,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,
BalanceCash,3480000,8122000,2741000,1897000,1807000,8400000,3801000,4423000,4772000,6032000,3240000,3468000
BalanceCash_yy,,,,,-48.08,3.42,38.67,133.16,164.08,-28.19,-14.76,-21.59
BalanceCash_sy,,,,,27.47,28.23,33.10,14.24,15.41,12.76,8.82,12.70
BalanceCash_qq,,133.37,-66.25,-30.79,-4.74,364.86,-54.75,16.36,7.89,26.40,-46.29,7.04
BalanceCash_sq,,62.10,-26.62,21.87,-7.00,60.72,-40.71,16.36,1.37,83.89,-46.29,19.92
