,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,32122000,21605000,33856000,48491000,35347000,22931000,39148000,53112000,36109000,30610000,42625000,48202000,42687000,37514000,45116000,51693000,36545000,35538000,41747000,46974000,42997000,35014000,45301000,51699000,50522000,37369000,52593000,53133000,46752000,41936000,59057000,67568000
IncomeCostOfSales,21061000,14940000,23056000,32405000,22450000,14842000,27564000,34608000,25028000,21342000,29905000,31315000,28713000,25511000,31331000,34947000,24569000,23411000,27953000,29650000,26938000,21945000,29688000,33519000,31674000,24161000,34219000,34495000,29501000,26558000,38617000,42211000
IncomeDistributionExpenses,1862000,1863000,2143000,2268000,2088000,2689000,2552000,2521000,2417000,2991000,2584000,3199000,3256000,4225000,3750000,4063000,3055000,4141000,3343000,3711000,4286000,4021000,3549000,4331000,4424000,4537000,4383000,5149000,4389000,4696000,4795000,5710000
IncomeAdministrativExpenses,2338000,3254000,2390000,2941000,2823000,3479000,2716000,3144000,2271000,3423000,2773000,2867000,2770000,3502000,2518000,2688000,2657000,3652000,2437000,2940000,3193000,2545000,2844000,3061000,3277000,4306000,3142000,3346000,3201000,3707000,3438000,4108000
IncomeGrossProfit,6861000,1548000,6267000,10877000,7986000,1921000,6316000,12839000,6393000,2854000,7363000,10821000,7948000,4276000,7517000,9995000,6264000,4334000,8014000,10673000,8580000,6503000,9220000,10788000,11147000,4365000,10849000,10143000,9661000,6975000,12207000,15539000
IncomeOtherOperatingIncome,457000,2560000,467000,328000,452000,148000,447000,493000,422000,-164000,652000,968000,511000,952000,538000,713000,588000,757000,452000,532000,374000,632000,488000,487000,573000,725000,482000,630000,469000,896000,503000,429000
IncomeOtherOperatingCosts,67000,25000,53000,193000,41000,-65000,24000,24000,122000,10000,12000,19000,12000,201000,22000,32000,33000,205000,115000,70000,96000,306000,24000,51000,19000,286000,8000,150000,68000,472000,31000,68000
IncomeEBIT,7251000,4083000,6681000,11012000,8397000,2134000,6739000,13308000,6693000,2680000,8003000,11770000,8447000,5027000,8033000,10676000,6819000,4886000,8351000,11135000,8858000,6829000,9684000,11224000,11701000,4804000,11323000,10623000,10062000,7399000,12679000,15900000
IncomeFinanceIncome,356000,269000,83000,150000,190000,183000,265000,112000,430000,149000,379000,359000,-167000,-58000,180000,29000,424000,612000,670000,547000,69000,157000,121000,310000,-197000,535000,10000,2000,8000,0,53000,488000
IncomeFinanceCosts,-193000,28000,117000,39000,243000,-48000,143000,222000,236000,72000,61000,44000,0,188000,1000,1000,51000,5000,1000,27000,90000,8000,5000,8000,1000,16000,340000,213000,115000,705000,103000,66000
IncomeOtherIncome,,,,,,0,,,1841000,0,,,,,0,0,0,,-500000,0,-465000,11000,-424000,-9000,22000,0,-167000,-436000,7800000,4324000,6647000,11123000
IncomeNetGrossProfit,8344000,2365000,6861000,13198000,8728000,2757000,8321000,12085000,8280000,4781000,8212000,10704000,7192000,5493000,9020000,11155000,8837000,6513000,9800000,11537000,11079000,5314000,10993000,10434000,9955000,6527000,12629000,15886000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800000,4324000,6647000,11123000
IncomeBeforeTaxProfit,8344000,2365000,6861000,13198000,8728000,2757000,8321000,12085000,8280000,4781000,8212000,10704000,7192000,5493000,9020000,11155000,8837000,6513000,9800000,11537000,11079000,5314000,10993000,10434000,9955000,6527000,12629000,15886000,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6224000,3428000,5237000,8874000
IncomeNetProfit,6623000,1849000,5450000,10567000,6940000,2103000,6626000,9711000,6620000,3778000,6637000,8664000,5810000,4298000,7282000,8962000,7107000,5265000,7811000,9286000,8797000,4310000,8952000,8427000,8035000,5284000,10393000,12590000,6224000,3428000,5237000,8874000
IncomeShareholderNetProfit,6623000,1849000,5450000,10567000,6940000,2103000,6626000,9711000,6620000,3778000,6637000,8664000,5810000,4298000,7282000,8962000,7107000,5265000,7811000,9286000,8797000,4310000,8952000,8427000,8035000,5284000,10393000,12590000,,,,
BalanceNoncurrentAssets,29420000,29922000,31885000,34623000,39275000,44465000,47474000,49274000,50338000,51723000,53954000,57707000,63248000,65637000,66111000,66972000,67793000,68840000,68657000,69492000,69042000,67809000,69033000,68760000,68834000,71781000,72051000,72386000,72847000,73796000,79460000,80082000
BalanceIntangibleAssets,217000,454000,435000,487000,617000,582000,604000,566000,522000,674000,686000,1128000,1129000,1069000,989000,914000,1525000,1613000,1706000,2119000,2251000,2268000,2372000,2356000,2250000,3208000,3371000,3435000,3479000,3630000,3730000,3658000
BalanceProperty,27900000,28443000,30470000,33082000,37621000,42836000,45914000,47620000,48853000,49280000,51688000,55093000,60719000,63159000,63498000,64408000,64885000,64341000,63928000,63527000,62703000,61966000,62416000,62175000,62212000,63061000,63351000,63384000,63802000,65141000,69733000,70500000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
