,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5782000,22051000,16413000,9821000,25263000,31963000,9924000,12803000,10541000,12139000,10530000,10893000,11624000,11112000,11985000,12931000,12388000,14581000
IncomeCostOfSales,1277000,1621000,1225000,1000,1199000,2238000,1695000,1879000,2247000,2642000,2655000,2741000,2477000,2346000,2367000,2726000,2581000,2559000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,865000,1004000,1633000,3837000,3087000,14644000,2469000,7858000,6135000,4423000,2310000,3324000,4485000,4917000,4781000,5300000,5502000,8849000
IncomeGrossProfit,3640000,19426000,13555000,5983000,20977000,15081000,5760000,3066000,2159000,5074000,5565000,4828000,4662000,3849000,4837000,4905000,4305000,3173000
IncomeOtherOperatingIncome,450000,204000,314000,-437000,135000,13000,29000,50000,38000,158000,28000,-19000,102000,21000,34000,3000,15000,64000
IncomeOtherOperatingCosts,216000,97000,-51000,3000,133000,-118000,55000,1000,14000,131000,-15000,30000,138000,47000,9000,3000,4026000,19414000
IncomeEBIT,13772000,5597000,21109000,14961000,5907000,3061000,2196000,5218000,5462000,4824000,4662000,3921000,4720000,4892000,4299000,3185000,442000,793000
IncomeFinanceIncome,543000,35000,79000,84000,77000,115000,6000,18000,9000,25000,1056000,31000,813000,-1000,10000,17000,1380000,2380000
IncomeFinanceCosts,2035000,1516000,453000,948000,1119000,1023000,856000,1632000,578000,1474000,961000,1032000,810000,488000,473000,484000,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,3088000,17827000
IncomeNetGrossProfit,12280000,4116000,20735000,14097000,4865000,2153000,1346000,3604000,4893000,3375000,4757000,2920000,4723000,4403000,3836000,2718000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,3088000,17827000
