,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1216985000,1452582000,1255827000,1320246000,1220766000,1323944000,1287092000,1339714000,1232036000,1347211000,1210315000,1248090000,1328038000,1412794000,1264590000,1352110000,1354235000,1537194000,1354404000,1373503000,1345198000,1404346000,1379361000,1373690000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-407000,46458000,25708000,24200000,36732000,14926000,46009000,48350000,37258000,46536000,23528000,29252000,22176000,26370000,23771000,49853000,44621000,51354000,34577000,28072000,-6752000,-14828000,28853000,-1522000
IncomeOtherOperatingIncome,28097000,69528000,17395000,39872000,19374000,68628000,16105000,18495000,27834000,28651000,14246000,16878000,24584000,79085000,27168000,15038000,16114000,37033000,22424000,35836000,42453000,65879000,27456000,40026000
IncomeOtherOperatingCosts,23584000,23810000,19141000,21672000,21895000,30942000,19526000,21424000,21116000,28826000,19554000,19806000,23109000,28186000,22059000,20809000,44336000,1407000,23855000,35558000,20710000,35816000,23597000,29982000
IncomeEBIT,4106000,92177000,23962000,42400000,34211000,52611000,42589000,45420000,43976000,46361000,18221000,26324000,23651000,77270000,28880000,44082000,16399000,86980000,33147000,28351000,14991000,15236000,32713000,8523000
IncomeFinanceIncome,6623000,-3659000,4198000,6715000,5730000,15063000,5160000,3320000,9487000,18660000,18544000,-6099000,6883000,11468000,9100000,27239000,,,17263000,,31178000,45739000,32078000,58829000
IncomeFinanceCosts,55617000,113924000,36954000,39603000,44999000,77864000,39590000,39427000,39589000,75710000,30861000,20924000,2492000,91382000,14689000,17764000,14061000,44011000,16022000,17041000,107000,920000,-221000,48000
IncomeOtherIncome,438000,-2712000,-292000,158000,-418000,840000,-376000,55000,941000,925000,-145000,-385000,772000,115000,-426000,-731000,-608000,2365000,-265000,-148000,-20343000,43699000,-4140000,-9667000
IncomeNetGrossProfit,-15238000,-48962000,10503000,9295000,8046000,-12003000,-3202000,-19147000,-8113000,13952000,6975000,13338000,14678000,22952000,18031000,9856000,323000,-9147000,16426000,-8666000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,-20343000,43699000,-4140000,-9667000
IncomeBeforeTaxProfit,-15238000,-48962000,10503000,9295000,8046000,-12003000,-3202000,-19147000,-8113000,13952000,6975000,13338000,14678000,22952000,18031000,9856000,323000,-9147000,16426000,-8666000,-9655000,-6672000,-7870000,-3901000
IncomeDiscontinuedProfit,-25669000,-7054000,-1798000,,,,,,,,,,,,,,-35827000,27289000,-17687000,-15529000,-43681000,-28276000,4217000,8509000
IncomeNetProfit,3996000,-11824000,-8595000,-20242000,-10402000,5941000,2433000,6722000,8861000,18961000,8655000,10034000,948000,-13781000,10656000,-9142000,-35889000,26786000,-18096000,-15641000,-43883000,-28495000,4180000,8268000
IncomeShareholderNetProfit,3353000,-11819000,-8845000,-20305000,-10597000,5544000,2040000,6430000,8749000,17846000,8347000,9712000,793000,-14561000,10412000,-9596000,,,,,,,,
BalanceNoncurrentAssets,2290366000,2314498000,2390805000,2480675000,2458841000,2462981000,2459624000,2462533000,2456735000,2534270000,2431642000,2502903000,2542317000,2617094000,2605282000,2691363000,2660211000,2783873000,2651410000,2639568000,2735339000,2702647000,2710556000,2772621000
BalanceIntangibleAssets,653917000,652505000,661516000,680754000,690845000,696240000,710327000,719012000,733823000,774034000,750197000,784122000,807576000,835390000,846957000,885100000,878298000,924050000,891530000,906098000,935687000,932509000,954117000,1003722000
BalanceProperty,1490010000,1489932000,1553479000,1614627000,1586695000,1595349000,1576130000,1565343000,1551808000,1598448000,1520940000,1562796000,1577166000,1633680000,1615133000,1646817000,1627573000,1686292000,1596772000,1585470000,1657095000,1591966000,1583600000,1604210000
BalanceNoncurrentReceivables,,62043000,62110000,63115000,60061000,43790000,44712000,44497000,44052000,29785000,30185000,29432000,29590000,24474000,20471000,13184000,11875000,10976000,10748000,10076000,10092000,30760000,25958000,14254000
BalanceNoncurrInvestments,63410000,34713000,39126000,40824000,40181000,25870000,25704000,30658000,23909000,26627000,29285000,24181000,24982000,19228000,18670000,40330000,40382000,42063000,39324000,25545000,25880000,32500000,32809000,33903000
BalanceOtherNoncurrentAssets,83029000,75305000,74575000,81354000,81058000,101731000,102752000,103024000,103143000,105377000,101035000,102373000,103002000,104322000,104051000,105933000,102082000,120492000,113036000,112378000,106586000,114912000,114071000,116533000
BalanceCurrentAssets,2620635000,2465467000,2614167000,2632729000,2561887000,2263351000,2242887000,2390903000,2371838000,2157457000,2144942000,2288733000,2374171000,2074669000,2135323000,2324923000,2379577000,2186934000,2219189000,2395661000,2460130000,2063903000,2285998000,2501029000
