,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,17952000,30143000,13073000,11562000,12527000,15711000,14537000,18862000,21472000,113713000,6641000,13507000,8896000,7326000,13690000,8917000,9319000,12033000,18898000,15139000,14687000,14939000,21226000,15858000,15386000,21353000,22448000,16713000,23224000,17258000,21397000,16635000,12890000,34220000,17833000,32269000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,7011000,13126000,5466000,5023000,3330000,3107000,5155000,9290000,-1366000,19892000,-9858000,-486000,534000,1246000,995000,126000,1595000,-1402000,3142000,2718000,4061000,2803000,3827000,3572000,3484000,2302000,3800000,3754000,13066000,5070000,4608000,3640000,3168000,21100000,3764000,6273000
IncomeOtherOperatingIncome,-25562000,-14202000,-24507000,98911000,13654000,-1071000,39316000,27405000,49523000,30592000,-34714000,6675000,28456000,26409000,11155000,3509000,-14126000,673000,556000,294000,242000,401000,288000,7288000,489000,1299000,262000,351000,923000,571000,563000,241000,597000,580000,881000,1014000
IncomeOtherOperatingCosts,-189000,3271000,238000,9042000,1610000,-2155000,678000,3769000,3162000,15707000,117000,1307000,312000,3128000,1859000,1515000,-2726000,-11564000,1426000,30222000,4592000,347000,33712000,-5424000,5944000,7208000,-15988000,-19243000,16753000,-18185000,29725000,-3727000,-6848000,15038000,-4086000,-26161000
IncomeEBIT,-18362000,-4347000,-19279000,94892000,15374000,4191000,43793000,32926000,44995000,34777000,-44689000,4882000,28678000,24527000,10291000,2120000,-9805000,10835000,2272000,-27210000,-289000,2857000,-29597000,16284000,-1971000,-3607000,20050000,23348000,-2764000,23826000,-24554000,7608000,10613000,6642000,8731000,33448000
IncomeFinanceIncome,7634000,7287000,15532000,-15457000,7976000,1570000,5075000,-3119000,825000,-1770000,17498000,-5958000,8945000,2139000,689000,418000,559000,1358000,747000,653000,606000,1041000,15639000,-8326000,-3411000,-1609000,331000,4282000,401000,285000,17137000,256000,-4245000,9593000,1310000,2047000
IncomeFinanceCosts,-4504000,3319000,4180000,7194000,2301000,6545000,9277000,4432000,29170000,2777000,5476000,6073000,4855000,6054000,9985000,14974000,1033000,3568000,9023000,6362000,7770000,16499000,7304000,7682000,6897000,9277000,7458000,18833000,-4086000,15503000,5295000,4829000,4383000,6068000,6897000,14049000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-6224000,-379000,-7927000,72241000,21049000,-784000,39591000,25375000,16650000,30230000,-32667000,-7149000,32768000,20612000,995000,-12436000,-10279000,8625000,-6004000,-32919000,-7453000,-12601000,-21262000,276000,-12279000,-14493000,12923000,8797000,1723000,8608000,-12712000,3035000,1985000,10167000,3144000,21446000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-6224000,-379000,-7927000,72241000,21049000,-784000,39591000,25375000,16650000,30230000,-32667000,-7149000,32768000,20612000,995000,-12436000,-10279000,8625000,-6004000,-32919000,-7453000,-12601000,-21262000,276000,-12279000,-14493000,12923000,8797000,1723000,8608000,-12712000,3035000,1985000,10167000,3144000,21446000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-3081000,-2303000,-6483000,66854000,16939000,13661000,34613000,19504000,41274000,56296000,-25232000,-6673000,36038000,19557000,-176000,-9953000,-7634000,6794000,-5697000,-28086000,-8817000,-17095000,-17154000,-9400000,-21173000,-3083000,6812000,5809000,621000,2070000,-11194000,397000,-644000,13267000,1566000,22455000
IncomeShareholderNetProfit,-3074000,-2270000,-6483000,66854000,16939000,13661000,34613000,19504000,41274000,56296000,-25232000,-6673000,36038000,19557000,-176000,-9953000,-7634000,6794000,-5697000,-28086000,-8817000,-17095000,-17154000,-9400000,-21173000,-3083000,6812000,5809000,621000,2070000,-11194000,397000,-644000,13267000,1566000,22455000
BalanceNoncurrentAssets,,377334000,372536000,476822000,551016000,403940000,442967000,571753000,573774000,587724000,694557000,734921000,803787000,796813000,855531000,804367000,770675000,786788000,814106000,791712000,804615000,807242000,790815000,737592000,755336000,735837000,758516000,731134000,623266000,619042000,620648000,625624000,644167000,,326000,281000
BalanceIntangibleAssets,283000,296000,273000,2484000,349000,384000,329000,272000,221000,185000,154000,132000,111000,87000,76000,65000,62000,59000,61000,5000,5000,4000,4000,4000,4000,3000,5000,15000,14000,19000,,362447000,357738000,460059000,523328000,389601000
BalanceProperty,422898000,525778000,519052000,530060000,628130000,669091000,708416000,722193000,771111000,719750000,713387000,724161000,755023000,727934000,753650000,763588000,740031000,689351000,711976000,694634000,713877000,683322000,577316000,575202000,561462000,565924000,589817000,,4541000,4415000,4372000,4241000,4384000,10921000,16186000,18649000
BalanceNoncurrentReceivables,20157000,25484000,24900000,22282000,22901000,4427000,4276000,3027000,8629000,8005000,8065000,5903000,5933000,325000,162000,2237000,2223000,10222000,9484000,10749000,10837000,10514000,10439000,11455000,,0,,,,13657000,,,,0,,
BalanceNoncurrInvestments,,30115000,6000000,31225000,31385000,4052000,4072000,4109000,4125000,4141000,4408000,4424000,4436000,53000,52000,52000,51000,11940000,11820000,3900000,,10020000,10102000,12108000,9494000,9682000,6664000,29440000,35689000,37178000,40671000,40709000,42789000,45565000,48636000,48845000
BalanceOtherNoncurrentAssets,50122000,49850000,46904000,51526000,40862000,33252000,46030000,43638000,41119000,38976000,34360000,38272000,35146000,32947000,36717000,37427000,38976000,,124034000,115492000,164551000,169817000,169433000,241778000,241570000,306441000,232500000,162383000,160963000,161166000,180565000,163373000,250473000,246659000,198229000,216342000
BalanceCurrentAssets,225239000,175757000,175354000,178481000,183159000,183331000,179288000,172328000,175357000,177602000,183469000,191689000,185453000,152479000,,89121000,89864000,83455000,113106000,108172000,136490000,110853000,109407000,109294000,115072000,114476000,114256000,114352000,112628000,112503000,111895000,110198000,110271000,111630000,111622000,111673000
