,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,45202000,79718000,103912000,116086000,69085000,89700000,128259000,187299000,132980000,153102000,149883000,243677000,169618000,204782000,208166000,228420000,122710000,181698000,173818000,222722000,129429000,183205000,187511000,286603000,145077000,227422000,240057000,332659000,184843000,256377000,247083000,329699000,166524000,216319000,251805000,270905000,184441000,257901000,314456000,351518000,245835000,347066000,339515000,310414000,214830000,313398000,251694000,191558000,142430000,213636000,251527000,295308000,149085000,152165000
IncomeCostOfSales,45468000,70283000,96858000,106828000,62782000,85399000,116954000,172443000,121029000,139743000,133987000,226634000,153278000,182665000,180466000,209265000,109072000,152868000,153624000,197728000,118455000,157127000,174472000,260289000,137103000,213186000,224130000,304879000,172480000,256069000,226655000,312884000,157837000,208759000,238152000,237658000,179349000,242116000,291370000,322263000,225036000,314403000,312204000,281986000,202897000,276872000,226231000,167082000,133396000,183628000,231257000,255951000,142590000,229504000
IncomeDistributionExpenses,155000,171000,1110000,632000,430000,552000,613000,1203000,692000,706000,1183000,1424000,841000,1224000,1428000,1631000,938000,890000,1379000,912000,572000,1192000,1169000,1683000,514000,893000,654000,2195000,1390000,2288000,1601000,1202000,861000,1455000,1158000,1527000,595000,719000,1050000,1150000,539000,1092000,1005000,1417000,372000,778000,874000,553000,203000,234000,496000,352000,181000,316000
IncomeAdministrativExpenses,1700000,2358000,1456000,2975000,1800000,1923000,1835000,2783000,1979000,1968000,1592000,2627000,1915000,2402000,3584000,5138000,3314000,2860000,3060000,4213000,2795000,3066000,3291000,3631000,3147000,3830000,3443000,3604000,3476000,4313000,3450000,4382000,3745000,4438000,3848000,4449000,3795000,4873000,3545000,4151000,4230000,4924000,4310000,4374000,4437000,4355000,4402000,6262000,4575000,5131000,4645000,6684000,4943000,5091000
IncomeGrossProfit,-2121000,6906000,4488000,5651000,4073000,1826000,8857000,10870000,9280000,10685000,13121000,12992000,13584000,18491000,22688000,12386000,9386000,25080000,15755000,19869000,7607000,21820000,8579000,21000000,4313000,9513000,11830000,21981000,7497000,-6293000,15377000,11231000,4081000,1667000,8647000,27271000,702000,10193000,18491000,23954000,16030000,26647000,21996000,22637000,7124000,31393000,20187000,17661000,4256000,24643000,15129000,32321000,1371000,-82746000
IncomeOtherOperatingIncome,522000,-1884000,439000,-1043000,456000,304000,-160000,-173000,919000,-465000,-1015000,4152000,3459000,3839000,-4692000,-2047000,3773000,-546000,-1678000,3865000,-1419000,531000,-471000,7972000,-3029000,2969000,-808000,1004000,-4390000,919000,4353000,2486000,1549000,2966000,3917000,1997000,1587000,1266000,3826000,1841000,13162000,5521000,-286000,3130000,7852000,594000,1808000,150000,4016000,2449000,13747000,,,
IncomeOtherOperatingCosts,,,,,2113000,963000,774000,2582000,410000,508000,743000,349000,639000,427000,592000,353000,379000,591000,339000,4861000,553000,777000,730000,1296000,957000,956000,1535000,681000,1202000,7913000,4640000,12536000,4134000,8612000,2787000,11918000,3167000,8617000,4960000,27571000,10114000,10195000,3812000,6676000,4292000,6331000,-488000,3031000,1114000,6094000,-1599000,5022000,4927000,4608000
IncomeEBIT,4529000,2130000,8697000,8157000,8317000,9911000,14685000,11329000,12709000,16968000,26097000,15496000,12586000,19961000,13116000,23289000,6682000,19551000,12105000,14720000,4291000,8265000,19072000,17656000,9509000,-8057000,14846000,6160000,3798000,-1893000,6493000,16284000,-466000,5498000,17701000,13623000,14129000,21856000,18877000,8228000,2531000,20912000,19505000,18837000,558000,20120000,15767000,33306000,2706000,-75093000,97000,,,
IncomeFinanceIncome,0,0,0,0,834000,951000,905000,641000,1498000,314000,111000,340000,1588000,-372000,4000,469000,0,,268000,3000,-12000,0,478000,-125000,-188000,46000,0,0,,56000,0,0,,429000,0,0,,3815000,0,0,,24000,27000,0,,43000,,2000,294000,-119000,212000,335000,349000,364000
IncomeFinanceCosts,208000,389000,256000,380000,113000,2000,3000,3000,-1072000,320000,-568000,-755000,444000,96000,743000,-860000,-697000,-1398000,-987000,-2149000,554000,-228000,-560000,2125000,242000,972000,594000,1104000,930000,903000,660000,716000,627000,567000,557000,496000,357000,197000,564000,333000,431000,337000,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,3067000,-1035000,530000,336000,173000,-449000,717000,1301000,1003000,120000,2026000,2676000,602000,-764000,2332000,2078000,2415000,102000,-108000,-1502000,4923000,4633000,4727000,4317000,1795000,8348000,7793000,8109000,9522000,15263000,11900000
IncomeNetGrossProfit,13501000,17607000,27592000,15807000,12697000,21373000,13632000,22917000,6362000,19875000,13142000,15475000,3847000,8437000,18332000,18504000,10206000,-6181000,15708000,8121000,3244000,-1619000,7053000,17226000,-1743000,5112000,17443000,12692000,12750000,22099000,19518000,8515000,2024000,26186000,21624000,18943000,-563000,22279000,17308000,35388000,2377000,-75495000,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1502000,4923000,4633000,4727000,4317000,1795000,8348000,7793000,8109000,9522000,15263000,11900000
IncomeBeforeTaxProfit,13501000,17607000,27592000,15807000,12697000,21373000,13632000,22917000,6362000,19875000,13142000,15475000,3847000,8437000,18332000,18504000,10206000,-6181000,15708000,8121000,3244000,-1619000,7053000,17226000,-1743000,5112000,17443000,12692000,12750000,22099000,19518000,8515000,2024000,26186000,21624000,18943000,-563000,22279000,17308000,35388000,2377000,-75495000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1172000,3075000,3895000,4297000,1637000,2853000,6635000,6081000,6234000,7269000,12434000,9678000
IncomeNetProfit,10963000,14420000,21958000,12952000,9515000,15528000,11373000,18111000,5942000,15480000,11229000,12429000,3426000,7452000,12590000,14668000,8084000,-4346000,12782000,6695000,3754000,-2897000,4702000,12026000,-3128000,5162000,14093000,10888000,9808000,17444000,16434000,6279000,1647000,21311000,17204000,14968000,-1384000,18599000,12924000,28469000,1899000,-61839000,-1176000,2750000,3457000,4249000,1327000,2616000,6113000,5321000,5865000,6733000,12434000,9678000
IncomeShareholderNetProfit,10963000,14420000,21958000,12952000,9515000,15528000,11373000,18111000,5942000,15485000,11279000,12344000,3452000,7477000,12464000,14525000,8065000,-4266000,12764000,6336000,3834000,-3007000,4640000,11746000,-3248000,5363000,14159000,11047000,9863000,17465000,16450000,6380000,1639000,21301000,17204000,14977000,-1384000,18599000,12924000,28470000,1899000,-61839000,,,,,,,,,,,,
BalanceNoncurrentAssets,48355000,42850000,42580000,43868000,42630000,43640000,43562000,49841000,53916000,55451000,57303000,59889000,77498000,97614000,107139000,120009000,120713000,120412000,129541000,131019000,121679000,158920000,170731000,186416000,182463000,172387000,149852000,159668000,180747000,185495000,190397000,197762000,199825000,185164000,188818000,199527000,179603000,182481000,175055000,174263000,171258000,178469000,187352000,188569000,185276000,187620000,187564000,195109000,196480000,195003000,206244000,203598000,195611000,209259000
