,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,120532000,109967000,141421000,128043000,140293000,110505000,121621000,162202000,144894000,146244000,145189000,182765000,179397000,294603000,181558000,221620000,276861000,280507000,209013000,273692000,205784000,205286000,188806000,251039000,269669000,271745000,299579000,581183000,615803000,537718000,698933000,839633000,269167000,203691000,200660000,231892000,218265000,217711000,167265000,193997000,215185000,200234000,181401000,177502000,204602000,217171000,217740000,213758000,197339000,183114000,194213000,352246000,428053000,200233000,199837000
IncomeCostOfSales,103273000,89910000,129252000,111597000,118865000,96663000,108714000,150191000,127096000,128153000,134264000,154758000,151941000,249534000,161701000,198460000,224560000,233342000,171621000,236047000,172981000,179931000,166364000,223018000,237624000,242117000,278228000,533180000,570912000,494188000,654341000,768160000,248977000,191960000,194540000,212325000,195786000,197867000,154768000,185223000,198524000,183277000,166769000,155422000,189533000,197564000,197872000,185712000,180412000,166150000,179770000,324937000,402965000,163714000,168926000
IncomeDistributionExpenses,,,,,,,,,,,0,0,0,0,267000,1702000,3134000,3586000,5597000,4747000,3768000,2788000,1690000,5393000,3640000,2889000,1535000,4647000,5773000,5098000,4471000,6148000,4029000,4689000,3435000,5243000,4330000,3554000,1465000,3374000,3276000,2759000,3216000,3505000,3471000,4782000,4390000,5551000,3515000,3396000,3414000,4887000,3602000,3031000,2886000
IncomeAdministrativExpenses,3945000,4554000,5305000,6340000,4189000,5283000,5433000,7000000,4580000,5457000,5678000,7720000,4694000,5952000,7765000,7890000,5738000,7948000,7994000,11677000,6996000,9060000,8701000,10821000,8399000,10256000,10154000,14836000,11411000,11212000,13059000,11681000,9507000,7217000,6998000,5612000,6042000,4782000,9206000,7380000,6173000,6671000,6645000,8300000,5975000,6205000,6423000,7234000,6253000,7908000,6184000,8234000,6955000,6739000,7357000
IncomeGrossProfit,13314000,15503000,6864000,10106000,17239000,8559000,7474000,5011000,13218000,12634000,5247000,20287000,22762000,39117000,11825000,13568000,43429000,35631000,23801000,21221000,22039000,13507000,12051000,11807000,20006000,16483000,9662000,28520000,27707000,27220000,27062000,53644000,6654000,-175000,-4313000,8712000,12107000,11508000,1826000,-1980000,7212000,7527000,4771000,10275000,5623000,8620000,9055000,15261000,7159000,5660000,4845000,14188000,14531000,26749000,20668000
IncomeOtherOperatingIncome,1148000,4947000,349000,7955000,1125000,5277000,2166000,3080000,1121000,1620000,1550000,1530000,1077000,456000,843000,6929000,1379000,682000,3062000,1513000,724000,1978000,1915000,1552000,2579000,956000,1680000,2269000,1490000,772000,2447000,4327000,2317000,3798000,1600000,62607000,3586000,12629000,391000,-1632000,-613000,35244000,481000,2146000,6217000,17155000,5000000,-7672000,1051000,30176000,-49000,-150000,1020000,-439000,618000
IncomeOtherOperatingCosts,476000,1291000,426000,11974000,811000,1803000,356000,5606000,757000,2104000,535000,2507000,1898000,1109000,1233000,5420000,1507000,1304000,2148000,4063000,1545000,2055000,967000,2299000,1802000,1780000,1677000,2950000,3121000,1210000,2300000,991000,1848000,10962000,-242000,26208000,1488000,3574000,2366000,163911000,2294000,9157000,159000,1525000,2790000,5825000,-3768000,808000,657000,4476000,-582000,5683000,275000,1961000,1445000
IncomeEBIT,13986000,19159000,6787000,6087000,17553000,12033000,9284000,2485000,13582000,12150000,6262000,19310000,21941000,38464000,11435000,15077000,43301000,35009000,24715000,18671000,21218000,13430000,12999000,11060000,20783000,15659000,9665000,27839000,26076000,26782000,27209000,56980000,7123000,-7339000,-2471000,45111000,14205000,20563000,-149000,-167523000,4305000,33614000,5093000,10896000,9050000,19950000,17823000,6781000,7553000,31360000,5378000,8355000,15276000,24349000,19841000
IncomeFinanceIncome,1829000,2389000,1594000,3968000,3008000,1281000,1169000,1570000,3826000,-1187000,6210000,3668000,1230000,522000,5328000,390000,1652000,1629000,2006000,-491000,8425000,1141000,-44000,1385000,1878000,911000,708000,429000,6470000,417000,1735000,6491000,1041000,77296000,-649000,455000,241000,1207000,390000,460000,835000,515000,611000,483000,401000,836000,545000,604000,331000,304000,487000,25432000,1652000,2269000,1576000
IncomeFinanceCosts,231000,220000,790000,3343000,717000,1668000,499000,-656000,195000,1875000,314000,-621000,1152000,884000,2887000,3598000,1280000,2047000,815000,-1155000,41912000,-38855000,16472000,3167000,2229000,342000,3307000,2626000,4288000,1154000,2560000,3356000,2870000,1825000,2840000,1154000,668000,1516000,2844000,2530000,2620000,2451000,2055000,2284000,1468000,1392000,1337000,1631000,1538000,2184000,1712000,3172000,1300000,-659000,761000
