,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,23873841000,25035764000,23632362000,24924672000,23355109000,23754578000,24313937000,28612820000,26034663000,26777050000,27529707000,28513697000,26745794000,28960472000,27269088000,29207248000,28264220000,28495063000,29491480000,29755201000,29413207000
IncomeCostOfSales,19412378000,20407849000,20271970000,21001421000,19776133000,18911291000,20723007000,24614783000,21872061000,22159015000,23028314000,22931132000,22340806000,23614468000,22383592000,24062136000,23149823000,23537379000,27250748000,24562430000,23828527000
IncomeDistributionExpenses,5338717000,6294657000,5493839000,5457715000,5097329000,6307924000,5870753000,6295417000,5581485000,6501320000,6243458000,6115253000,6248938000,6731186000,6364512000,6671392000,6831856000,7147012000,7209124000,7111385000,7301748000
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingIncome,960802000,709989000,666175000,1061683000,951056000,457699000,1139912000,2084265000,1909563000,641743000,1258864000,1078160000,1972001000,464678000,1491952000,1428952000,1671041000,1808942000,1055730000,1910272000,1430890000
IncomeOtherOperatingCosts,1361832000,852852000,1007696000,1878682000,1309788000,798893000,1269352000,2062953000,1762359000,1509984000,1356352000,1875060000,2087248000,836420000,1711864000,1583792000,1755437000,1808942000,1344439000,2077108000,1603439000
IncomeEBIT,2214022000,2173258000,1450407000,1617408000,2310900000,1876566000,1833045000,1909510000,2629227000,1560317000,2085391000,2876513000,2445793000,2186197000,2518208000,2902144000,2430605000,2320349000,-90491000,2932143000,2491432000
IncomeFinanceIncome,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceCosts,208870000,233777000,215031000,211507000,200222000,170597000,183722000,213115000,188094000,188748000,156828000,140630000,157931000,159318000,159544000,163688000,151913000,160607000,159437000,158494000,172549000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,2005152000,1939482000,1235376000,1405901000,2110678000,1705969000,1649323000,1696395000,2441133000,1371569000,1928563000,2735883000,2287862000,2026879000,2358664000,2738456000,2278692000,2159742000,-249928000,2773649000,2318884000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,2005152000,1939482000,1235376000,1405901000,2110678000,1705969000,1649323000,1696395000,2441133000,1371569000,1928563000,2735883000,2287862000,2026879000,2358664000,2738456000,2278692000,2159742000,-249928000,2773649000,2318884000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1466267000,1389673000,973965000,1447373000,1535038000,1202500000,1298581000,1704920000,1676490000,922768000,1386022000,1926198000,1626260000,1371905000,1733424000,2083704000,1679480000,1631429000,77564000,1951981000,1632898000
IncomeShareholderNetProfit,868899000,874498000,497523000,846029000,901001000,686549000,622150000,1018690000,1026339000,251664000,750232000,1048329000,947585000,801016000,1004696000,1181208000,1004312000,950963000,-81873000,950965000,917453000
BalanceNoncurrentAssets,,,,51819264000,52424898000,51844814000,52014204000,52025634000,51864876000,50815156000,49066034000,49740228000,48284141000,49393006000,48009808000,50738856000,47789235000,47450916000,49067722000,48766163000,50043274000
BalanceIntangibleAssets,,,,10579507000,10457449000,10356480000,10000323000,8933781000,9200250000,8955044000,8519586000,8480385000,8233744000,8687257000,8373904000,8591408000,8228610000,8216316000,8725928000,8320946000,8341247000
BalanceProperty,,,,6730906000,7141266000,7493781000,7829063000,7983288000,7789545000,7969360000,8566211000,9366777000,9283770000,9634314000,9874480000,10971520000,10203476000,10350699000,10945114000,11674349000,11809051000
BalanceNoncurrentReceivables,,,,12375245000,11304223000,11009741000,10956512000,10459684000,9699108000,8342662000,6675795000,5484551000,4375110000,3960823000,3272808000,3291456000,2434825000,2299216000,2318296000,2310679000,2024289000
BalanceNoncurrInvestments,,,,1405901000,1568409000,1556177000,1624270000,1594100000,1590621000,1770037000,1775973000,1632155000,1634797000,1725945000,1655808000,1897896000,1844053000,1783583000,1870149000,1751778000,1919076000
BalanceOtherNoncurrentAssets,,,,20727706000,21953552000,21428635000,21604037000,23054781000,23585352000,23778054000,23528469000,24776361000,24756720000,25384668000,24832808000,25986576000,25078271000,24801102000,25208235000,24708412000,25949611000
BalanceCurrentAssets,,,,498899866000,518042090000,529428755000,552786094000,575802632000,604419624000,598901598000,598956566000,601246512000,612374543000,649605869000,638771056000,642174568000,627636173000,619076588000,629912856000,611846005000,629238086000
BalanceInventory,,,,,,,,,,,,,,,,,,,,,
