,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2326000,3021000,2387000,2879000,2582000,1437000,1436000,1703000,2287000,1899000,3186000,2491000,2009000,3481000,2594000,3666000,4321000,4900000,2807000,5535000,3506000,3400000,2735000,3276000,2865000,4199000,3003000,2485000,2609000,2515000,0,-2372000,70000,70000,70000,69000,74000,145000,112000,99000,55000,51000,2328000,1754000
IncomeCostOfSales,2080000,2298000,3123000,719000,1427000,1688000,2160000,2236000,2988000,2261000,1911000,2456000,2157000,2957000,4018000,4209000,2247000,4903000,2870000,4127000,2607000,2936000,2560000,3984000,2606000,2245000,2298000,2419000,0,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,98000,,53000,207000,472000,467000,46000,44000,28000,37000,28000,29000,33000,31000,0,,,,,,,,,,,,627000,279000,373000,951000,144000,188000,213000,190000
IncomeAdministrativExpenses,169000,61000,233000,899000,347000,356000,374000,319000,322000,341000,407000,588000,536000,597000,492000,553000,434000,514000,504000,544000,53000,-464000,54000,47000,53000,58000,35000,42000,49000,98000,64000,69000,-2000,640000,28000,208000,111000,-233000,-135000,-173000,-86000,-527000,29000,169000
IncomeGrossProfit,-135000,126000,90000,255000,27000,372000,185000,84000,-243000,-1782000,-454000,-301000,-215000,-375000,-65000,-303000,-226000,-479000,-53000,542000,16000,23000,17000,11000,39000,103000,63000,1000,-9000,-18000,4000,207000,21000,108000,42000,-32000,43000,402000,154000,20000,49000,63000,10000,170000
IncomeOtherOperatingIncome,4000,134000,47000,20000,6000,44000,56000,191000,157000,132000,70000,58000,29000,16000,19000,56000,1000,-56000,1000,0,0,0,,,,,,,69000,25000,40000,-39000,13000,31000,-1000,222000,13000,77000,48000,177000,41000,90000,-10000,5000
IncomeOtherOperatingCosts,19000,1360000,-183000,120000,9000,143000,-128000,164000,2000,27000,-7000,8810000,0,,200000,0,0,,2000,0,2000,13000,1000,2000,778000,49000,291000,113000,-226000,-105000,198000,69000,-729000,65000,155000,-173000,119000,53000,299000,84000,387000,172000,-1232000,-4000
IncomeEBIT,-1711000,-306000,-312000,-17000,-481000,-38000,-314000,-200000,-9233000,-52000,9296000,-183000,23000,17000,211000,39000,101000,63000,-1000,-22000,-19000,3000,0,17000,18000,23000,20000,216000,-76000,-83000,5000,16000,71000,-1000,20000,39000,16000,8000,26000,15000,12000,11000,11000,5000
IncomeFinanceIncome,3000,3000,7000,9000,12000,11000,72000,,,6000,40000,11000,0,5000,3000,30000,58000,59000,63000,68000,182000,69000,60000,66000,70000,46000,52000,77000,64000,55000,62000,76000,163000,114000,382000,169000,212000,105000,94000,70000,59000,49000,60000,58000
IncomeFinanceCosts,61000,6000,-52000,8000,0,29000,8000,1000,2000,,,,,,,,100000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,-25000,720000,7000,246000,68000,-388000,42000,162000,-80000,-794000,35000,174000,-251000,75000,37000,253000,16000,250000,58000,-1599000,-161000,-1912000,-400000,-401000,-84000,-537000,-80000,-365000,-246000,-9283000,14000,9265000,-183000,23000,17000,211000
IncomeNetGrossProfit,37000,141000,45000,-9000,-18000,-18000,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,-25000,720000,7000,246000,68000,-388000,42000,162000,-80000,-794000,35000,174000,-251000,75000,37000,253000,16000,250000,59000,-1600000,-161000,-1912000,-400000,-401000,-84000,-537000,-80000,-365000,-246000,-9283000,14000,9265000,-183000,23000,17000,211000,37000,141000,45000,-9000
IncomeBeforeTaxProfit,-18000,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1357000,-9153000,,-9263000,,,,,,,,,-25000
IncomeDiscontinuedProfit,579000,2000,197000,51000,-343000,42000,135000,-89000,-714000,96000,127000,-218000,33000,12000,177000,11000,203000,45000,-1583000,-161000,-1914000,-399000,-405000,-84000,-534000,-80000,-356000,-246000,-675000,-9153000,-130000,0,10000,-179000,6000,4000,200000,81000,112000,24000,-10000,-26000,-29000,-25000
IncomeNetProfit,579000,2000,197000,51000,-343000,42000,135000,-89000,-714000,96000,127000,-218000,33000,12000,177000,11000,203000,45000,-1583000,-161000,-1914000,-399000,-405000,-84000,-534000,-80000,-356000,-246000,-675000,-9153000,-130000,0,10000,-179000,6000,4000,200000,81000,112000,24000,-10000,-26000,-29000,
