,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2347000,2179000,2016000,764000,491000,1275000,2619000,1922000,5535000,2777000,1231000,3998000,11703000,10816000,6950000,2646000,941000,4963000,5720000,10371000,10616000,12317000,5858000,6810000,6062000,5772000,5351000,6999000,4987000,3094000,5920000,6342000,4978000,3113000,6164000,5095000,7543000,6733000,8092000,8313000
IncomeCostOfSales,2105000,989000,1829000,666000,610000,217000,1775000,1400000,3430000,1805000,777000,2768000,7185000,5991000,4922000,1812000,867000,1782000,2963000,4110000,4560000,6324000,1572000,4277000,3368000,3185000,2215000,4718000,2666000,2609000,2702000,4903000,2761000,1805000,4221000,3760000,5791000,7102000,6197000,7464000
IncomeDistributionExpenses,,,,,,305000,389000,215000,648000,374000,75000,209000,411000,426000,101000,80000,3000,123000,377000,780000,457000,177000,185000,97000,96000,127000,128000,136000,112000,107000,116000,138000,161000,713000,140000,725000,313000,493000,357000,382000
IncomeAdministrativExpenses,,,,,,990000,242000,252000,356000,522000,262000,348000,382000,584000,498000,651000,612000,583000,571000,702000,536000,596000,735000,729000,804000,948000,825000,825000,1163000,949000,1047000,1380000,1159000,1204000,1069000,1370000,1371000,2460000,1608000,1973000
IncomeGrossProfit,242000,1190000,187000,98000,-119000,-237000,213000,55000,1101000,76000,117000,673000,3725000,3815000,1429000,103000,-541000,2475000,1809000,4780000,5062000,5220000,3366000,1707000,1793000,1513000,2183000,1320000,1046000,-571000,2055000,-79000,897000,-608000,734000,-760000,68000,-3322000,-70000,-1506000
IncomeOtherOperatingIncome,,17000,57000,0,13000,4000,688000,10000,-3000,-6000,566000,79000,79000,4147000,-5209000,58000,-14000,90000,1718000,64000,3657000,307000,520000,68000,71000,-75000,-135000,68000,83000,82000,128000,115000,-17000,34000,0,60000,193000,19000,227000,32000
IncomeOtherOperatingCosts,16000,-3000,117000,7000,40000,12000,168000,25000,31000,32000,664000,21000,73000,128000,83000,30000,102000,48000,58000,17000,3710000,147000,17000,194000,232000,205000,217000,177000,46000,239000,869000,200000,-7000,608000,699000,95000,339000,223000,980000,155000
IncomeEBIT,139000,-116000,-341000,206000,15000,1093000,596000,102000,639000,3687000,3717000,1487000,109000,3478000,-2817000,1837000,4664000,5104000,6880000,3413000,1654000,1953000,2016000,2057000,1159000,766000,-923000,1946000,-42000,740000,-1349000,649000,-770000,-506000,-4021000,-105000,-1652000,73000,149000,-49000
IncomeFinanceIncome,238000,119000,-302000,88000,28000,-104000,10000,171000,-151000,164000,381000,2000,91000,41000,55000,102000,258000,-16000,480000,2000,976000,2105000,11000,940000,1008000,1036000,1401000,760000,885000,-740000,-41000,880000,1071000,710000,-2543000,1572000,765000,140000,159000,5000
IncomeFinanceCosts,248000,70000,-136000,145000,157000,-11000,-53000,125000,-77000,22000,14000,611000,-192000,66000,84000,18000,38000,77000,311000,82000,53000,49000,188000,1236000,-580000,220000,-84000,147000,495000,225000,263000,1812000,3116000,1441000,-3853000,1424000,-261000,,,
