,2010/Q1,2010/Q2,2010/Q3,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,528000,648000,1482000,2914000,3361000,4499000,7500000,6766000,1500000,-541000,11933000,4490000,308000,3762000,8885000,7326000,14003000,12803000,24102000,15043000,16916000,19446000,36690000,32022000,42374000,25603000,49033000,33522000,34798000,21400000
IncomeCostOfSales,,,,,,,17697000,,7322000,,,,4778000,9165000,7871000,15290000,10859000,13812000,11744000,34993000,25813000,36916000,22140000,44204000,28116000,28075000,16416000,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,16000,143000,178000,189000,927000,1566000,1984000,3771000,2340000,5165000,1760000,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,1348000,1258000,2408000,4672000,2826000,2197000,3523000,620000,3965000,3707000,1409000,111000,3380000,-435000,1255000,114000,46000,736000
IncomeGrossProfit,80000,91000,176000,230000,3251000,-1067000,-1781000,1735000,-128000,2458000,2721000,1822000,1200000,3580000,2524000,4140000,1342000,764000,4001000,888000,1317000,185000,70000,947000,-314000,1993000,1969000,,,
IncomeOtherOperatingIncome,,,,574000,,41000,294000,499000,-498000,338000,-135000,76000,846000,1618000,759000,488000,-308000,238000,671000,589000,1104000,746000,1074000,813000,1959000,764000,,,,
IncomeOtherOperatingCosts,,,634000,,399000,48000,426000,363000,-265000,8000,934000,525000,232000,341000,-205000,181000,407000,241000,-220000,364000,1908000,243000,1918000,611000,,,,,,
IncomeEBIT,517000,,45000,1981000,-55000,2386000,2696000,1952000,1268000,3492000,3617000,4667000,1489000,661000,4058000,1152000,1665000,1509000,452000,113000,256000,2034000,2122000,,,,,,,782000
IncomeFinanceIncome,,86000,19000,0,22000,356000,200000,42000,34000,11000,547000,66000,95000,81000,541000,41000,693000,360000,-254000,108000,132000,179000,,,,,,,58000,
IncomeFinanceCosts,40000,0,7000,34000,55000,113000,53000,188000,109000,354000,115000,116000,210000,61000,179000,390000,551000,124000,393000,464000,306000,,,,,,,807000,,4160000
IncomeOtherIncome,-5910000,-111000,,,,,,,-13000,26000,18000,307000,115000,45000,740000,2362000,5712000,317000,-6343000,2256000,2741000,-746000,-3910000,-173000,2485000,2997000,2039000,1257000,3338000,3519000
IncomeNetGrossProfit,4860000,1440000,640000,3929000,1619000,1527000,1838000,279000,42000,-29000,1702000,1995000,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,115000,45000,740000,2362000,5712000,317000,-6343000,2256000,2741000,-746000,-3910000,-173000,2485000,2997000,2039000,1257000,3338000,3519000
IncomeBeforeTaxProfit,4860000,1440000,640000,3929000,1619000,1527000,1838000,279000,42000,-29000,1702000,1995000,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,-422000,-6000,,-893000,89000,32000,594000,1928000,4869000,317000,-5144000,2350000,2857000,-1745000,-3054000,-181000,2493000,2643000,2235000,1127000,3171000,3249000,4674000,1375000
IncomeNetProfit,286000,3788000,1028000,1149000,1105000,459000,330000,152000,1370000,894000,89000,32000,594000,1928000,4869000,317000,-5277000,2350000,2857000,-1747000,-3069000,-189000,2501000,2633000,1888000,1132000,2991000,3027000,4356000,1626000
IncomeShareholderNetProfit,355000,3551000,948000,890000,988000,367000,237000,43000,1195000,529000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,,,,,,3235000,,2606000,5361000,5382000,3929000,15089000,16060000,20537000,25806000,27151000,27476000,29311000,29146000,30454000,44146000,42979000,50092000,50213000,50263000,44879000,43572000,41292000,
