,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
IncomeRevenues,42384000,56200000,44239000,72752000,65787000,68051000,51866000,79598000,73927000,85161000,64246000,80692000,69882000,72799000
IncomeRevenues_yy,,,,,55.21,21.09,17.24,9.41,12.37,25.14,23.87,1.37,-5.47,-14.52
IncomeRevenues_sy,,,,,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82
IncomeRevenues_qq,,32.60,-21.28,64.45,-9.57,3.44,-23.78,53.47,-7.12,15.20,-24.56,25.60,-13.40,4.17
IncomeRevenues_sq,,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28
IncomeCostOfSales,27254000,36598000,28390000,45145000,41918000,41136000,32357000,49781000,46778000,53381000,42207000,55014000,48880000,57287000
IncomeCostOfSales_yy,,,,,53.81,12.40,13.97,10.27,11.59,29.77,30.44,10.51,4.49,7.32
IncomeCostOfSales_sy,,,,,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42
IncomeCostOfSales_qq,,34.28,-22.43,59.02,-7.15,-1.87,-21.34,53.85,-6.03,14.12,-20.93,30.34,-11.15,17.20
IncomeCostOfSales_sq,,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64
IncomeDistributionExpenses,847000,1149000,890000,1403000,1046000,1393000,959000,1423000,1424000,3235000,1656000,3351000,4145000,4325000
IncomeDistributionExpenses_yy,,,,,23.39,21.30,7.82,1.45,36.17,132.16,72.61,135.51,191.14,33.70
IncomeDistributionExpenses_sy,,,,,3.77,10.07,6.53,4.85,9.72,-6.77,6.80,3.87,1.68,14.01
IncomeDistributionExpenses_qq,,35.56,-22.55,57.64,-25.45,33.26,-31.15,48.32,0.06,127.21,-48.81,102.37,23.69,4.34
IncomeDistributionExpenses_sq,,20.12,-22.53,4.84,2.78,15.00,-18.02,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30
IncomeAdministrativExpenses,1041000,1398000,1362000,1823000,1632000,1128000,1698000,2205000,1482000,2979000,1533000,1816000,1513000,2979000
IncomeAdministrativExpenses_yy,,,,,56.78,-19.32,24.66,21.00,-9.16,164.12,-9.68,-17.64,2.08,-0.02
IncomeAdministrativExpenses_sy,,,,,1.28,-5.29,1.91,2.76,1.67,5.18,8.60,7.35,3.04,2.56
IncomeAdministrativExpenses_qq,,34.34,-2.60,33.83,-10.47,-30.87,50.50,29.90,-32.78,100.99,-48.53,18.44,-16.68,96.86
IncomeAdministrativExpenses_sq,,15.55,-12.98,6.28,-7.94,6.96,-1.97,3.81,-5.00,15.10,-9.02,1.72,-7.65,12.99
IncomeGrossProfit,13242000,17056000,13597000,24382000,21191000,24394000,16852000,26189000,24243000,25565000,18850000,20511000,15344000,8208000
IncomeGrossProfit_yy,,,,,60.03,43.02,23.94,7.41,14.40,4.80,11.86,-21.68,-36.71,-67.90
