,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,134807000,142819000,139339000,145252000,158464000,174867000,170642000,182814000,186695000,187296000,188681000,221430000,238857000,269424000,345870000,389986000,488302000,515598000,474541000,502574000,548771000,610831000,591248000,495802000,556188000,301004000,498084000,528425000,798374000,307915000,516559000,530639000
IncomeRevenues_yy,,,,,17.55,22.44,22.47,25.86,17.82,7.11,10.57,21.12,27.94,43.85,83.31,76.12,104.43,91.37,37.20,28.87,12.38,18.47,24.59,-1.35,1.35,-50.72,-15.76,6.58,43.54,2.30,3.71,0.42
IncomeRevenues_sy,,,,,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,5.94,-2.44,4.24,9.10,10.35,-2.42,7.13,2.12,0.32,0.74,17.36,7.87,12.80,28.37,12.76,25.21,5.59,-7.96,5.91,9.19,11.31,-3.21,-16.14,12.18,-45.88,65.47,6.09,51.09,-61.43,67.76,2.73
IncomeRevenues_sq,,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,121534000,126985000,126708000,132152000,143907000,162048000,155104000,166401000,166734000,163873000,167904000,197272000,215295000,225157000,306379000,345576000,434349000,450018000,425275000,453069000,486791000,533969000,,,,,,,,,,
IncomeCostOfSales_yy,,,,,18.41,27.61,22.41,25.92,15.86,1.13,8.25,18.55,29.13,37.40,82.47,75.18,101.75,99.87,38.81,31.11,12.07,18.65,-100.00,-100.00,-100.00,-100.00,,,,,,
IncomeCostOfSales_sy,,,,,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,,,,,,
IncomeCostOfSales_qq,,4.49,-0.22,4.30,8.90,12.61,-4.29,7.28,0.20,-1.72,2.46,17.49,9.14,4.58,36.07,12.79,25.69,3.61,-5.50,6.54,7.44,9.69,-100.00,,,,,,,,,
IncomeCostOfSales_sq,,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,,,,,,,,,
IncomeDistributionExpenses,1816000,2768000,1499000,2462000,2019000,4382000,2006000,2752000,2983000,2954000,3930000,4845000,3846000,4165000,7045000,8618000,10768000,10345000,9573000,13132000,11080000,15720000,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,11.18,58.31,33.82,11.78,47.75,-32.59,95.91,76.05,28.92,40.99,79.27,77.88,180.01,148.38,35.88,52.38,2.90,51.96,-100.00,-100.00,-100.00,-100.00,,,,,,
IncomeDistributionExpenses_sy,,,,,11.18,17.48,17.50,9.87,-4.76,-34.71,-11.60,-11.91,3.44,-3.02,-2.34,-18.11,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,,,,,,
IncomeDistributionExpenses_qq,,52.42,-45.85,64.24,-17.99,117.04,-54.22,37.19,8.39,-0.97,33.04,23.28,-20.62,8.30,69.15,22.32,24.95,-3.93,-7.46,37.18,-15.62,41.88,-100.00,,,,,,,,,
IncomeDistributionExpenses_sq,,36.18,-1.91,31.47,-6.87,20.46,-19.74,17.81,-10.65,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,,,,,,,,,
IncomeAdministrativExpenses,3746000,4816000,5294000,4440000,4425000,-2520000,5681000,5019000,7628000,7381000,8247000,9522000,8643000,20355000,15723000,19889000,21662000,17937000,22336000,25177000,28087000,34963000,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,18.13,-152.33,7.31,13.04,72.38,392.90,45.17,89.72,13.31,175.78,90.65,108.88,150.62,-11.88,42.06,26.59,29.66,94.92,-100.00,-100.00,-100.00,-100.00,,,,,,
IncomeAdministrativExpenses_sy,,,,,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,,,,,,
IncomeAdministrativExpenses_qq,,28.56,9.93,-16.13,-0.34,-156.95,325.44,-11.65,51.98,-3.24,11.73,15.46,-9.23,135.51,-22.76,26.50,8.91,-17.20,24.53,12.72,11.56,24.48,-100.00,,,,,,,,,
IncomeAdministrativExpenses_sq,,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,,,,,,,,,
IncomeGrossProfit,7711000,8250000,5838000,6198000,8113000,10957000,7851000,8642000,9350000,13088000,8600000,9792000,11072000,19747000,16722000,15903000,21523000,37298000,17357000,11196000,22812000,26179000,15087000,3414000,17810000,-25601000,4957000,3264000,32363000,-34472000,3571000,-4294000
IncomeGrossProfit_yy,,,,,5.21,32.81,34.48,39.43,15.25,19.45,9.54,13.30,18.42,50.88,94.44,62.42,94.39,88.88,3.79,-29.60,5.99,-29.81,-13.07,-69.51,-21.93,-197.79,-67.14,-4.40,81.71,-34.65,-27.97,-231.56
IncomeGrossProfit_sy,,,,,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,6.99,-29.24,6.17,30.90,35.05,-28.35,10.08,8.19,39.98,-34.29,13.86,13.08,78.34,-15.32,-4.90,35.34,73.29,-53.47,-35.49,103.76,14.76,-42.37,-77.37,421.67,-243.74,119.36,-34.16,891.54,-206.52,110.36,-220.25
IncomeGrossProfit_sq,,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,637000,2892000,363000,1121000,4878000,1438000,595000,332000,525000,2726000,1800000,1442000,2421000,2453000,1060000,2413000,1824000,6590000,2716000,9544000,4835000,14598000,4749000,5611000,3529000,4470000,3667000,4123000,6703000,9860000,4733000,10698000
IncomeOtherOperatingIncome_yy,,,,,665.78,-50.28,63.91,-70.38,-89.24,89.57,202.52,334.47,361.19,-10.02,-41.14,67.28,-24.67,168.67,156.36,295.52,165.09,121.51,74.85,-41.21,-27.01,-69.38,-22.78,-26.51,89.95,120.58,29.07,159.46
IncomeOtherOperatingIncome_sy,,,,,18.99,-40.06,27.70,-32.78,-22.80,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,354.00,-87.45,208.82,335.15,-70.52,-58.62,-44.20,58.13,419.24,-33.97,-19.86,67.86,1.31,-56.80,127.73,-24.41,261.34,-58.78,251.35,-49.34,201.94,-67.47,18.14,-37.11,26.68,-17.96,12.43,62.56,47.10,-51.99,126.01
IncomeOtherOperatingIncome_sq,,104.82,-76.91,43.75,-4.96,7.45,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,885000,1803000,584000,1074000,4696000,1440000,786000,559000,966000,1731000,1311000,2706000,2273000,3049000,1565000,2145000,2234000,8247000,3758000,4164000,2351000,7439000,3160000,7138000,3968000,5446000,4841000,6572000,1994000,12782000,4766000,33136000
IncomeOtherOperatingCosts_yy,,,,,430.62,-20.13,34.59,-47.95,-79.43,20.21,66.79,384.05,135.35,76.15,19.38,-20.74,-1.74,170.45,140.11,94.15,5.26,-9.79,-15.91,71.42,68.75,-26.80,53.19,-7.94,-49.75,134.71,-1.54,404.22
IncomeOtherOperatingCosts_sy,,,,,66.60,-9.84,3.83,-28.44,-50.00,12.90,45.59,1.99,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,103.73,-67.61,83.90,337.24,-69.34,-45.42,-28.88,72.81,79.19,-24.26,106.39,-15.98,34.12,-48.67,37.04,4.16,269.15,-54.43,10.81,-43.53,216.38,-57.53,125.90,-44.41,37.25,-11.12,35.77,-69.66,541.08,-62.71,595.23
IncomeOtherOperatingCosts_sq,,211.83,-67.61,29.25,-28.03,175.00,-60.12,10.15,-2.56,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,7463000,9339000,5617000,6245000,8295000,10955000,7660000,8415000,8909000,14083000,9089000,8528000,11220000,19150000,16217000,16171000,21113000,35642000,16315000,16575000,25296000,33338000,16677000,1886000,17371000,-26576000,3784000,815000,37072000,-37394000,3538000,-26731000
IncomeEBIT_yy,,,,,11.15,17.30,36.37,34.75,7.40,28.55,18.66,1.35,25.94,35.98,78.42,89.62,88.17,86.12,0.61,2.50,19.81,-6.46,2.22,-88.62,-31.33,-179.72,-77.31,-56.77,113.41,-40.71,-6.50,-3378.05
IncomeEBIT_sy,,,,,10.94,46.31,3.45,-23.98,5.62,-39.60,14.29,4.23,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,25.14,-39.85,11.18,32.83,32.07,-30.08,9.86,5.87,58.08,-35.46,-6.17,31.56,70.68,-15.32,-0.28,30.56,68.81,-54.22,1.60,52.61,31.79,-49.98,-88.69,820.81,-252.99,114.24,-78.45,4446.12,-200.87,109.46,-855.52
IncomeEBIT_sq,,-25.58,-6.14,40.13,26.02,-3.54,-35.45,-32.85,39.95,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,-221000,235000,382000,28000,791000,2371000,835000,-1000,14000,845000,1516000,-1315000,43000,1474000,3807000,-2465000,24000,1110000,3689000,-1801000,100000,643000,1361000,1951000,-1533000,201000,1571000,5353000,-3376000,186000,308000,2996000
IncomeFinanceIncome_yy,,,,,457.92,908.94,118.59,-103.57,-98.23,-64.36,81.56,-131373.00,210.34,74.44,151.09,-87.51,-45.79,-24.73,-3.08,26.96,325.32,-42.04,-63.12,208.33,-1630.30,-68.71,15.48,174.45,-120.23,-7.33,-80.42,-44.03
IncomeFinanceIncome_sy,,,,,77.11,101.02,59.72,-7.39,22.72,-50.69,55.56,25.45,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,206.33,62.55,-92.67,2725.00,199.75,-64.78,-100.12,1500.00,5935.71,79.41,-186.72,103.30,3292.66,158.24,-164.76,100.96,4610.39,232.51,-148.81,105.56,541.88,111.58,43.36,-178.60,113.13,680.84,240.70,-163.07,105.52,64.98,873.79
IncomeFinanceIncome_sq,,100.00,19.52,18.57,7.10,17.27,-29.47,-4.55,1.43,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,3132000,3343000,2645000,3080000,3194000,3188000,3907000,3574000,5851000,2610000,3994000,2963000,5104000,4751000,4158000,6147000,6558000,12194000,5057000,9256000,6704000,7516000,9000000,8295000,6345000,6788000,7782000,17261000,4944000,4826000,6310000,14263000
IncomeFinanceCosts_yy,,,,,1.98,-4.64,47.71,16.04,83.19,-18.13,2.23,-17.10,-12.76,82.03,4.11,107.47,28.48,156.67,21.62,50.57,2.22,-38.36,77.98,-10.38,-5.35,-9.69,-13.54,108.09,-22.08,-28.90,-18.92,-17.37
IncomeFinanceCosts_sy,,,,,37.32,34.26,45.75,17.89,85.69,-16.84,-4.16,-0.53,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,6.74,-20.88,16.45,3.70,-0.19,22.55,-8.52,63.71,-55.39,53.03,-25.82,72.28,-6.92,-12.48,47.83,6.68,85.95,-58.53,83.03,-27.58,12.12,19.75,-7.84,-23.51,6.97,14.65,121.80,-71.36,-2.39,30.74,126.06
IncomeFinanceCosts_sq,,8.54,-11.97,38.16,-8.65,26.56,-2.43,5.00,1.66,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,4110000,6231000,3354000,3193000,5892000,10138000,4588000,4840000,3072000,12318000,6611000,4251000,6159000,15873000,15865000,7559000,14579000,24557000,14947000,5519000,18692000,26465000,9037000,-4458000,9493000,-33163000,-2427000,-11092000,28751000,-42034000,-2464000,-37999000
IncomeNetGrossProfit_yy,,,,,43.36,62.70,36.79,51.58,-47.86,21.50,44.09,-12.18,100.49,28.86,139.98,77.83,136.70,54.70,-5.79,-26.99,28.22,7.77,-39.54,-180.78,-49.22,-225.31,-126.85,-148.82,202.88,-26.75,-1.53,-242.57
IncomeNetGrossProfit_sy,,,,,0.28,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,51.61,-46.17,-4.80,84.53,72.06,-54.74,5.49,-36.53,300.98,-46.33,-35.70,44.90,157.72,-0.05,-52.35,92.87,68.44,-39.13,-63.08,238.70,41.58,-65.85,-149.33,312.94,-449.34,92.68,-357.08,359.20,-246.20,94.14,-1442.25
IncomeNetGrossProfit_sq,,-25.39,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,0,0,0,,,6000,16000,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,166.67,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,166.67,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,4110000,6231000,3354000,3193000,5892000,10138000,4588000,4840000,3078000,12334000,6611000,4251000,6159000,15873000,15865000,7559000,14579000,24557000,14947000,5519000,18692000,26465000,9037000,-4458000,9493000,-33163000,-2427000,-11092000,28751000,-42034000,-2464000,-37999000
IncomeBeforeTaxProfit_yy,,,,,43.36,62.70,36.79,51.58,-47.76,21.66,44.09,-12.18,100.10,28.70,139.98,77.83,136.70,54.70,-5.79,-26.99,28.22,7.77,-39.54,-180.78,-49.22,-225.31,-126.85,-148.82,202.88,-26.75,-1.53,-242.57
IncomeBeforeTaxProfit_sy,,,,,0.28,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,51.61,-46.17,-4.80,84.53,72.06,-54.74,5.49,-36.40,300.71,-46.40,-35.70,44.90,157.72,-0.05,-52.35,92.87,68.44,-39.13,-63.08,238.70,41.58,-65.85,-149.33,312.94,-449.34,92.68,-357.08,359.20,-246.20,94.14,-1442.25
