,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,6805908000,9955048000,13074428000,11352883000,11330649000,13544538000,14879076000,13112926000,13408224000,16218297000,17264536000,16901926000,17938433000,22093518000,23056543000,16444731000,14701857000,16770079000,18649115000,17806939000,17442075000,21068424000,22105709000,22931224000,22673949000,25641150000,28682328000,29975647000,29247466000,27954845000,31654042000,31245647000,27450000000,28221000000,30304000000,27622000000,24119000000,28651000000,29160000000,24902000000,20005000000,24776000000,23468000000,20087000000,16213000000,19355000000,21083000000,22902000000,22875000000,23025000000,24730000000,24734000000,23241000000,26701000000,30344000000
IncomeRevenues_yy,,,,,66.48,36.06,13.80,15.50,18.34,19.74,16.03,28.90,33.79,36.23,33.55,-2.70,-18.04,-24.10,-19.12,8.28,18.64,25.63,18.53,28.78,30.00,21.70,29.75,30.72,28.99,9.02,10.36,4.24,-6.15,0.95,-4.26,-11.60,-12.13,1.52,-3.78,-9.85,-17.06,-13.52,-19.52,-19.34,-18.96,-21.88,-10.16,14.01,41.09,18.96,17.30,8.00,1.60,15.97,22.70
IncomeRevenues_sy,,,,,50.62,32.49,19.08,5.97,-3.20,1.98,6.04,19.76,32.86,36.23,33.55,-1.85,-20.88,-21.18,-16.20,4.89,25.38,35.37,19.13,28.78,30.00,24.59,25.59,28.48,23.61,16.32,11.57,14.26,-6.48,3.31,7.04,0.26,-9.58,3.54,-6.94,-14.56,-17.10,-11.29,-17.94,-17.15,-21.13,-21.88,-9.87,7.86,38.21,9.08,7.24,8.00,3.35,28.40,22.70
IncomeRevenues_qq,,46.27,31.33,-13.17,-0.20,19.54,9.85,-11.87,2.25,20.96,6.45,-2.10,6.13,23.16,4.36,-28.68,-10.60,14.07,11.20,-4.52,-2.05,20.79,4.92,3.73,-1.12,13.09,11.86,4.51,-2.43,-4.42,13.23,-1.29,-12.15,2.81,7.38,-8.85,-12.68,18.79,1.78,-14.60,-19.67,23.85,-5.28,-14.41,-19.29,19.38,8.93,8.63,-0.12,0.66,7.40,0.02,-6.04,14.89,13.64
IncomeRevenues_sq,,18.82,17.72,10.91,1.19,2.24,10.34,-11.87,-15.69,15.33,11.48,12.76,-4.26,7.56,4.84,-14.75,-19.09,-2.52,22.69,-2.60,-2.05,20.79,11.80,6.18,3.40,7.67,11.94,7.31,12.94,-0.87,4.29,-2.06,-4.88,-6.00,10.84,-4.68,-14.88,13.55,-0.64,-12.79,-19.91,0.63,-7.47,-11.45,-23.30,22.82,-2.76,10.56,-10.34,-19.18,4.49,12.11,-6.04,19.07,13.64
IncomeCostOfSales,5334218000,8082296000,11152227000,9510107000,10060876000,11482707000,12779271000,11548876000,11765203000,13684340000,15278133000,15398245000,16295209000,19316722000,21436712000,16950679000,13731627000,14943825000,16995562000,16172262000,15895156000,18775409000,20143661000,20752735000,20176513000,23440217000,26689334000,28091747000,26980832000,26320773000,29034510000,29757885000,25834000000,27068000000,28381000000,26570000000,22821000000,27163000000,26785000000,24241000000,17523000000,20880000000,20973000000,18416000000,14574000000,16223000000,18349000000,19077000000,19449000000,20151000000,21060000000,21106000000,20436000000,23169000000,26495000000
IncomeCostOfSales_yy,,,,,88.61,42.07,14.59,21.44,16.94,19.17,19.55,33.33,38.50,41.16,40.31,10.08,-15.73,-22.64,-20.72,-4.59,15.76,25.64,18.52,28.32,26.93,24.85,32.49,35.36,33.72,12.29,8.79,5.93,-4.25,2.84,-2.25,-10.71,-11.66,0.35,-5.62,-8.77,-23.22,-23.13,-21.70,-24.03,-16.83,-22.30,-12.51,3.59,33.45,24.21,14.77,10.64,5.07,14.98,25.81
IncomeCostOfSales_sy,,,,,86.90,44.16,24.40,14.14,6.74,7.48,6.76,30.53,40.14,39.34,44.06,13.42,-19.52,-18.50,-19.27,-7.92,28.88,30.64,22.14,33.98,46.10,48.62,55.41,35.36,33.72,29.64,6.25,5.93,-3.67,2.84,-7.31,-8.36,-0.48,11.86,-0.56,-8.77,-34.06,-23.13,-25.88,-24.03,-23.64,-26.72,-12.51,3.36,32.16,24.21,5.72,10.64,5.07,14.98,25.81
IncomeCostOfSales_qq,,51.52,37.98,-14.72,5.79,14.13,11.29,-9.63,1.87,16.31,11.65,0.79,5.83,18.54,10.97,-20.93,-18.99,8.83,13.73,-4.84,-1.71,18.12,7.29,3.02,-2.78,16.18,13.86,5.25,-3.95,-2.45,10.31,2.49,-13.19,4.78,4.85,-6.38,-14.11,19.03,-1.39,-9.50,-27.71,19.16,0.45,-12.19,-20.86,11.31,13.10,3.97,1.95,3.61,4.51,0.22,-3.17,13.37,14.36
IncomeCostOfSales_sq,,48.44,33.78,-3.88,-1.14,14.46,15.10,-12.23,-7.54,15.10,14.14,8.28,-0.99,14.51,18.17,-14.74,-29.22,16.11,17.02,-3.04,-2.42,17.99,11.53,9.67,-2.78,16.18,16.62,5.03,-3.95,12.12,-4.41,1.48,-11.42,4.78,4.85,0.33,-14.11,19.03,-1.39,-9.50,-27.71,19.16,-7.93,-4.74,-31.35,11.31,13.10,6.67,-12.22,3.61,3.74,13.81,-5.19,13.37,14.36
