,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,95218000,34197000,95193000,55817000,82759000,31033000,42783000,93925000,58702000,66592000,72947000,75404000,113726000,84131000
IncomeCostOfSales,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,
IncomeGrossProfit,66159000,1679000,61158000,17020000,43335000,-21652000,9036000,57059000,22991000,31353000,39618000,37738000,73517000,44594000
IncomeOtherOperatingIncome,292000,-214000,502000,1537000,6000,17000,19000,34000,16000,21000,29000,56000,11000,69000
IncomeOtherOperatingCosts,2489000,826000,710000,3038000,1040000,2045000,631000,2023000,854000,821000,1309000,568000,834000,2213000
IncomeEBIT,63962000,639000,60950000,15519000,42301000,-23680000,8424000,55070000,22153000,30553000,38338000,37226000,72694000,42450000
IncomeFinanceIncome,3621000,-946000,1938000,5831000,2006000,7667000,-5343000,7792000,4501000,-2080000,1364000,2533000,4258000,6061000
IncomeFinanceCosts,5803000,-3054000,-267000,664000,4542000,-1216000,-2263000,-108000,12923000,-207000,-602000,2177000,3209000,247000
IncomeOtherIncome,,,,,,,,,,-5612000,0,0,,61780000
IncomeNetGrossProfit,2747000,63155000,20686000,39765000,-14797000,5344000,62970000,13731000,23068000,40304000,37582000,73743000,48264000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,61780000
IncomeBeforeTaxProfit,2747000,63155000,20686000,39765000,-14797000,5344000,62970000,13731000,23068000,40304000,37582000,73743000,48264000,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,49842000
IncomeNetProfit,1750000,50939000,16504000,31859000,-8812000,4238000,50422000,10640000,18718000,31342000,32273000,59487000,40915000,49842000
IncomeShareholderNetProfit,1750000,50939000,16504000,31859000,-8812000,4238000,50422000,10640000,18718000,31342000,32273000,59487000,40915000,
BalanceNoncurrentAssets,33529000,32669000,31168000,29685000,28307000,27672000,26046000,25429000,24255000,19272000,18026000,16446000,15032000,14892000
BalanceIntangibleAssets,16918000,15948000,14962000,13340000,12581000,11724000,10860000,10060000,9901000,5187000,4040000,2915000,1775000,1344000
BalanceProperty,4334000,4308000,4202000,4107000,3866000,3824000,3598000,3746000,3419000,3466000,3181000,3034000,2760000,2712000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,12277000,12413000,12004000,12238000,11860000,12124000,11588000,11623000,10935000,10619000,10805000,10497000,10497000,10836000
BalanceCurrentAssets,665901000,611926000,666620000,697434000,689001000,643597000,667598000,771324000,824099000,843636000,883872000,881258000,904816000,964493000
BalanceInventory,,,,,,,,,,,,,,
BalanceCurrentReceivables,5627000,19439000,8040000,6988000,10788000,14970000,17392000,6260000,12850000,8063000,5711000,4384000,6147000,6904000
BalanceCurrentInvestments,66762000,61005000,73264000,64467000,63984000,60517000,69825000,95093000,114840000,135118000,148561000,128091000,114643000,116562000
BalanceCash,332383000,234809000,296285000,325328000,290116000,246426000,239817000,290739000,286000000,251987000,262402000,367096000,452041000,499189000
BalanceOtherCurrentAssets,261129000,296673000,289031000,300651000,324113000,321684000,340564000,379232000,410409000,448468000,467198000,381687000,331985000,341838000
BalanceAssetsForSale,,,,,,,,,,,,,,
BalanceTotalAssets,699430000,644595000,697788000,727119000,717308000,671269000,693644000,796753000,848354000,862908000,901898000,897704000,919848000,979385000
BalanceCapital,384524000,308472000,356202000,374049000,313759000,307132000,306757000,355893000,361210000,340965000,372422000,400342000,458337000,499290000
BalanceShareCapital,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000
BalanceOwnShares,,,,,,,,,,,,,,
BalanceReserve,262206000,261925000,258716000,260059000,282931000,285116000,280503000,279217000,273894000,307932000,308047000,303694000,302202000,389146000
BalanceNonshareCapital,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,9267000,9377000,10913000,9638000,9520000,6517000,10043000,13044000,14953000,14662000,17245000,10210000,12173000,14933000
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,9267000,9377000,10913000,9638000,9520000,6517000,10043000,13044000,14953000,14662000,17245000,10210000,12173000,14933000
BalanceCurrentLiabilities,305639000,326746000,330673000,343432000,394029000,357620000,376844000,427816000,472191000,507281000,512231000,487152000,449338000,465162000
BalanceCurrentTradePayablesv,257886000,289535000,288151000,301076000,319222000,320637000,342629000,377268000,418384000,457208000,455863000,421400000,402622000,424955000
BalanceCurrentBorrowings,20262000,12294000,14594000,10215000,9636000,10208000,9013000,22645000,28520000,26980000,30948000,40905000,19657000,16459000
BalanceCurrentObligations,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,27491000,24917000,27928000,32141000,65171000,26775000,25202000,27903000,25287000,23093000,25420000,24847000,27059000,23748000
BalanceReckoning,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,699430000,644595000,697788000,727119000,717308000,671269000,693644000,796753000,848354000,862908000,901898000,897704000,919848000,979385000
CashflowOperatingCashflow,45729000,-20131000,62051000,28879000,38125000,-28505000,-3631000,50295000,-51000,6609000,8470000,106841000,87457000,42190000
CashflowAmortization,1454000,1416000,1467000,1467000,1389000,1388000,1327000,1319000,1330000,1691000,1551000,1482000,1479000,775000
CashflowInvestingCashflow,-62000,-420000,-384000,-612000,-409000,-436000,-284000,-644000,-944000,-2652000,-134000,-257000,-68000,-235000
CashflowCapex,356000,414000,391000,608000,409000,436000,284000,655000,944000,2655000,306000,287000,68000,278000
CashflowFinancingCashflow,-66000,-78042000,-29000,-30000,-72149000,-19467000,-41000,-29000,-46000,-37596000,-24000,-31000,-27000,-20000
CashflowShareCapitalCash,,,,,,,,,,,,,,
CashflowDividend,,77521000,0,0,72116000,19443000,0,0,37563000,0,0,,45601000,-98593000
CashflowNetCashflow,61638000,28237000,-34433000,-48408000,-3956000,49622000,-1041000,-33639000,8312000,106553000,87362000,41935000,,
