,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,41110000,33521000,44229000,50614000,47396000,46325000,48250000,58157000,48128000,49701000,52775000,61914000,52305000,59187000,71519000,69546000,62640000,93966000,97842000,91995000,91220000,107540000,104655000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,1397000,438000,1637000,2708000,1957000,1360000,2022000,3131000,3729000,1540000,2283000,3275000,5758000,3736000,7827000,5233000,5217000,9454000,4979000,5831000,7249000,12412000,8636000
IncomeOtherOperatingIncome,307000,116000,281000,107000,667000,148000,724000,106000,396000,229000,261000,234000,507000,216000,309000,568000,319000,216000,428000,436000,453000,407000,355000
IncomeOtherOperatingCosts,646000,101000,92000,90000,411000,80000,444000,117000,286000,69000,26000,154000,196000,248000,406000,137000,63000,149000,5000,245000,-3000,19000,17000
IncomeEBIT,1058000,453000,1826000,2725000,2213000,1428000,2302000,3120000,3839000,1700000,2518000,3355000,6069000,3704000,7730000,5664000,5473000,9521000,5402000,6022000,7705000,12800000,8974000
IncomeFinanceIncome,51000,3000,92000,35000,116000,23000,-10000,-2000,15000,22000,8000,8000,20000,66000,,17000,251000,1424000,60000,345000,356000,117000,12000
IncomeFinanceCosts,238000,201000,246000,59000,395000,325000,123000,357000,494000,-95000,491000,-131000,879000,228000,-473000,1978000,272000,297000,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,1049000,111000,1562000,2643000,2317000
IncomeNetGrossProfit,1213000,2091000,2872000,3795000,1305000,2215000,3240000,5720000,3210000,7845000,5153000,5670000,8642000,5174000,6495000,5744000,12779000,10101000,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,1049000,111000,1562000,2643000,2317000
IncomeBeforeTaxProfit,1213000,2091000,2872000,3795000,1305000,2215000,3240000,5720000,3210000,7845000,5153000,5670000,8642000,5174000,6495000,5744000,12779000,10101000,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,1457000,13000,1681000,2155000,2103000
IncomeNetProfit,990000,1691000,2357000,2868000,1095000,1756000,2570000,4714000,2521000,6467000,4228000,4537000,6812000,4038000,5237000,4628000,10325000,8576000,1457000,13000,1681000,2155000,2103000
IncomeShareholderNetProfit,990000,1691000,2357000,2868000,1095000,1756000,2570000,4714000,2521000,6467000,4228000,4537000,6812000,4038000,5237000,4628000,10325000,8576000,,,,,
BalanceNoncurrentAssets,34626000,35020000,35030000,35669000,35825000,42459000,47226000,55543000,56331000,57010000,57520000,57836000,64513000,65012000,66134000,71682000,78479000,82683000,88018000,92642000,99447000,108366000,116503000
BalanceIntangibleAssets,13000,23000,25000,26000,7000,17000,52000,53000,39000,72000,86000,99000,58000,58000,81000,110000,76000,83000,99000,133000,68000,68000,68000
BalanceProperty,34529000,34913000,34848000,35493000,35718000,42329000,47048000,55367000,56158000,56803000,57273000,57594000,64299000,64748000,65612000,67436000,68802000,70410000,73016000,76801000,82288000,89675000,92198000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,84000,84000,157000,150000,100000,113000,126000,123000,134000,135000,161000,143000,156000,206000,441000,4136000,9601000,12190000,14903000,15708000,17091000,18623000,24237000
BalanceCurrentAssets,38746000,41715000,45390000,47944000,40388000,49788000,48717000,52681000,41862000,54530000,56250000,65180000,52412000,57683000,72761000,79617000,74083000,114915000,97527000,118957000,105107000,130854000,128339000
BalanceInventory,21009000,20409000,18938000,19943000,20438000,25366000,25291000,25280000,18104000,28757000,28087000,35563000,26976000,26540000,34036000,34206000,33447000,56091000,51139000,45767000,42660000,57312000,65127000
BalanceCurrentReceivables,15792000,20747000,26000000,26359000,14423000,22445000,21866000,25695000,15789000,22620000,24570000,28250000,21848000,28143000,27139000,31824000,21908000,39387000,39233000,43322000,32541000,45036000,44913000
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,,,
BalanceCash,1908000,515000,343000,1419000,5500000,1938000,1540000,1668000,7955000,3118000,3526000,1348000,3566000,2956000,11505000,13487000,18705000,19387000,7078000,29866000,29870000,28417000,18150000
BalanceOtherCurrentAssets,37000,44000,109000,223000,27000,39000,20000,38000,14000,35000,67000,19000,22000,44000,81000,100000,23000,50000,77000,2000,36000,89000,149000
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,73372000,76735000,80420000,83613000,76213000,92247000,95943000,108224000,98193000,111540000,113770000,123016000,116925000,122695000,138895000,151299000,152562000,197598000,185545000,211599000,204554000,239220000,244842000
BalanceCapital,26592000,26605000,28286000,30441000,44173000,45163000,46258000,48615000,51479000,53048000,51662000,54232000,64139000,66660000,72034000,76263000,80800000,87612000,88112000,110617000,115218000,125543000,130301000
BalanceShareCapital,1000000,1000000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1321000,1321000,1321000
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,20777000,25719000,25719000,25719000,37128000,37128000,42357000,42357000,42358000,42358000,48069000,48069000,53264000,53264000,61833000,61834000,61834000,61834000,76049000,93317000,93215000,93215000,109766000
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,7429000,6753000,7535000,6434000,8102000,8180000,10397000,16540000,15984000,14827000,15415000,14865000,15518000,15252000,15008000,17749000,20274000,25650000,28613000,30101000,31993000,34376000,33977000
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,5417000,4644000,5625000,4451000,6272000,6268000,8391000,14422000,3876000,3383000,3043000,2585000,2380000,2380000,2287000,4931000,5616000,8431000,9705000,10046000,12045000,13807000,12787000
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,3656000,3181000,2905000,2702000,2385000,1997000,1708000,1706000,1655000,1437000,1915000,1600000,1187000,1199000,1363000
BalanceNoncurrentOtherLiabilities,2012000,2109000,1910000,1983000,1830000,1912000,2006000,2118000,8452000,8263000,9467000,9578000,10753000,10875000,11013000,11112000,13003000,15782000,16993000,18455000,18761000,19370000,19827000
BalanceCurrentLiabilities,39351000,43377000,44599000,46738000,23938000,38904000,39288000,43069000,30730000,43665000,46693000,53919000,37268000,40783000,51853000,57287000,51488000,84336000,68820000,70881000,57343000,79301000,80564000
BalanceCurrentTradePayablesv,31125000,35650000,34801000,36966000,21221000,28539000,25414000,28659000,15210000,29194000,28874000,36551000,18447000,23550000,34262000,39591000,31265000,46407000,30889000,44709000,17015000,33376000,45181000
BalanceCurrentBorrowings,7977000,7478000,9429000,9239000,2309000,9927000,13311000,13741000,12808000,12190000,15303000,14809000,15760000,14917000,13480000,13638000,16734000,34045000,35428000,21419000,36565000,40619000,32241000
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,1517000,1548000,1514000,1457000,1381000,1370000,1308000,1343000,1423000,,,249000,249000,369000,533000
BalanceCurrentOtherLiabilities,408000,438000,563000,669000,1195000,526000,795000,896000,1474000,739000,2596000,2508000,3282000,3677000,2296000,3123000,3556000,5253000,2935000,,,,
BalanceReckoning,,,,,,207000,207000,206000,206000,207000,207000,207000,207000,207000,207000,207000,207000,53000,207000,73372000,76735000,80420000,83613000
BalanceTotalEquityAndLiabilities,76213000,92247000,95943000,108224000,98193000,111540000,113770000,123016000,116925000,122695000,138895000,151299000,152562000,197598000,185545000,211599000,204554000,239220000,244842000,,,,
CashflowOperatingCashflow,2631000,661000,-2718000,3538000,-2010000,-4084000,-18000,2490000,7337000,-2020000,-1031000,1665000,2758000,1690000,12658000,2054000,12139000,-6367000,-13107000,17769000,4334000,2693000,6042000
CashflowAmortization,254000,277000,281000,282000,305000,284000,288000,298000,321000,441000,447000,452000,511000,499000,520000,526000,595000,526000,563000,568000,631000,593000,720000
CashflowInvestingCashflow,-5273000,-671000,2025000,-927000,1866000,-6804000,-4022000,-8617000,-1096000,-1128000,-931000,-650000,-905000,-947000,-1081000,-2442000,-10894000,-4509000,-5491000,-4821000,-7115000,-9275000,-8588000
CashflowCapex,5273000,671000,175000,927000,262000,6831000,4145000,8618000,1096000,1137000,931000,650000,905000,947000,1085000,2442000,10894000,4567000,5624000,4821000,7115000,9275000,8913000
CashflowFinancingCashflow,3199000,-1383000,518000,-1532000,4225000,7325000,3643000,6255000,45000,-1688000,2369000,-3193000,366000,-1354000,-3028000,2370000,3974000,11558000,6289000,9840000,3198000,5129000,-8452000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,17267000,,
CashflowDividend,,,,,,595000,0,0,,2668000,-838000,,1014000,,,3538000,0,,,557000,-1393000,-175000,1079000
CashflowNetCashflow,4081000,-3563000,-397000,128000,6286000,-4836000,407000,-2178000,2219000,-611000,8549000,1982000,5219000,682000,-12309000,22788000,417000,-1453000,-10998000,,,,
