,2004/Q4,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q3,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,523330000,509017000,540006000,509017000,489619000,602339000,604280000,718292000,662306000,718292000,360965000,583316000,573981000,384881000,513528000,600353000,562822000,452220000,644838000,897630000,887632000,820961000,996206000,1115096000,1016068000,877633000,973000000,1105107000,930215000,839760000,922788000,983376000,879938000,846164000,1070411000,848128000,935279000,960217000,951046000,808358000,710416000,875297000,1003057000,787930000,798118000,901797000,910490000,848957000
IncomeCostOfSales,390666000,396779000,451111000,396779000,449371000,469929000,505596000,506572000,494922000,506572000,331239000,486789000,476767000,384613000,475352000,498535000,440314000,441097000,544804000,582733000,669502000,621793000,717215000,751184000,823983000,735551000,771013000,799969000,704504000,720992000,787450000,767672000,690904000,733034000,772014000,626990000,746358000,691142000,647804000,610034000,584565000,693485000,716449000,613633000,646646000,694569000,691816000,734028000
IncomeDistributionExpenses,38258000,35061000,39749000,35061000,40551000,37142000,41114000,42428000,43989000,42428000,29886000,38017000,38968000,27652000,32634000,37110000,42246000,35318000,42017000,44193000,51852000,54929000,62021000,61773000,58855000,61188000,61261000,70361000,62663000,59046000,63801000,66076000,66007000,65011000,64871000,67422000,67135000,71269000,73072000,70754000,58904000,78856000,74275000,70369000,63698000,67645000,59979000,72672000
IncomeAdministrativExpenses,21847000,14958000,24175000,14958000,18397000,15773000,21590000,20172000,27243000,20172000,27070000,24075000,34455000,24024000,26657000,24673000,32111000,26002000,33598000,28285000,51150000,31898000,42599000,41231000,43278000,45205000,50145000,55908000,51503000,41006000,50964000,40293000,47702000,45092000,45020000,53611000,46416000,56647000,49544000,53436000,46808000,57731000,49027000,57150000,51874000,61456000,51691000,57200000
IncomeGrossProfit,72559000,62219000,24971000,62219000,-18700000,79495000,35980000,149120000,96152000,149120000,-27230000,34435000,23791000,-51408000,-21115000,40035000,48151000,-50197000,24419000,242419000,115128000,112341000,174371000,260908000,89952000,35689000,90581000,178869000,111545000,18716000,20573000,109335000,75325000,3027000,188506000,100105000,75370000,141159000,180626000,74134000,20139000,45225000,163306000,46778000,35900000,78127000,107004000,-14943000
IncomeOtherOperatingIncome,1329000,2297000,1903000,2297000,5575000,4005000,1535000,1933000,3178000,1933000,4208000,1226000,2130000,3223000,848000,3790000,6876000,1897000,4159000,1954000,50255000,1351000,5679000,33598000,1817000,2972000,2875000,14164000,6254000,2422000,3601000,5159000,7574000,3209000,2493000,4404000,2650000,14009000,2427000,2440000,3059000,3456000,3857000,2543000,2227000,6042000,3820000,3412000
IncomeOtherOperatingCosts,8610000,1238000,13270000,1238000,5721000,3260000,10766000,2746000,15909000,2746000,10000,1996000,793000,878000,3088000,1138000,15361000,1647000,8999000,4842000,46908000,1410000,4305000,2532000,7722000,1439000,2125000,2979000,7310000,2507000,3390000,3437000,3255000,5271000,2035000,1505000,1974000,26110000,2241000,6608000,4394000,15462000,11615000,18948000,3749000,2638000,3437000,10492000
IncomeEBIT,65278000,63278000,13604000,63278000,-18846000,80240000,26749000,148307000,83421000,148307000,-23032000,33665000,25128000,-49063000,-23355000,42687000,39666000,-49947000,19579000,239531000,118475000,112282000,175745000,291974000,84047000,37222000,91331000,190054000,110489000,18631000,20784000,111057000,79644000,965000,188964000,103004000,76046000,129058000,180812000,69966000,18804000,33219000,155548000,30373000,34378000,81531000,107387000,-22023000
IncomeFinanceIncome,6152000,3821000,6505000,3821000,7775000,4209000,4647000,6952000,9674000,6952000,32841000,4446000,7724000,7113000,6210000,5096000,12051000,2600000,2920000,4289000,4085000,7995000,3317000,2586000,8821000,3273000,13665000,1350000,4866000,1557000,2182000,4051000,7460000,2280000,2616000,3792000,3634000,9301000,6999000,8832000,3214000,9267000,19220000,6582000,2117000,6149000,2783000,20460000
IncomeFinanceCosts,1679000,3859000,6788000,3859000,6917000,2971000,8499000,9686000,10968000,9686000,,,,,,,,,,,,,,,,,,,,,2234000,-902000,771000,1206000,3483000,1612000,-2216000,6828000,12417000,5081000,-1673000,12680000,1914000,2463000,4819000,-55000,695000,-55000
IncomeOtherIncome,-465000,3056000,6302000,8856000,12031000,8856000,-208000,1786000,572000,-632000,588000,1142000,594000,3236000,726000,-989000,188000,163000,590000,-467000,-571000,1988000,-138000,873000,42000,188000,423000,1613000,-450000,451000,517000,1244000,255000,618000,130000,594000,403000,294000,-265000,2220000,74570000,63185000,14016000,63185000,-18453000,84534000,29199000,154429000
IncomeNetGrossProfit,94158000,154429000,10639000,38111000,32852000,-42158000,-15359000,48355000,51085000,-46759000,23641000,244414000,125796000,121003000,178073000,294748000,93031000,41085000,104529000,190833000,117343000,20050000,23839000,115150000,87292000,3245000,189769000,109311000,78459000,137604000,184845000,78430000,24489000,36276000,162481000,32468000,38571000,75294000,107991000,-1806000,0,,,,,,-2000,1000
IncomeExtraordinarProfit,-3000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74570000,63185000,14016000,63185000,-18453000,84534000,29197000,154430000,94155000,154430000,10638000,38111000
IncomeBeforeTaxProfit,32852000,-42158000,-15359000,48355000,51085000,-46759000,23641000,244414000,125796000,121003000,178073000,294748000,93031000,41085000,104529000,190833000,117343000,20050000,23839000,115150000,87292000,3245000,189769000,109311000,78459000,137604000,184845000,78430000,24489000,36276000,162481000,32468000,38571000,75294000,107991000,-1806000,,,,,,,,,,,-198000,-119000
