,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4219794000,4499717000,5347535000,5221120000,4914175000,6140520000,5321245000,4811468000,4840134000,5498583000,7268792000,6646540000,6945617000,7250405000,7908227000,7005864000,6933500000,8633485000,7792000000,7309000000,7481000000,7563000000,6929000000,7279000000,6649000000,7286000000,7553000000,6692000000,6915000000,7382000000,7133000000,6533000000,6897000000,7529000000,5741000000,4879000000,6073000000,6407000000,7137000000,5734000000
IncomeRevenues_yy,,,,,16.46,36.46,-0.49,-7.85,-1.51,-10.45,36.60,38.14,43.50,31.86,8.80,5.41,-0.17,19.08,-1.47,4.33,7.90,-12.40,-11.08,-0.41,-11.12,-3.66,9.01,-8.06,4.00,1.32,-5.56,-2.38,-0.26,1.99,-19.51,-25.32,-11.95,-14.90,24.32,17.52
IncomeRevenues_sy,,,,,16.46,17.32,3.60,9.20,9.00,9.30,22.30,19.88,13.64,24.80,8.80,13.29,5.67,8.80,-10.93,0.19,-6.08,-11.85,-9.01,-3.42,-10.12,-2.21,4.54,2.54,13.30,1.54,-3.10,-3.32,-3.79,5.74,0.64,-2.08,3.27,-5.03,5.11,0.61
IncomeRevenues_qq,,6.63,18.84,-2.36,-5.88,24.96,-13.34,-9.58,0.60,13.60,32.19,-8.56,4.50,4.39,9.07,-11.41,-1.03,24.52,-9.75,-6.20,2.35,1.10,-8.38,5.05,-8.66,9.58,3.66,-11.40,3.33,6.75,-3.37,-8.41,5.57,9.16,-23.75,-15.01,24.47,5.50,11.39,-19.66
IncomeRevenues_sq,,43.12,22.47,-14.62,-2.50,21.32,5.70,-9.58,0.71,21.34,18.34,-17.35,-3.90,17.94,5.80,-13.10,-0.16,10.80,-9.90,-10.40,-2.42,8.08,-2.00,-10.10,-6.96,13.85,2.48,-12.62,-0.38,8.04,-2.12,-10.87,0.68,13.71,-8.06,-10.90,0.98,10.49,2.78,-9.38
IncomeCostOfSales,2992641000,3096680000,3135444000,3357335000,3291496000,3943194000,2737458000,3034206000,2874486000,5606230000,5174543000,4904825000,5070421000,5524372000,5510555000,5067883000,5143676000,6040098000,5997000000,5643000000,5649000000,6071000000,5443000000,5084000000,5142000000,6066000000,5548000000,13925000000,5140000000,5453000000,5605000000,6217000000,5517000000,5835000000,4149000000,3723000000,3759000000,5984000000,5229000000,4625000000
IncomeCostOfSales_yy,,,,,9.99,27.34,-12.69,-9.62,-12.67,42.17,89.03,61.65,76.39,-1.46,6.49,3.32,1.44,9.34,8.83,11.35,9.82,0.51,-9.24,-9.91,-8.98,-0.08,1.93,173.90,-0.04,-10.11,1.03,-55.35,7.33,7.01,-25.98,-40.12,-31.87,2.55,26.03,24.23
IncomeCostOfSales_sy,,,,,9.99,27.34,9.66,7.90,12.42,34.02,46.80,51.17,11.19,26.94,8.91,11.93,15.43,7.26,-4.34,-1.39,-5.48,-8.91,-10.72,-8.28,-4.18,-0.57,1.01,5.37,9.48,-8.79,-1.93,-2.52,-7.44,5.06,-2.51,-5.60,-10.37,-5.71,5.68,20.58
IncomeCostOfSales_qq,,3.48,1.25,7.08,-1.96,19.80,-30.58,10.84,-5.26,95.03,-7.70,-5.21,3.38,8.95,-0.25,-8.03,1.50,17.43,-0.71,-5.90,0.11,7.47,-10.34,-6.60,1.14,17.97,-8.54,150.99,-63.09,6.09,2.79,10.92,-11.26,5.76,-28.89,-10.27,0.97,59.19,-12.62,-11.55
IncomeCostOfSales_sq,,55.68,7.84,-12.65,-0.33,59.04,-3.12,-6.99,-5.26,48.45,6.34,-9.61,-8.04,34.72,4.76,-10.74,4.38,10.94,-6.98,-10.54,-3.46,16.10,-9.46,-10.37,2.06,17.97,-8.25,-10.06,-1.26,13.75,-4.63,-2.47,-10.92,14.62,-11.69,-10.27,2.07,10.06,-2.68,4.29
IncomeDistributionExpenses,229712000,390716000,,,,1368079000,403559000,343277000,365251000,423541000,425782000,379608000,407775000,425120000,448126000,387955000,366582000,292849000,237000000,254000000,460000000,293000000,363000000,381000000,383000000,413000000,395000000,337000000,322000000,354000000,379000000,348000000,350000000,352000000,304000000,296000000,282000000,338000000,363000000,348000000
IncomeDistributionExpenses_yy,,,,,-100.00,250.15,,,,-69.04,5.51,10.58,11.64,0.37,5.25,2.20,-10.10,-31.11,-47.11,-34.53,25.48,0.05,53.16,50.00,-16.74,40.96,8.82,-11.55,-15.93,-14.29,-4.05,3.26,8.70,-0.56,-19.79,-14.94,-19.43,-3.98,19.41,17.57
IncomeDistributionExpenses_sy,,,,,-79.56,58.22,,,,-6.67,5.51,24.56,12.08,11.36,36.45,-3.41,-10.10,-28.56,-40.89,-26.63,6.31,-20.42,2.94,-0.97,-16.74,11.78,-8.00,-1.88,-5.86,-12.96,4.26,-2.21,3.74,-4.28,-3.07,4.74,-8.36,-6.37,-11.80,-4.66
IncomeDistributionExpenses_qq,,70.09,-100.00,,,,-70.50,-14.94,6.40,15.96,0.53,-10.84,7.42,4.25,5.41,-13.43,-5.51,-20.11,-19.07,7.17,81.10,-36.30,23.89,4.96,0.52,7.83,-4.36,-14.68,-4.45,9.94,7.06,-8.18,0.57,0.57,-13.64,-2.63,-4.73,19.86,7.40,-4.13
