,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3174000,3673000,6946000,4377000,3288000,4539000,5071000,3717000,3613000,3577000,3614000,4755000,4231000,7631000,5937000,4182000,6335000,7606000,8648000,9236000,8483000,10841000,10203000,11364000,13182000,10764000,11551000,11994000,11556000,13348000,13895000,13598000,13588000,12714000,12769000,19139000,6026000,24695000,15394000,19142000,11185000,10793000
IncomeRevenues_yy,,,,,3.59,23.58,-26.99,-15.08,9.88,-21.19,-28.73,27.93,17.10,113.34,64.28,-12.05,49.73,-0.33,45.66,120.85,33.91,42.53,17.98,23.04,55.39,-0.71,13.21,5.54,-12.34,24.01,20.29,13.37,17.58,-4.75,-8.10,40.75,-55.65,94.23,20.56,0.02,85.61,-56.29
IncomeRevenues_sy,,,,,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,15.72,89.11,-36.99,-24.88,38.05,11.72,-26.70,-2.80,-1.00,1.03,31.57,-11.02,80.36,-22.20,-29.56,51.48,20.06,13.70,6.80,-8.15,27.80,-5.89,11.38,16.00,-18.34,7.31,3.84,-3.65,15.51,4.10,-2.14,-0.07,-6.43,0.43,49.89,-68.51,309.81,-37.66,24.35,-41.57,-3.50
IncomeRevenues_sq,,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,514000,523000,3441000,904000,413000,1410000,1550000,2271000,793000,713000,911000,1267000,1044000,3155000,1959000,597000,2182000,2738000,3592000,3875000,3523000,3909000,3654000,5009000,6042000,3992000,4640000,4247000,4406000,5423000,4546000,7035000,5483000,5274000,4929000,7723000,,11242000,5379000,6946000,,
IncomeCostOfSales_yy,,,,,-19.65,169.60,-54.95,151.22,92.01,-49.43,-41.23,-44.21,31.65,342.50,115.04,-52.88,109.00,-13.22,83.36,549.08,61.46,42.77,1.73,29.26,71.50,2.12,26.98,-15.21,-27.08,35.85,-2.03,65.65,24.44,-2.75,8.42,9.78,-100.00,113.16,9.13,-10.06,,-100.00
IncomeCostOfSales_sy,,,,,2.07,-23.66,-54.95,-25.23,-48.93,-28.30,-29.70,96.31,-13.90,58.10,10.80,-3.66,80.90,-13.22,-15.82,-65.40,-30.01,-42.80,17.34,34.98,6.77,-1.52,-27.04,-3.15,-10.96,-53.08,-14.08,6.82,10.34,3.85,8.94,-15.12,-20.33,-0.74,-11.98,-10.06,,-2.38
IncomeCostOfSales_qq,,1.75,557.93,-73.73,-54.31,241.40,9.93,46.52,-65.08,-10.09,27.77,39.08,-17.60,202.20,-37.91,-69.53,265.49,25.48,31.19,7.88,-9.08,10.96,-6.52,37.08,20.62,-33.93,16.23,-8.47,3.74,23.08,-16.17,54.75,-22.06,-3.81,-6.54,56.68,-100.00,,-52.15,29.13,-100.00,
IncomeCostOfSales_sq,,5.82,-21.56,-6.76,-16.70,-20.00,3.67,-21.48,8.91,-10.09,12.29,29.59,-22.28,1.32,5.25,5.68,-13.79,0.86,-8.50,1.89,30.94,16.34,6.22,-3.86,3.97,5.74,-20.21,7.66,-8.66,-0.37,-1.56,17.50,-17.94,-2.86,-0.72,-9.64,-10.02,,-13.38,-1.34,-9.86,
