,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4
IncomeRevenues,4276000,11222000,18048000,43658000,63215000,73172000,57666000,63143000,62001000,94580000,45498000,43264000,28564000,11193000,935000,1841000,1493000,2208000
IncomeRevenues_yy,,,,,1378.42,552.06,219.52,44.63,-1.92,29.26,-21.10,-31.48,-53.93,-88.17,-97.94,-95.74,-94.77,-80.27
IncomeRevenues_sy,,,,,34.32,68.31,51.92,39.47,7.96,26.10,0.46,-2.22,-27.54,-25.71,-18.74,-17.92,-13.94,-9.80
IncomeRevenues_qq,,162.44,60.83,141.90,44.80,15.75,-21.19,9.50,-1.81,52.55,-51.89,-4.91,-33.98,-60.81,-91.64,96.85,-18.93,47.96
IncomeRevenues_sq,,23.94,27.82,17.01,25.39,1.82,5.24,9.69,-2.76,24.87,-4.64,-0.34,-18.52,-4.20,-3.54,6.76,-12.74,10.85
IncomeCostOfSales,8993000,15027000,15121000,28762000,45706000,62359000,44718000,48367000,49288000,82059000,38852000,28491000,20740000,12508000,2148000,2992000,1240000,4747000
IncomeCostOfSales_yy,,,,,408.23,314.98,195.73,68.16,7.84,31.59,-13.12,-41.09,-57.92,-84.76,-94.47,-89.50,-94.02,-62.05
IncomeCostOfSales_sy,,,,,18.94,53.22,19.51,24.10,7.84,14.74,19.67,31.24,7.21,7.73,0.01,-1.67,-9.24,-18.00
IncomeCostOfSales_qq,,67.09,0.63,90.21,58.91,36.43,-28.29,8.16,1.90,66.49,-52.65,-26.67,-27.21,-39.69,-82.83,39.33,-58.57,282.87
IncomeCostOfSales_sq,,25.50,-3.13,15.70,12.93,5.02,2.79,13.46,-1.41,5.13,6.29,-1.18,-14.06,-0.70,-8.82,2.70,-11.92,2.52
IncomeDistributionExpenses,23000,1266000,569000,-326000,720000,3083000,330000,275000,863000,4719000,2776000,1748000,1243000,381000,68000,17357000,7804000,-22134000
IncomeDistributionExpenses_yy,,,,,3017.42,143.59,-41.92,184.44,19.97,53.10,740.50,535.41,43.95,-91.93,-97.53,892.71,528.01,-5913.84
IncomeDistributionExpenses_sy,,,,,-59.07,114.76,13.84,35.69,67.52,41.04,1.46,63.53,35.84,21.28,-18.36,-7.44,-6.10,-23.41
IncomeDistributionExpenses_qq,,5382.87,-55.07,-157.31,320.80,328.42,-89.29,-16.69,213.70,446.73,-41.18,-37.01,-28.93,-69.36,-82.02,25261.50,-55.04,-383.63
IncomeDistributionExpenses_sq,,-19.28,26.20,17.76,-16.01,26.82,12.84,5.71,6.66,-0.28,-3.82,13.74,-26.30,-13.16,-8.24,20.71,-28.79,-17.26
IncomeAdministrativExpenses,309000,522000,546000,750000,605000,2665000,1443000,1855000,1779000,6896000,3231000,2873000,1783000,5134000,939000,610000,475000,2979000
