,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6256000,8715000,6697000,7646000,7125000,7562000,5600000,7309000,6325000,8555000,7357000,8461000,8943000,11194000,8703000,11669000,10992000,15831000,12199000,11643000,11071000,15573000,10707000,10862000,11868000,19610000,11134000,12281000,13766000,21458000,20685000,23094000,26291000,20394000,17424000,22349000,20940000,20969000,19806000,21215000,23935000,22370000,20220000,19844000
IncomeCostOfSales,3573000,4283000,3450000,4303000,3968000,3789000,3714000,4275000,4233000,4975000,4232000,5192000,5361000,6783000,5543000,7461000,7128000,9913000,7854000,7728000,7717000,10269000,7289000,7477000,8348000,13338000,7208000,7926000,9254000,15614000,14211000,16639000,18464000,15729000,12134000,15665000,15338000,16400000,14383000,15895000,17269000,15891000,13376000,13151000
IncomeDistributionExpenses,635000,1202000,778000,1223000,995000,1256000,804000,1222000,1001000,1381000,1554000,1533000,1567000,1960000,1525000,1799000,1539000,2075000,1888000,1913000,1559000,2088000,1618000,1141000,1585000,1951000,1942000,1540000,2155000,1546000,2218000,2294000,2169000,1249000,2624000,3151000,2452000,2144000,3455000,2186000,3607000,2431000,3168000,1573000
IncomeAdministrativExpenses,546000,516000,576000,1338000,624000,890000,612000,593000,545000,812000,531000,703000,869000,1061000,857000,771000,768000,926000,778000,689000,728000,758000,838000,806000,742000,1156000,846000,1064000,939000,918000,1420000,1145000,1657000,938000,1086000,490000,1214000,1285000,1148000,1334000,1753000,2131000,2098000,2684000
IncomeGrossProfit,1502000,2714000,1893000,782000,1538000,1627000,470000,1219000,546000,1387000,1040000,1033000,1146000,1389000,778000,1638000,1557000,2917000,1679000,1313000,1067000,2458000,962000,1438000,1193000,3165000,1138000,1751000,1418000,3380000,2836000,3016000,4001000,2478000,1580000,3043000,1936000,1140000,820000,1800000,1306000,1917000,1578000,2436000
IncomeOtherOperatingIncome,89000,367000,130000,110000,81000,657000,62000,35000,42000,428000,63000,83000,61000,99000,95000,39000,172000,-630000,127000,557000,130000,70000,544000,-196000,344000,746000,288000,122000,220000,333000,244000,436000,-224000,713000,564000,821000,290000,369000,124000,257000,-275000,646000,9000,-865000
IncomeOtherOperatingCosts,29000,-38000,59000,73000,29000,257000,64000,42000,12000,595000,28000,66000,37000,106000,46000,102000,272000,-177000,107000,462000,-224000,186000,20000,25000,3000,217000,68000,52000,16000,480000,28000,107000,83000,112000,13000,29000,43000,50000,57000,609000,-494000,147000,12000,32000
IncomeEBIT,1562000,3119000,1964000,819000,1590000,2027000,468000,1212000,576000,1220000,1075000,1050000,1170000,1381000,827000,1575000,1457000,2465000,1699000,1408000,1421000,2342000,1486000,1217000,1534000,3694000,1358000,1821000,1622000,3233000,3052000,3345000,3694000,3079000,2131000,3835000,2183000,1459000,887000,1448000,1525000,2416000,1575000,1539000
IncomeFinanceIncome,204000,-104000,138000,103000,104000,261000,170000,532000,1240000,544000,500000,380000,-58000,32000,49000,19000,124000,42000,53000,82000,43000,58000,43000,140000,-60000,74000,59000,68000,40000,168000,235000,62000,8000,164000,79000,318000,-60000,203000,79000,13000,7000,3000,57000,447000
IncomeFinanceCosts,130000,-12000,61000,115000,264000,2449000,1519000,-122000,769000,370000,296000,269000,1000,4000,25000,1000,-9000,13000,66000,-34000,108000,3898000,5000,32000,11000,9000,13000,29000,12000,26000,149000,32000,46000,32000,14000,25000,-3000,121000,328000,318000,-28000,268000,132000,-40000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,3876000,10000,44000,,,,,,,,,,,,,,,,,1607000,3027000,2041000,807000
IncomeNetGrossProfit,1430000,-161000,-881000,1866000,1047000,1394000,1279000,1161000,1111000,1410000,851000,1593000,1590000,2494000,1686000,1524000,1356000,2378000,1534000,1315000,1507000,3715000,1404000,1860000,1650000,3375000,3138000,3375000,3656000,3211000,2196000,4128000,2126000,1541000,638000,1143000,1560000,2151000,1500000,2026000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607000,3027000,2041000,807000
IncomeBeforeTaxProfit,1430000,-161000,-881000,1866000,1047000,1394000,1279000,1161000,1111000,1410000,851000,1593000,1590000,2494000,1686000,1524000,1356000,2378000,1534000,1315000,1507000,3715000,1404000,1860000,1650000,3375000,3138000,3375000,3656000,3211000,2196000,4128000,2126000,1541000,638000,1143000,1560000,2151000,1500000,2026000,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301000,2449000,1593000,879000
IncomeNetProfit,1402000,198000,-660000,1628000,824000,1322000,1210000,1059000,1036000,1341000,800000,1494000,1511000,2263000,1498000,1366000,1264000,2246000,1354000,1215000,1363000,3289000,1301000,1736000,1368000,3238000,2761000,3078000,3282000,2997000,1920000,3988000,1851000,1486000,463000,942000,1248000,1729000,1113000,1627000,1301000,2449000,1593000,879000
IncomeShareholderNetProfit,1402000,198000,-660000,1628000,824000,1322000,1210000,1059000,1036000,1341000,800000,1494000,1511000,2263000,1498000,1366000,1264000,2246000,1359000,1221000,1370000,3301000,1302000,1765000,1394000,3254000,2782000,-2816000,9204000,3030000,1948000,4086000,-6057000,9400000,467000,954000,-1450000,4452000,1111000,1630000,,,,
BalanceNoncurrentAssets,12045000,21503000,37654000,38777000,39234000,40513000,41287000,41318000,41315000,42002000,42657000,43761000,44482000,45284000,45114000,45197000,45090000,45124000,44877000,45573000,46101000,47422000,46866000,46927000,46504000,46281000,45443000,45551000,44942000,44710000,43964000,43741000,43264000,42774000,42329000,42052000,41853000,42332000,44264000,43575000,43194000,43795000,44078000,44697000
BalanceIntangibleAssets,519000,442000,3066000,3653000,4294000,5149000,6589000,7305000,7974000,9011000,9799000,10877000,11694000,12642000,13003000,13589000,14003000,14387000,14650000,15419000,15978000,17301000,17300000,17480000,17499000,17607000,17266000,16924000,16654000,16532000,16198000,16285000,16208000,16035000,15949000,16190000,16422000,17344000,17870000,18076000,18785000,19835000,20627000,21720000
BalanceProperty,9660000,18799000,33503000,34262000,34154000,34341000,33550000,33083000,32653000,32310000,32306000,32332000,32280000,32111000,31607000,31082000,30576000,30216000,29711000,29636000,29606000,29606000,29038000,28858000,28416000,28071000,27543000,27977000,27645000,27565000,27154000,26846000,26459000,26146000,25715000,25300000,24829000,24355000,25790000,24870000,23722000,23240000,22769000,22320000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000,,48000,,,1866000,2262000,1085000,862000
BalanceOtherNoncurrentAssets,786000,1023000,1148000,930000,688000,682000,552000,552000,508000,530000,504000,526000,511000,521000,516000,518000,517000,515000,511000,589000,589000,603000,634000,650000,643000,613000,612000,610000,597000,593000,665000,562000,602000,587000,604000,629000,639000,720000,682000,657000,12640000,13626000,14447000,41712000
BalanceCurrentAssets,18826000,20849000,19590000,19516000,19338000,20883000,21224000,21061000,19850000,23169000,24275000,20944000,23305000,27849000,27245000,28046000,23387000,27109000,26413000,20996000,23888000,30042000,29680000,27281000,30126000,36177000,41258000,39737000,41860000,44763000,46158000,42742000,43354000,47415000,44548000,43999000,45373000,47842000,48575000,50982000,4387000,3964000,4814000,5758000
BalanceInventory,6176000,6944000,7814000,7741000,7107000,6620000,8165000,9178000,8984000,9360000,12889000,12393000,13542000,12866000,12854000,10761000,11246000,9933000,10648000,10620000,11054000,11763000,12894000,13270000,15903000,14389000,17332000,20552000,21078000,18976000,19604000,20233000,22452000,23826000,22557000,23089000,24279000,25858000,28967000,32193000,5218000,6334000,7427000,8092000
