,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3207000,3423000,2833000,4286000,6353000,18184000,29355000,35540000,30392000,27885000,30532000,38850000,33191000,28781000,36793000,32746000,25639000,26846000,27110000,31465000,25694000,26402000,29206000,35243000,27962000,31626000,28329000,40671000,29983000,35019000,30851000,35779000,35724000,40086000,38134000,35584000,38746000,35660000,41046000,61106000,44791000,46339000,43462000,44320000,41331000,42856000,40878000,43687000,43021000,42483000
IncomeRevenues_yy,,,,,98.10,431.23,936.18,729.21,378.39,53.35,4.01,9.31,9.21,3.21,20.51,-15.71,-22.75,-6.72,-26.32,-3.91,0.21,-1.65,7.73,12.01,8.83,19.79,-3.00,15.40,7.23,10.73,8.90,-12.03,19.15,14.47,23.61,-0.55,8.46,-11.04,7.64,71.72,15.60,29.95,5.89,-27.47,-7.72,-7.52,-5.95,-1.43,4.09,-0.87
IncomeRevenues_sy,,,,,31.83,36.52,23.70,23.80,25.98,10.96,21.63,7.02,1.02,2.46,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,6.74,-17.24,51.29,48.23,186.23,61.43,21.07,-14.49,-8.25,9.49,27.24,-14.57,-13.29,27.84,-11.00,-21.70,4.71,0.98,16.06,-18.34,2.76,10.62,20.67,-20.66,13.10,-10.42,43.57,-26.28,16.80,-11.90,15.97,-0.15,12.21,-4.87,-6.69,8.89,-7.96,15.10,48.87,-26.70,3.46,-6.21,1.97,-6.74,3.69,-4.62,6.87,-1.52,-1.25
IncomeRevenues_sq,,6.18,1.26,17.81,-0.06,9.46,2.44,19.62,-6.52,1.27,4.59,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,2579000,2288000,2021000,2914000,5881000,16876000,27524000,31015000,28459000,24083000,28220000,33036000,29329000,24027000,37528000,16157000,21453000,24022000,25170000,17983000,20631000,20081000,29755000,22834000,23152000,27513000,24924000,31204000,27285000,31420000,27526000,,31363000,34982000,33968000,,34301000,31939000,37339000,,,87090000,40816000,,,,120896000,,,
IncomeCostOfSales_yy,,,,,128.03,637.59,1261.90,964.34,383.91,42.71,2.53,6.52,3.06,-0.23,32.98,-51.09,-26.85,-0.02,-32.93,11.30,-3.83,-16.41,18.22,26.98,12.22,37.01,-16.24,36.66,17.85,14.20,10.44,-100.00,14.95,11.34,23.40,,9.37,-8.70,9.92,,-100.00,172.68,9.31,,,-100.00,196.20,,,
IncomeCostOfSales_sy,,,,,33.34,32.00,21.96,8.78,29.67,6.63,20.64,6.09,-9.53,-1.30,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,,9.95,8.54,7.58,,10.16,2.30,9.02,,,6.83,22.45,,,
IncomeCostOfSales_qq,,-11.28,-11.67,44.19,101.82,186.96,63.10,12.68,-8.24,-15.38,17.18,17.07,-11.22,-18.08,56.19,-56.95,32.78,11.98,4.78,-28.55,14.73,-2.67,48.17,-23.26,1.39,18.84,-9.41,25.20,-12.56,15.15,-12.39,-100.00,,11.54,-2.90,-100.00,,-6.89,16.91,-100.00,,,-53.13,-100.00,,,,-100.00,,
IncomeCostOfSales_sq,,1.31,-4.92,41.72,-15.96,13.31,0.49,13.00,2.14,-0.72,0.19,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,,12.79,1.42,3.43,,12.36,-0.44,2.34,,,-5.61,,,,,1.47,,
IncomeDistributionExpenses,11000,12000,6000,9000,14000,4000,3000,463000,38000,79000,189000,473000,188000,677000,-663000,1997000,534000,143000,-450000,2706000,537000,709000,-912000,2367000,631000,446000,267000,635000,330000,330000,321000,,82000,591000,332000,,86000,126000,156000,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,27.27,-66.67,-50.00,5044.44,171.43,1875.00,6200.00,2.16,394.74,756.96,-450.79,322.20,184.04,-78.88,32.13,35.50,0.56,395.80,-102.67,-12.53,17.50,-37.09,129.28,-73.17,-47.70,-26.01,20.22,-100.00,-75.15,79.09,3.43,,4.88,-78.68,-53.01,,-100.00,-100.00,-100.00,,,,,,,
IncomeDistributionExpenses_sy,,,,,-41.38,-40.73,9.11,47.75,78.57,69.90,33.38,3.36,16.30,11.88,-2.22,-10.29,1.48,27.97,0.29,18.87,13.94,5.03,11.18,17.48,17.50,9.87,-4.76,-34.71,-11.60,-11.91,3.44,-3.02,-2.34,-18.11,-10.13,,4.88,24.75,5.43,,5.04,-16.92,3.84,,,,,,,
IncomeDistributionExpenses_qq,,9.09,-50.00,50.00,55.56,-71.43,-25.00,15333.33,-91.79,107.89,139.24,150.26,-60.25,260.11,-197.93,401.21,-73.26,-73.22,-414.69,701.33,-80.16,32.03,-228.63,359.54,-73.34,-29.32,-40.13,137.83,-48.03,,-2.73,-100.00,,620.73,-43.82,-100.00,,46.51,23.81,-100.00,,,,,,,,,,
IncomeDistributionExpenses_sq,,15.04,-29.00,50.00,-27.07,19.90,-14.42,39.82,-36.26,26.11,4.36,41.26,-28.21,-4.77,4.76,12.96,-13.11,13.93,-7.04,36.18,-1.91,31.47,-6.87,20.46,-19.74,17.81,-10.65,-1.44,-14.48,,-12.94,3.98,,0.14,6.47,-4.24,,41.84,-5.45,6.11,,,,,,,,,,
IncomeAdministrativExpenses,378000,28000,337000,541000,294000,663000,780000,1564000,777000,1136000,609000,3171000,1397000,2524000,-1674000,10769000,2527000,-640000,756000,7048000,2401000,710000,-612000,4170000,2147000,654000,844000,7249000,863000,1051000,2098000,,1921000,52000,969000,,2025000,460000,618000,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,-22.22,2267.86,131.45,189.09,164.29,71.34,-21.92,102.75,79.79,122.18,-374.88,239.61,80.89,-125.36,145.16,-34.55,-4.99,210.94,-180.95,-40.83,-10.58,-7.89,237.91,73.84,-59.80,60.70,148.58,-100.00,122.60,-95.05,-53.81,,5.41,784.62,-36.22,,-100.00,-100.00,-100.00,,,,,,,
IncomeAdministrativExpenses_sy,,,,,10.00,75.14,-7.88,106.91,1.29,15.81,9.90,37.35,13.91,7.89,11.81,17.27,12.50,6.35,11.43,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,,3.94,5.84,0.87,,11.39,18.61,9.22,,,,,,,
IncomeAdministrativExpenses_qq,,-92.59,1103.57,60.53,-45.66,125.51,17.65,100.51,-50.32,46.20,-46.39,420.69,-55.94,80.67,-166.32,743.31,-76.53,-125.33,218.12,832.28,-65.93,-70.43,-186.20,781.37,-48.51,-69.54,29.05,758.89,-88.09,21.78,99.62,-100.00,,-97.29,1763.46,-100.00,,-77.28,34.35,-100.00,,,,,,,,,,
IncomeAdministrativExpenses_sq,,-49.11,90.80,-8.89,-1.48,7.64,7.78,17.58,-7.56,17.83,-3.50,24.41,-5.38,9.81,-2.82,38.62,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,,7.93,0.82,13.01,,2.15,6.45,15.81,,,,,,,,,,
IncomeGrossProfit,239000,1095000,469000,822000,164000,641000,1048000,2498000,1118000,2587000,1514000,2170000,2277000,1553000,1602000,3823000,1125000,3321000,1634000,3728000,2125000,4902000,975000,5872000,2032000,3013000,2294000,1583000,1505000,2218000,906000,4932000,2358000,4461000,2865000,4382000,2334000,3135000,2933000,3093000,1748000,2292000,2646000,2881000,1476000,917000,1776000,780000,1050000,1095000
IncomeGrossProfit_yy,,,,,-31.38,-41.46,123.45,203.89,581.71,303.59,44.47,-13.13,103.67,-39.97,5.81,76.18,-50.59,113.84,2.00,-2.48,88.89,47.61,-40.33,57.51,-4.38,-38.54,135.28,-73.04,-25.94,-26.39,-60.51,211.56,56.68,101.13,216.23,-11.15,-1.02,-29.72,2.37,-29.42,-25.11,-26.89,-9.79,-6.85,-15.56,-59.99,-32.88,-72.93,-28.86,19.41
IncomeGrossProfit_sy,,,,,-3.96,61.24,33.03,36.20,19.37,-36.09,60.90,28.60,34.62,15.20,-15.13,41.27,5.53,-13.12,-4.40,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,358.16,-57.17,75.27,-80.05,290.85,63.49,138.36,-55.24,131.40,-41.48,43.33,4.93,-31.80,3.16,138.64,-70.57,195.20,-50.80,128.15,-43.00,130.68,-80.11,502.26,-65.40,48.28,-23.86,-30.99,-4.93,47.38,-59.15,444.37,-52.19,89.19,-35.78,52.95,-46.74,34.32,-6.44,5.46,-43.49,31.12,15.45,8.88,-48.77,-37.87,93.68,-56.08,34.62,4.29
IncomeGrossProfit_sq,,31.79,-23.74,50.96,3.52,107.84,-11.59,-65.50,101.31,30.84,24.19,-50.74,130.05,9.55,15.92,-74.78,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,,16000,12000,56000,52000,1000,-35000,88000,39000,-17000,18000,1103000,82000,234000,241000,-101000,25000,46000,298000,501000,5000,151000,266000,827000,28000,441000,192000,3466000,836000,1033000,3811000,3787000,1401000,144000,209000,492000,195000,163000,486000,1150000,1168000,511000,125000,298000,128000,149000,260000,242000,496000,640000
IncomeOtherOperatingIncome_yy,,,,,,-93.75,-391.67,57.14,-25.00,-1800.00,151.43,1153.41,110.26,1476.47,1238.89,-109.16,-69.51,-80.34,23.65,596.04,-80.00,228.26,-10.74,65.07,460.00,192.05,-27.82,319.11,2885.71,134.24,1884.90,9.26,67.58,-86.06,-94.52,-87.01,-86.08,13.19,132.54,133.74,498.97,213.50,-74.28,-74.09,-89.04,-70.84,108.00,-18.79,287.50,329.53
IncomeOtherOperatingIncome_sy,,,,,,-31.57,13.89,-59.44,-34.66,36.97,49.68,-0.60,-3.78,184.25,126.76,89.92,14.83,18.48,19.84,111.31,10.12,-6.10,18.99,-40.06,27.70,-32.78,-22.80,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,,-25.00,366.67,-7.14,-98.08,-3600.00,351.43,-55.68,-143.59,205.88,6027.78,-92.57,185.37,2.99,-141.91,124.75,84.00,547.83,68.12,-99.00,2920.00,76.16,210.90,-96.61,1475.00,-56.46,1705.21,-75.88,23.56,268.93,-0.63,-63.01,-89.72,45.14,135.41,-60.37,-16.41,198.16,136.63,1.57,-56.25,-75.54,138.40,-57.05,16.41,74.50,-6.92,104.96,29.03
IncomeOtherOperatingIncome_sq,,,11.62,309.60,-72.70,124.79,-37.52,95.78,-54.00,-11.89,-50.98,5.01,-56.29,185.37,2.99,59.80,-44.82,18.95,-40.00,104.82,-76.91,43.75,-4.96,7.45,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,2000,321000,159000,-469000,95000,-75000,17000,89000,20000,-17000,17000,74000,43000,115000,467000,1813000,5000,744000,-323000,532000,57000,1906000,-912000,2151000,14000,568000,17000,1357000,72000,243000,2339000,5371000,1232000,710000,867000,645000,87000,438000,45000,492000,326000,153000,134000,135000,315000,105000,57000,263000,395000,396000
IncomeOtherOperatingCosts_yy,,,,,4650.00,-123.36,-89.31,118.98,-78.95,77.33,,-16.85,115.00,776.47,2647.06,2350.00,-88.37,546.96,-169.16,-70.66,1040.00,156.18,-182.35,304.32,-75.44,-70.20,101.86,-36.91,414.29,-57.22,13658.82,295.80,1611.11,192.18,-62.93,-87.99,-92.94,-38.31,-94.81,-23.72,274.71,-65.07,197.78,-72.56,-3.37,-31.37,-57.46,94.81,25.40,277.14
IncomeOtherOperatingCosts_sy,,,,,28.49,51.77,-63.05,24.35,-17.96,83.24,,88.48,-7.98,128.79,-30.90,33.74,-18.75,9.75,-14.72,-38.36,200.00,17.93,66.60,-9.84,3.83,-28.44,-50.00,12.90,45.59,1.99,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,15950.00,-50.47,-394.97,120.26,-178.95,122.67,423.53,-77.53,-185.00,200.00,335.29,-41.89,167.44,306.09,288.22,-99.72,14780.00,-143.41,264.71,-89.29,3243.86,-147.85,335.86,-99.35,3957.14,-97.01,7882.35,-94.69,237.50,862.55,129.63,-77.06,-42.37,22.11,-25.61,-86.51,403.45,-89.73,993.33,-33.74,-53.07,-12.42,0.75,133.33,-66.67,-45.71,361.40,50.19,0.25
