,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5308000,7253000,8303000,8400000,7812000,9326000,9611000,9072000,9036000,10093000,13928000,11358000,11619000,14319000,14344000,12250000,17071000,29958000,34835000,30530000,27404000,36552000,39185000,29229000,27436000,43952000,42703000,41414000,28958000,34893000,60617000,53946000,38820000,58030000,60649000,47897000,39027000,54873000,59659000,38266000,30403000,43201000,42847000,27013000,27610000,42057000,51230000,33481000,29220000,52262000
IncomeCostOfSales,2908000,3979000,4709000,4838000,4072000,5479000,5436000,5517000,5055000,6699000,7703000,6388000,6539000,8915000,9136000,8756000,11358000,22810000,26414000,22685000,20438000,25689000,26323000,21137000,19841000,32199000,31417000,31447000,21734000,25733000,45996000,41705000,28635000,43769000,44962000,38517000,29879000,42187000,46888000,32526000,24780000,34933000,34839000,22911000,23155000,35519000,42507000,26468000,24077000,42315000
IncomeDistributionExpenses,600000,880000,691000,724000,695000,1007000,795000,943000,819000,612000,1105000,1013000,906000,893000,1085000,1165000,983000,1690000,1691000,2777000,1368000,1799000,1667000,1757000,1363000,2750000,2599000,2525000,1913000,2437000,3346000,3287000,2861000,3281000,3572000,4054000,2830000,3855000,4213000,7883000,3530000,4423000,4245000,3795000,3372000,3650000,4241000,3571000,2856000,3649000
IncomeAdministrativExpenses,810000,865000,762000,1532000,841000,1110000,1217000,1313000,1087000,1426000,2019000,2720000,2484000,2539000,2087000,1640000,2406000,2202000,2291000,2688000,2345000,2599000,2695000,2876000,2648000,3102000,3374000,3695000,3210000,3063000,4090000,4846000,4378000,4457000,4684000,5593000,4788000,4695000,4614000,-587000,2612000,3228000,3211000,2625000,2791000,2747000,2701000,2952000,2815000,2822000
IncomeGrossProfit,990000,1529000,2141000,1306000,2204000,1730000,2163000,1299000,2075000,1356000,3101000,1237000,1690000,1972000,2036000,689000,2324000,3256000,4439000,2380000,3253000,6465000,8500000,3459000,3584000,5901000,5313000,3747000,2101000,3660000,7185000,4108000,2946000,6523000,7431000,-267000,1530000,4136000,3944000,-1556000,-519000,617000,552000,-2318000,-1708000,141000,1781000,490000,-528000,3476000
IncomeOtherOperatingIncome,94000,48000,42000,85000,44000,118000,179000,180000,167000,91000,366000,1537000,362000,573000,352000,863000,3179000,1462000,428000,847000,1399000,-607000,613000,252000,141000,524000,370000,421000,411000,4405000,498000,1497000,461000,736000,322000,507000,375000,797000,388000,-476000,113000,381000,102000,-135000,285000,628000,-79000,-121000,300000,203000
IncomeOtherOperatingCosts,125000,47000,19000,215000,106000,204000,195000,128000,70000,33000,110000,377000,418000,503000,331000,-17000,314000,502000,264000,602000,285000,527000,376000,415000,620000,855000,246000,751000,364000,407000,725000,1383000,239000,1291000,477000,1085000,392000,2653000,783000,12177000,1083000,5590000,250000,-753000,100000,87000,134000,1478000,227000,458000
IncomeEBIT,959000,1530000,2164000,1176000,2142000,1644000,2147000,1351000,2172000,1414000,3357000,2397000,1634000,2042000,2057000,1569000,5189000,4216000,4603000,2625000,4367000,5331000,8737000,3296000,3105000,5570000,5437000,3417000,2148000,7658000,6958000,4222000,3168000,5968000,7276000,-845000,1513000,2280000,3549000,-14209000,-1489000,-4592000,404000,-1700000,-1523000,682000,1568000,-1109000,-455000,3221000
IncomeFinanceIncome,4000,0,0,0,79000,261000,341000,341000,305000,217000,78000,173000,169000,-13000,-45000,5000,687000,-653000,547000,301000,70000,149000,344000,-14000,1606000,-726000,461000,181000,123000,12000,90000,114000,70000,48000,100000,16000,273000,-226000,23000,15000,8000,4000,0,-8000,347000,-24000,-231000,330000,38000,36000
IncomeFinanceCosts,103000,128000,84000,148000,94000,81000,30000,55000,1000,2000,55000,151000,131000,122000,111000,184000,403000,437000,327000,365000,444000,273000,3081000,339000,392000,806000,1108000,890000,930000,976000,243000,729000,840000,754000,883000,1055000,688000,855000,950000,880000,624000,1026000,466000,1157000,723000,778000,763000,590000,673000,959000
IncomeOtherIncome,,,,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860000,1402000
