,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,554000,987000,1789000,451000,338000,293000,321000,362000,322000,281000,250000,310000,154000,245000,232000,203000,199000,155000,172000,158000,146000,136000
IncomeRevenues_yy,,,,,-38.99,-70.31,-82.06,-19.73,-4.73,-4.10,-22.12,-14.36,-52.17,-12.81,-7.20,-34.52,29.22,-36.73,-25.86,-22.17,-26.63,-12.26
IncomeRevenues_sy,,,,,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,78.16,81.26,-74.79,-25.06,-13.31,9.56,12.77,-11.05,-12.73,-11.03,24.00,-50.32,59.09,-5.31,-12.50,-1.97,-22.11,10.97,-8.14,-7.59,-6.85
IncomeRevenues_sq,,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,314000,467000,1415000,165000,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,6.77,-1.52,-27.04,-3.15,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,48.73,203.00,-88.34,-100.00,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,16.34,6.22,-3.86,3.97,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,51000,136000,56000,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,166.67,-58.82,-100.00,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,-30.38,-61.40,-100.00,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,115000,191000,146000,244000,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,16.28,2.43,-11.38,-0.22,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,66.09,-23.56,67.12,-100.00,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,13.42,-9.69,20.12,-9.00,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-1163000,-1366000,-928000,-773000,-487000,-494000,-254000,170000,-293000,-265000,-144000,-127000,-215000,-126000,-163000,-224000,-209000,-990000,-109000,-170000,-95000,-166000
IncomeGrossProfit_yy,,,,,58.13,63.84,72.63,121.99,39.84,46.36,43.31,-174.71,26.62,52.45,-13.19,-76.38,2.79,-685.71,33.13,24.11,54.55,83.23
IncomeGrossProfit_sy,,,,,24.22,10.62,25.91,9.79,7.26,-2.32,-6.21,-7.36,0.16,7.53,6.94,-5.60,7.65,4.09,17.09,9.52,9.67,-6.25
IncomeGrossProfit_qq,,-17.45,32.06,16.70,37.00,-1.44,48.58,166.93,-272.35,9.56,45.66,11.81,-69.29,41.40,-29.37,-37.42,6.70,-373.68,88.99,-55.96,44.12,-74.74
IncomeGrossProfit_sq,,4.22,-0.24,-2.35,-0.32,23.08,-3.75,-3.25,-1.99,6.65,1.16,-2.70,-2.23,-16.19,13.22,-22.60,17.71,-7.25,11.32,-24.82,31.39,-17.38
IncomeOtherOperatingIncome,260000,-72000,406000,7237000,696000,23000,13000,2217000,1000,44000,1000,3000,2000,-1000,16000,272000,,,32000,57000,21000,-63000
IncomeOtherOperatingIncome_yy,,,,,167.69,131.94,-96.80,-69.37,-99.86,91.30,-92.31,-99.86,100.00,-102.27,1500.00,8966.67,-100.00,100.00,100.00,-79.04,,
IncomeOtherOperatingIncome_sy,,,,,43.62,0.57,-40.97,-22.40,-57.50,-63.82,-58.74,-23.41,18.36,6.45,-55.87,42.54,-0.66,-35.94,7.67,-52.63,,
IncomeOtherOperatingIncome_qq,,-127.69,663.89,1682.51,-90.38,-96.70,-43.48,16953.85,-99.95,4300.00,-97.73,200.00,-33.33,-150.00,1700.00,1600.00,-100.00,,,78.12,-63.16,-400.00
IncomeOtherOperatingIncome_sq,,0.70,-0.96,158.63,-43.04,-11.76,-50.00,83.33,-39.08,-0.28,-11.48,101.93,-29.46,23.26,-75.00,157.14,-33.42,,,106.12,-29.55,54.75
IncomeOtherOperatingCosts,878000,444000,-138000,4325000,20000,2814000,2387000,659000,,,6000,1000,2000,25000,0,0,1000,0,0,0,4000,0
IncomeOtherOperatingCosts_yy,,,,,-97.72,533.78,1829.71,-84.76,-100.00,-100.00,-99.75,-99.85,,,-100.00,-100.00,-50.00,-100.00,,,300.00,
IncomeOtherOperatingCosts_sy,,,,,-2.84,-8.87,-1.95,9.88,-33.33,-30.00,9.55,-10.75,,,-33.33,-15.74,23.23,-2.31,,,15.30,
IncomeOtherOperatingCosts_qq,,-49.43,-131.08,3234.06,-99.54,13970.00,-15.17,-72.39,-100.00,,,-83.33,100.00,1150.00,-100.00,,,-100.00,,,,-100.00
IncomeOtherOperatingCosts_sq,,96.81,-27.52,92.68,-81.82,11.06,-23.44,38.91,-56.56,,,1.28,-48.28,0.35,-50.00,,,4.99,,,,-18.83
IncomeEBIT,-1781000,-1882000,-384000,2139000,189000,-3285000,-2628000,1728000,-292000,-221000,-149000,-125000,-215000,-152000,-147000,48000,-210000,-990000,-77000,-113000,-78000,-229000
IncomeEBIT_yy,,,,,110.61,-74.55,-584.38,-19.21,-254.50,93.27,94.33,-107.23,26.37,31.22,1.34,138.40,2.33,-551.32,47.62,-335.42,62.86,76.87
IncomeEBIT_sy,,,,,48.59,32.59,25.89,-5.83,-12.07,-3.26,-74.70,-1.22,10.05,2.51,29.42,-46.64,11.74,7.84,18.72,-5.40,-8.93,8.11
IncomeEBIT_qq,,-5.67,79.60,657.03,-91.16,-1838.10,20.00,165.75,-116.90,24.32,32.58,16.11,-72.00,29.30,3.29,132.65,-537.50,-371.43,92.22,-46.75,30.97,-193.59
IncomeEBIT_sq,,9.44,1.98,-5.94,18.51,38.77,-14.67,-11.87,19.83,6.96,-32.06,26.73,-3.20,-5.02,3.29,-35.05,36.44,-14.79,16.94,-53.56,55.78,-23.65
IncomeFinanceIncome,470000,261000,69000,6071000,59000,382000,203000,1871000,82000,489000,129000,34000,34000,48000,579000,154000,1567000,196000,138000,443000,126000,128000
IncomeFinanceIncome_yy,,,,,-87.45,46.36,194.20,-69.18,38.98,28.01,-36.45,-98.18,-58.54,-90.18,348.84,352.94,4508.82,308.33,-76.17,187.66,-91.96,-34.69
IncomeFinanceIncome_sy,,,,,-27.72,-8.56,49.03,-13.68,-31.58,25.72,-41.77,-33.28,-0.40,-4.28,24.77,-36.03,3.81,-9.09,-12.96,-32.61,-11.38,-3.47
IncomeFinanceIncome_qq,,-44.47,-73.56,8698.55,-99.03,547.46,-46.86,821.67,-95.62,496.34,-73.62,-73.64,,41.18,1106.25,-73.40,917.53,-87.49,-29.59,221.01,-71.56,1.59
IncomeFinanceIncome_sq,,20.79,-51.96,21.82,-8.22,36.63,-1.27,-15.00,-32.43,0.90,-28.08,15.78,,26.92,-9.09,-10.24,1.46,-12.92,,-13.52,-3.25,3.38
IncomeFinanceCosts,309000,381000,-89000,89000,,,,423000,16000,40000,40000,40000,31000,16000,1000,3000,2000,2000,3000,2000,2000,2000
