,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2
IncomeRevenues,3220000,5867000,4170000,4311000,5014000,5525000,6210000,6250000,9321000,13259000,13367000,13571000,12370000,12530000,10394000,10100000,10032000,9700000,9589000,9294000,10350000,15743000,23303000,8329000,16261000,16198000,3514000,3595000,3419000,5968000,3740000,4566000,7427000,3362000,4106000,4932000,4632000,-3063000,3916000,1136000,19525000,-3685000,6178000,5014000,5598000,5123000,3488000,3268000
IncomeRevenues_yy,,,,,55.71,-5.83,48.92,44.98,85.90,139.98,115.25,117.14,32.71,-5.50,-22.24,-25.58,-18.90,-22.59,-7.74,-7.98,3.17,62.30,143.02,-10.38,57.11,2.89,-84.92,-56.84,-78.97,-63.16,6.43,27.01,117.23,-43.67,9.79,8.02,-37.63,-191.11,-4.63,-76.97,321.52,-20.31,57.76,341.37,-71.33,239.02,-43.54,-34.82
IncomeRevenues_sy,,,,,55.71,,-2.70,1.06,-1.84,6.09,16.18,18.44,31.91,59.36,28.82,40.52,6.80,-17.56,-7.74,-4.73,4.85,4.86,7.14,-2.14,2.82,5.58,6.47,-0.88,-12.47,-13.83,-8.52,-8.82,-0.44,-9.32,0.73,-9.11,-7.71,-10.35,-10.51,-9.91,-2.46,-5.22,-4.33,1.72,-4.04,1.88,-19.28,-2.78
IncomeRevenues_qq,,82.20,-28.92,3.38,16.31,10.19,12.40,0.64,49.14,42.25,0.81,1.53,-8.85,1.29,-17.05,-2.83,-0.67,-3.31,-1.14,-3.08,11.36,52.11,48.02,-64.26,95.23,-0.39,-78.31,2.31,-4.90,74.55,-37.33,22.09,62.66,-54.73,22.13,20.12,-6.08,-166.13,227.85,-70.99,1618.75,-118.87,267.65,-18.84,11.65,-8.49,-31.91,-6.31
IncomeRevenues_sq,,15.36,-2.62,1.73,13.33,-1.01,-5.25,0.58,16.23,8.24,0.81,1.53,9.55,31.04,-13.42,-2.83,-3.03,1.50,-8.26,2.34,0.06,0.94,3.36,-0.85,5.43,4.68,-2.44,0.44,-5.11,,-12.86,3.75,-3.76,-1.22,-3.64,2.97,-6.08,1.35,-7.95,-2.16,4.40,0.57,-1.51,1.14,8.42,-4.41,-3.96,-3.69
IncomeCostOfSales,2595000,3904000,2389000,2773000,1903000,4962000,4042000,4468000,5754000,10244000,10443000,11132000,11001000,10799000,7980000,8700000,8554000,9298000,7874000,7732000,8527000,11843000,20181000,9250000,14434000,15305000,3950000,4197000,4020000,2696000,3510000,4162000,3251000,3425000,4250000,4601000,4763000,-898000,3782000,4633000,12413000,6942000,7695000,8647000,8811000,11379000,10108000,9804000
IncomeCostOfSales_yy,,,,,-26.67,27.10,69.19,61.13,202.36,106.45,158.36,149.15,91.19,5.42,-23.59,-21.85,-22.24,-13.90,-1.33,-11.13,-0.32,27.37,156.30,19.63,69.27,29.23,-80.43,-54.63,-72.15,-82.38,-11.14,-0.83,-19.13,27.04,21.08,10.55,46.51,-126.22,-11.01,0.70,160.61,873.05,103.46,86.64,-29.02,63.92,31.36,13.38
IncomeCostOfSales_sy,,,,,91.88,48.24,4.07,14.14,-2.78,15.02,59.42,86.78,57.51,59.07,33.72,33.10,8.26,-13.90,-3.32,-4.60,6.24,9.45,22.88,10.44,10.18,17.44,3.50,-1.74,-20.51,-27.40,-20.81,-7.73,-18.10,18.40,5.00,-10.14,1.24,-38.51,-16.33,-3.60,0.92,90.58,-22.35,39.96,-24.19,-0.34,-2.14,1.82
IncomeCostOfSales_qq,,50.44,-38.81,16.07,-31.37,160.75,-18.54,10.54,28.78,78.03,1.94,6.60,-1.18,-1.84,-26.10,9.02,-1.68,8.70,-15.32,-1.80,10.28,38.89,70.40,-54.16,56.04,6.03,-74.19,6.25,-4.22,-32.94,30.19,18.58,-21.89,5.35,24.09,8.26,3.52,-118.85,521.16,22.50,167.93,-44.07,10.85,12.37,1.90,29.15,-11.17,-3.01
IncomeCostOfSales_sq,,43.08,32.15,5.59,16.48,-2.36,-7.52,1.80,16.16,9.72,4.73,5.98,8.60,36.34,-19.82,5.59,-5.11,4.85,-7.97,9.44,1.44,3.35,-2.20,-1.59,1.86,9.54,-18.70,2.84,-4.08,-0.30,-15.51,18.54,-14.29,4.64,-3.02,3.98,-0.87,0.82,-7.44,9.46,53.08,-0.51,-10.14,12.48,-5.80,21.51,-13.74,9.58
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,427000,1257000,1614000,,,,,,,,,,,,,,987000,,,,,,,,
