,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,106434000,121429000,130637000,141310000,133167000,146842000,167325000,181992000,177596000,187064000,237069000,251626000,243023000,264559000,432776000,469535000,521659000,513834000,481905000,483092000,481206000,512556000,523003000,517051000,524907000,261119000,533607000,602146000,544891000,567875000,602735000,640754000,609116000,665151000,696432000,730199000,674118000,713646000,765295000,799592000,750351000,809324000,861191000,917874000,858221000,977055000,1157569000,1214524000,1147400000,1243141000,1355710000,1519256000,1462033000,1588495000
IncomeRevenues_yy,,,,,25.12,20.93,28.08,28.79,33.36,27.39,41.68,38.26,36.84,41.43,82.55,86.60,114.65,94.22,11.35,2.89,-7.75,-0.25,8.53,7.03,9.08,-49.06,2.03,16.46,3.81,117.48,12.95,6.41,11.79,17.13,15.55,13.96,10.67,7.29,9.89,9.50,11.31,13.41,12.53,14.79,14.38,20.72,34.41,32.32,33.70,27.23,17.12,25.09,27.42,27.78
IncomeRevenues_sy,,,,,25.12,20.93,19.95,24.19,23.53,12.24,8.08,30.93,23.15,17.29,9.78,6.04,28.31,0.58,4.76,2.89,-7.75,-4.00,-4.42,7.03,11.86,8.45,0.04,18.10,1.90,21.80,4.68,2.74,4.84,3.65,1.92,11.10,6.83,8.71,6.88,7.02,20.17,10.40,15.42,12.18,7.94,8.34,9.22,12.48,15.41,9.74,7.58,6.03,2.07,1.71
IncomeRevenues_qq,,14.09,7.58,8.17,-5.76,10.27,13.95,8.77,-2.42,5.33,26.73,6.14,-3.42,8.86,63.58,8.49,11.10,-1.50,-6.21,0.25,-0.39,6.51,2.04,-1.14,1.52,-50.25,104.35,12.84,-9.51,4.22,6.14,6.31,-4.94,9.20,4.70,4.85,-7.68,5.86,7.24,4.48,-6.16,7.86,6.41,6.58,-6.50,13.85,18.48,4.92,-5.53,8.34,9.06,12.06,-3.77,8.65
IncomeRevenues_sq,,30.93,7.58,3.43,-5.76,27.10,18.74,-21.34,2.21,28.09,26.73,-25.67,-3.42,41.95,49.57,-50.48,11.10,23.51,5.96,-18.84,-4.51,17.03,9.30,-22.73,2.10,22.88,12.36,-9.95,-3.37,29.99,4.92,-19.31,-6.08,18.70,5.28,-6.17,-8.76,31.28,7.51,-12.48,4.35,8.46,16.32,-11.66,-6.50,18.84,18.48,-12.55,-4.51,16.24,8.89,-11.72,-8.80,21.34
IncomeCostOfSales,93842000,104852000,111017000,125219000,118906000,127114000,143081000,154823000,151325000,160591000,202480000,219627000,208115000,232686000,384686000,419567000,471090000,467767000,436269000,439045000,432703000,472707000,483059000,474581000,476238000,227971000,461830000,525982000,485106000,509287000,529141000,572748000,555643000,601754000,619857000,650145000,610523000,636316000,670609000,708989000,660964000,698709000,742841000,798221000,751113000,848601000,999400000,1051302000,1031907000,1086675000,1147827000,1345669000,1311369000,1397020000
IncomeCostOfSales_yy,,,,,26.71,21.23,28.88,23.64,27.26,26.34,41.51,41.86,37.53,44.89,89.99,91.04,126.36,101.03,13.41,4.64,-8.15,1.06,10.73,8.09,10.06,-51.77,-4.39,10.83,1.86,123.40,14.57,8.89,14.54,18.16,17.14,13.51,9.88,5.74,8.19,9.05,8.26,9.81,10.77,12.59,13.64,21.45,34.54,31.71,37.38,28.05,14.85,28.00,27.08,28.56
IncomeCostOfSales_sy,,,,,26.12,6.65,18.62,11.97,17.29,16.76,15.62,41.86,36.65,44.89,35.40,76.23,26.91,-1.67,4.31,4.64,-9.11,1.06,-4.58,-3.97,10.06,1.77,-0.94,10.83,-0.88,17.81,-0.46,5.21,4.60,0.46,-0.98,7.68,5.42,5.49,4.90,-4.56,9.33,9.81,12.33,12.59,7.29,15.02,6.63,17.58,16.89,17.56,13.89,12.07,5.22,8.82
IncomeCostOfSales_qq,,11.73,5.88,12.79,-5.04,6.90,12.56,8.21,-2.26,6.12,26.08,8.47,-5.24,11.81,65.32,9.07,12.28,-0.71,-6.73,0.64,-1.44,9.25,2.19,-1.76,0.35,-52.13,102.58,13.89,-7.77,4.98,3.90,8.24,-2.99,8.30,3.01,4.89,-6.09,4.22,5.39,5.72,-6.77,5.71,6.32,7.46,-5.90,12.98,17.77,5.19,-1.84,5.31,5.63,17.24,-2.55,6.53
IncomeCostOfSales_sq,,21.54,5.88,11.55,-7.66,12.44,16.80,-12.02,0.62,14.83,26.08,-20.42,-7.59,21.45,24.02,-24.61,2.01,0.13,6.60,-9.39,-20.78,7.90,5.06,-38.52,-11.01,6.61,17.61,-1.59,-7.26,13.32,1.87,-1.46,-9.02,12.15,1.41,-2.10,-6.66,7.05,5.39,-9.66,10.32,5.71,13.54,-4.55,-1.44,14.97,14.70,-3.97,-1.00,9.11,5.63,-7.25,-8.70,11.04
