,2009/Q1,2009/Q2,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1249000,2481000,1006000,2153000,3361000,1946000,3142000,470000,50432000,-49679000,1611000,51000,1622000,7398000,53126000,8427000,12202000,14775000,4151000,9309000,13136000,-24987000,151000,320000,1000,0,,,456000,590000,,85000,0,35000,,20000
IncomeRevenues_yy,,,-19.46,-13.22,,,212.33,-78.17,1400.51,-2652.88,-48.73,-89.15,-96.78,114.89,3197.70,16423.53,652.28,99.72,-92.19,10.47,7.65,-269.12,-96.36,-96.56,-99.99,100.00,-100.00,-100.00,45500.00,,,,-100.00,-94.07,,-76.47
IncomeRevenues_sy,,,-1.26,-3.94,,,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,,,,-1.18,5.95,,11.87
IncomeRevenues_qq,,98.64,,114.02,56.11,-42.10,61.46,-85.04,10630.21,-198.51,103.24,-96.83,3080.39,356.10,618.11,-84.14,44.80,21.09,-71.91,124.26,41.11,-290.22,100.60,111.92,-99.69,-100.00,,,,29.39,-100.00,,-100.00,,-100.00,
IncomeRevenues_sq,,14.41,,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,,,,29.39,-31.70,,0.20,,-3.86,
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-160000,491000,316000,374000,-154000,-990000,-336000,-1367000,-852000,-2081000,138000,-3047000,80000,-3716000,2489000,-1614000,-1748000,-4239000,-2224000,512000,-4109000,4758000,-92000,365000,-32000,-148000,-128000,-61000,193000,740000,-95000,-2000,-31000,-11000,-36000,-21000
IncomeGrossProfit_yy,,,297.50,-23.83,,,-206.33,-465.51,-453.25,-110.20,141.07,-122.90,109.39,-78.57,1703.62,47.03,-2285.00,-14.07,-189.35,131.72,-135.07,212.24,95.86,-28.71,99.22,-103.11,-39.13,-116.71,703.12,600.00,25.78,96.72,-116.06,-101.49,62.11,-950.00
IncomeGrossProfit_sy,,,4.14,5.23,,,-16.57,-20.97,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,406.87,,18.35,-141.18,-542.86,66.06,-306.85,37.67,-144.25,106.63,-2307.97,102.63,-4745.00,166.98,-164.85,-8.30,-142.51,47.53,123.02,-902.54,215.79,-101.93,496.74,-108.77,-362.50,13.51,52.34,416.39,283.42,-112.84,97.89,-1450.00,64.52,-227.27,41.67
IncomeGrossProfit_sq,,-5.12,,-8.10,-33.70,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,,,,,,27000,,36734000,,59577000,,16263000,71000,6443000,275000,756000,1880000,76755000,141000,17000,6000,-73000,12000,-8000,0,35000,512000,82000,3000,0,94000,0,0,-2000,,
IncomeOtherOperatingIncome_yy,,,,,,,,,,220555.57,,-55.73,,-89.19,,-95.35,2547.89,1091.29,-48.73,-97.75,-99.68,-100.10,-91.49,-147.06,-100.00,147.95,4166.67,1125.00,,-100.00,-81.64,-100.00,-100.00,,-100.00,
IncomeOtherOperatingIncome_sy,,,,,,,,,,-76.60,,55.56,,12.50,,-20.35,27.60,-67.51,-45.37,-61.07,97.08,109.01,-25.29,111.08,-57.31,-20.96,61.05,7.69,,19.46,-6.69,-30.16,-11.11,,55.50,
IncomeOtherOperatingIncome_qq,,,,,,,-100.00,,-100.00,,-100.00,,-99.56,8974.65,-95.73,174.91,148.68,3982.71,-99.82,-87.94,-64.71,-1316.67,116.44,-166.67,100.00,,1362.86,-83.98,-96.34,-100.00,,-100.00,,,100.00,
IncomeOtherOperatingIncome_sq,,,,,,,-56.84,,-41.94,,-72.89,,-40.71,41.03,-10.81,20.07,-37.50,71.43,16.99,-36.70,85.74,79.34,-72.86,61.65,-35.58,,-45.48,90.17,-52.68,172.85,,37.92,,,-25.88,
IncomeOtherOperatingCosts,,,,,,110000,,342000,,3804000,,1215000,740000,4156000,1324000,2342000,3392000,16709000,6000,3000,21000,377000,9000,10000,-6000,671000,474000,6000,5000,175000,,3000,0,61000,155000,5000
IncomeOtherOperatingCosts_yy,,,,,,,,,,3358.18,,255.26,,9.25,,92.76,358.38,302.05,-99.55,-99.87,-99.38,-97.74,50.00,233.33,-128.57,77.98,5166.67,-40.00,183.33,-73.92,-100.00,-50.00,-100.00,-65.14,,66.67
