,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7847000,1273000,2202000,1477000,969000,1350000,699000,526000,320000,1599000,610000,918000,1350000,2459000,709000,507000,179000,844000,181000,4535000,284000,1320000,1377000,86000,2123000,1195000,707000,905000,495000,130000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,2034000,-4199000,-2384000,-2862000,-3009000,-3893000,-3386000,-6330000,-2193000,-703000,-1114000,-667000,-157000,420000,-181000,-5130000,-744000,-1083000,-934000,-2010000,-851000,-1009000,-277000,-402000,1030000,-39000,-792000,-270000,-308000,-5388000
IncomeOtherOperatingIncome,2000,10000,0,0,30000,0,6000,6000,617000,40000,175000,-519000,17000,15000,17000,332000,2000,214000,9000,281000,402000,886000,635000,-1653000,60000,14000,9000,94000,10000,67000
IncomeOtherOperatingCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeEBIT,2036000,-4189000,-2384000,-2862000,-2979000,-3893000,-3380000,-6324000,-1576000,-663000,-939000,-1186000,-140000,435000,-164000,-4798000,-742000,-869000,-925000,-1729000,-449000,-123000,358000,-2055000,1090000,-25000,-783000,-176000,-298000,-5321000
IncomeFinanceIncome,369000,1853000,823000,418000,893000,24376000,-22014000,844000,-5619000,7062000,645000,469000,417000,436000,461000,377000,285000,1270000,705000,-1065000,1107000,-435000,342000,300000,107000,109000,1091000,75000,305000,1421000
IncomeFinanceCosts,2321000,5454000,859000,-1511000,-11492000,15992000,-17788000,21967000,1392000,734000,718000,660000,587000,557000,523000,734000,394000,3015000,258000,-16000,187000,121000,354000,1275000,687000,177000,-80000,2523000,97000,2391000
IncomeOtherIncome,725000,-807000,-1071000,-5292000,-1119000,-1324000,-1116000,9312000,-5491000,-8281000,-9151000,-158000,-11317000,287000,-5796000,-745000,-1547000,-2114000,-410000,-1909000,-1101000,1505000,-13000,186000,-155000,155000,14000,-513000,281000,-6146000
IncomeNetGrossProfit,809000,-8597000,-3491000,-6225000,8287000,3167000,-8722000,-18135000,-14078000,-2616000,-10163000,-1535000,-11627000,601000,-6022000,-5900000,-2398000,-4728000,-888000,-4687000,-630000,826000,333000,-2844000,355000,62000,402000,-3137000,191000,-12437000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,809000,-8597000,-3491000,-6225000,8287000,3167000,-8722000,-18135000,-14078000,-2616000,-10163000,-1535000,-11627000,601000,-6022000,-5900000,-2398000,-4728000,-888000,-4687000,-630000,826000,333000,-2844000,355000,62000,402000,-3137000,191000,-12437000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
