,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,15392000,8199000,13861000,13436000,11298000,13447000,12957000,12934000,12053000,12978000,12715000,11218000,10902000,11956000,12975000,11504000,10394000,11360000,10308000,9498000,2620000,3000,0,0,,40000,35000,20000,85000,76000,62000,605000,108000,318000,230000,148000,347000,358000,342000,429000,305000,158000,250000,264000,273000,171000
IncomeRevenues_yy,,,,,-26.60,64.01,-6.52,-3.74,6.68,-3.49,-1.87,-13.27,-9.55,-7.87,2.04,2.55,-4.66,-4.98,-20.55,-17.44,-74.79,-99.97,-100.00,-100.00,-100.00,1233.33,,,,90.00,77.14,2925.00,27.06,318.42,270.97,-75.54,221.30,12.58,48.70,189.86,-12.10,-55.87,-26.90,-38.46,-10.49,8.23
IncomeRevenues_sy,,,,,18.90,13.07,-5.19,-9.98,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,,,,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,-46.73,69.06,-3.07,-15.91,19.02,-3.64,-0.18,-6.81,7.67,-2.03,-11.77,-2.82,9.67,8.52,-11.34,-9.65,9.29,-9.26,-7.86,-72.42,-99.89,-100.00,,,,-12.50,-42.86,325.00,-10.59,-18.42,875.81,-82.15,194.44,-27.67,-35.65,134.46,3.17,-4.47,25.44,-28.90,-48.20,58.23,5.60,3.41,-37.36
IncomeRevenues_sq,,13.43,0.63,17.74,-8.06,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,,,,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,12903000,6024000,10831000,9652000,9304000,11488000,9011000,9859000,9957000,9829000,10190000,10137000,8345000,8110000,11380000,9866000,8746000,8474000,8919000,8456000,2532000,40000,1000,0,,7000,2000,0,,,,15000,1000,3000,2000,5000,4000,1000,9000,2000,8000,9000,21000,8000,5000,9000
IncomeCostOfSales_yy,,,,,-27.89,90.70,-16.80,2.14,7.02,-14.44,13.08,2.82,-16.19,-17.49,11.68,-2.67,4.81,4.49,-21.63,-14.29,-71.05,-99.53,-99.99,-100.00,-100.00,-82.50,100.00,,,-100.00,-100.00,,,,,-66.67,300.00,-66.67,350.00,-60.00,100.00,800.00,133.33,300.00,-37.50,
IncomeCostOfSales_sy,,,,,6.16,23.28,51.30,1.51,2.07,-23.66,-54.95,-25.23,-48.93,-28.30,-29.70,96.31,-13.90,58.10,10.80,-3.66,80.90,-13.22,-15.82,-65.40,-30.01,-42.80,17.34,,,-1.52,-27.04,,,,,6.82,10.34,3.85,8.94,-15.12,-20.33,-0.74,-11.98,-10.06,-15.38,
IncomeCostOfSales_qq,,-53.31,79.80,-10.89,-3.61,23.47,-21.56,9.41,0.99,-1.29,3.67,-0.52,-17.68,-2.82,40.32,-13.30,-11.35,-3.11,5.25,-5.19,-70.06,-98.42,-97.50,-100.00,,,-71.43,-100.00,,,,,-93.33,200.00,-33.33,150.00,-20.00,-75.00,800.00,-77.78,300.00,12.50,133.33,-61.90,-37.50,80.00
IncomeCostOfSales_sq,,-5.07,-1.24,14.16,-11.76,5.82,-21.56,-6.76,-16.70,-20.00,3.67,-21.48,8.91,-10.09,12.29,29.59,-22.28,1.32,5.25,5.68,-13.79,0.86,-8.50,1.89,,,6.22,-3.86,,,,,-8.66,-0.37,-1.56,17.50,-17.94,-2.86,-0.72,-9.64,-10.02,-3.41,-13.38,-1.34,-9.86,5.26
IncomeDistributionExpenses,2107000,1665000,1836000,3591000,2002000,2575000,4135000,3821000,2067000,3223000,2750000,1221000,1913000,3177000,1574000,2303000,1781000,3065000,1992000,2047000,428000,0,0,0,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,-4.98,54.65,125.22,6.40,3.25,25.17,-33.49,-68.05,-7.45,-1.43,-42.76,88.62,-6.90,-3.53,26.56,-11.12,-75.97,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,10.54,-45.61,125.22,10.40,-24.62,-39.03,-40.02,-94.14,-100.00,-52.92,-55.67,75.62,-74.70,-19.54,7.53,-36.37,-12.98,-95.84,-100.00,-100.00,-91.64,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,-20.98,10.27,95.59,-44.25,28.62,60.58,-7.59,-45.90,55.93,-14.68,-55.60,56.67,66.07,-50.46,46.32,-22.67,72.09,-35.01,2.76,-79.09,-100.00,,,,,,,,,,,,,,,,,,,,,,,,
