,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,82312000,109412000,114629000,110032000,85503000,126490000,92298000,100329000,107886000,149823000,97976000,101446000,116146000,146299000,105278000,116496000,103369000,137311000,100633000,112628000,106999000,150141000,99281000,121017000,115159000,165473000,98553000,121847000,127087000,139718000,119873000,140165000,131172000,179424000,133205000,149616000,127810000,160228000,138604000,158740000,151530000
IncomeCostOfSales,61802000,80415000,86892000,83581000,67868000,93724000,70360000,76594000,80088000,116047000,72036000,76006000,85476000,106689000,77083000,19274000,43995000,64577000,74802000,86974000,80156000,116315000,75647000,92676000,85992000,129022000,72482000,89847000,92870000,106582000,91860000,106384000,100249000,135792000,102647000,111541000,95261000,117597000,106381000,118830000,112425000
IncomeDistributionExpenses,2597000,6951000,4409000,4706000,4307000,6664000,4965000,4659000,4374000,10286000,7223000,7590000,7813000,10157000,8355000,10421000,8849000,11552000,8200000,8836000,8632000,9852000,7935000,9516000,8547000,10462000,8313000,9296000,10025000,9779000,8838000,10476000,8652000,10155000,8084000,8700000,8862000,9450000,10542000,11063000,11083000
IncomeAdministrativExpenses,5722000,8974000,6820000,7111000,6099000,7494000,7469000,7731000,9651000,7581000,7504000,7670000,7839000,10483000,7518000,8851000,7943000,9142000,7935000,8770000,8450000,10116000,7880000,8316000,9083000,9877000,9094000,8625000,9787000,8493000,9354000,10232000,9992000,12760000,9533000,10974000,10416000,11675000,8683000,10348000,9359000
IncomeGrossProfit,12191000,13072000,16508000,14634000,7229000,18608000,9504000,11345000,13773000,15909000,11213000,10180000,15018000,18970000,12322000,77950000,42582000,52040000,9696000,8048000,9761000,13858000,7819000,10509000,11537000,16112000,8664000,14079000,14405000,14864000,9821000,13073000,12279000,20717000,12941000,18401000,13271000,21506000,12998000,18499000,18663000
IncomeOtherOperatingIncome,-776000,16000,243000,657000,408000,193000,300000,679000,125000,1000000,196000,202000,162000,334000,26000,584000,411000,1376000,379000,1158000,160000,399000,599000,571000,515000,265000,1354000,665000,377000,605000,540000,786000,456000,355000,453000,245000,635000,-40000,315000,-28000,621000
IncomeOtherOperatingCosts,-98000,774000,175000,281000,79000,2200000,188000,151000,663000,565000,290000,346000,225000,512000,66416000,31136000,37145000,218000,169000,156000,801000,414000,531000,139000,611000,151000,587000,115000,1063000,145000,114000,243000,745000,550000,760000,585000,-349000,220000,683000,523000,11513000
IncomeEBIT,12314000,16576000,15010000,7558000,16601000,9616000,11873000,13235000,16344000,11119000,10036000,14955000,18792000,12348000,12118000,11857000,16271000,9857000,9037000,9765000,13456000,8004000,10549000,11913000,15766000,9867000,14157000,14667000,14406000,10216000,13745000,12492000,20327000,12844000,17886000,13321000,21815000,13093000,17788000,18761000,-659000
IncomeFinanceIncome,1050000,1566000,508000,1459000,-379000,818000,829000,2549000,-470000,3118000,3057000,1351000,1951000,2493000,1274000,665000,547000,1132000,1331000,-135000,151000,399000,616000,877000,1290000,1795000,368000,821000,1158000,1501000,1055000,-496000,6224000,2160000,1371000,433000,2416000,1535000,2798000,3152000,1511000
IncomeFinanceCosts,2952000,2295000,-595000,2072000,-514000,1066000,1028000,354000,550000,843000,437000,918000,82000,987000,776000,909000,263000,588000,454000,160000,23000,376000,622000,992000,1207000,1516000,579000,1141000,339000,1505000,1033000,-563000,2122000,2035000,736000,394000,1665000,495000,1146000,556000,
