,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,52113000,44997000,52298000,68210000,60238000,50612000,56182000,72190000,64603000,46134000,60372000,74086000,64861000,46340000,63412000,80776000,71881000,58869000,76052000,106531000,89330000,71964000,89994000,126349000,108208000,85319000,120923000,150696000,146911000,107909000,131328000,169749000,148037000,108703000,143941000,194964000,149352000,105952000,134022000,204835000,170511000,108447000,141271000,210959000,177979000,110001000,151133000,206783000,147829000,95586000,134553000,240488000,159277000,93620000,132324000
IncomeRevenues_yy,,,,,15.59,12.48,7.43,5.83,7.25,-8.85,7.46,2.63,0.40,0.45,5.04,9.03,10.82,27.04,19.93,31.88,24.27,22.24,18.33,18.60,21.13,18.56,34.37,19.27,35.77,26.48,8.60,12.64,0.77,0.74,9.60,14.85,0.89,-2.53,-6.89,5.06,14.17,2.35,5.41,2.99,4.38,1.43,6.98,-1.98,-16.94,-13.10,-10.97,16.30,7.74,-2.06,-1.66
IncomeRevenues_sy,,,,,7.51,10.32,11.53,17.58,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61,0.15
IncomeRevenues_qq,,-13.65,16.23,30.43,-11.69,-15.98,11.01,28.49,-10.51,-28.59,30.86,22.72,-12.45,-28.55,36.84,27.38,-11.01,-18.10,29.19,40.08,-16.15,-19.44,25.05,40.40,-14.36,-21.15,41.73,24.62,-2.51,-26.55,21.70,29.26,-12.79,-26.57,32.42,35.45,-23.40,-29.06,26.49,52.84,-16.76,-36.40,30.27,49.33,-15.63,-38.19,37.39,36.82,-28.51,-35.34,40.77,78.73,-33.77,-41.22,41.34
IncomeRevenues_sq,,-0.16,11.90,9.52,-9.48,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27,16.88
IncomeCostOfSales,30324000,26138000,29271000,35374000,32704000,27673000,33604000,39862000,33712000,26474000,33659000,38374000,34229000,26151000,33231000,39969000,40317000,35476000,42380000,58913000,47933000,40096000,52831000,69140000,60538000,51415000,72349000,96945000,90155000,70479000,81075000,101847000,88875000,68806000,89818000,121175000,90521000,66044000,77699000,116979000,99881000,65310000,85774000,129117000,112696000,67677000,92738000,125340000,94489000,69372000,84277000,117905000,95857000,62971000,81887000
IncomeCostOfSales_yy,,,,,7.85,5.87,14.80,12.69,3.08,-4.33,0.16,-3.73,1.53,-1.22,-1.27,4.16,17.79,35.66,27.53,47.40,18.89,13.02,24.66,17.36,26.30,28.23,36.94,40.22,48.92,37.08,12.06,5.06,-1.42,-2.37,10.78,18.98,1.85,-4.01,-13.49,-3.46,10.34,-1.11,10.39,10.38,12.83,3.62,8.12,-2.93,-16.16,2.50,-9.12,-5.93,1.45,-9.23,-2.84
IncomeCostOfSales_sy,,,,,12.07,8.78,4.92,12.82,17.72,15.58,26.32,7.52,17.44,4.08,4.13,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22,-2.21
IncomeCostOfSales_qq,,-13.80,11.99,20.85,-7.55,-15.38,21.43,18.62,-15.43,-21.47,27.14,14.01,-10.80,-23.60,27.07,20.28,0.87,-12.01,19.46,39.01,-18.64,-16.35,31.76,30.87,-12.44,-15.07,40.72,34.00,-7.00,-21.82,15.03,25.62,-12.74,-22.58,30.54,34.91,-25.30,-27.04,17.65,50.55,-14.62,-34.61,31.33,50.53,-12.72,-39.95,37.03,35.15,-24.61,-26.58,21.49,39.90,-18.70,-34.31,30.04
IncomeCostOfSales_sq,,-13.80,28.18,4.32,-6.64,2.28,10.52,18.62,-9.92,7.91,13.34,6.09,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26,11.45
