,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,66000,282000,0,-11000,120000,812000,191000,229000,221000,1792000,887000,7000000,115476000,53464000,12388000,-59959000,975000,1056000,2095000,477000,1149000,1112000,1275000,1345000,,,,4095000,4686000,9766000,9626000,65000,,,,-164000,846000,,,,,,,
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-635000,-1514000,-990000,-3292000,-1386000,-1761000,-1980000
IncomeGrossProfit,-2570000,-3832000,-1752000,-1748000,-7806000,1974000,12035000,-2141000,-89558000,-750000,-650000,865000,-18511000,279000,-1180000,-7973000,6921000,-64000,-299000,-1081000,54871000,-30222000,437000,-4825000,-3093000,24765000,-243000,-313000,-195000,3291000,-236000,-2194000,-2866000,-646000,-1372000,-554000,0,56000,132000,-61000,79000,,,308000
IncomeOtherOperatingIncome,,,1731000,,,1820000,,,233000,2167000,124000,-9000,0,2059000,791000,2345000,1698000,0,155000,198000,-67000,80000,340000,81000,-23000,117000,,,,,,,,,,,,,0,,,,15748000,
IncomeOtherOperatingCosts,,,,,,,,865000,,,159000,-51000,,401000,-716000,-1435000,-975000,-3188000,-1386000,-1761000,-1980000,-2491000,-3832000,-1752000,-1748000,-7497000,1974000,12035000,-2141000,-87828000,-750000,-650000,865000,-16691000,279000,-1180000,-7973000,-8593000,2104000,-175000,-1090000,54871000,-28163000,1228000
IncomeEBIT,-2480000,-1395000,18985000,-243000,-314000,-195000,3287000,-186000,-2244000,-2667000,-713000,-1292000,-615000,998000,1054000,1099000,1748000,3862000,1669000,-12087000,4233000,6583000,3508000,8732000,,,5132000,,,15294000,,,,,97000,,,,,,,,152000,-767000
IncomeFinanceIncome,-400000,-1252000,0,0,15000,258000,-1294000,-1187000,31585000,,781000,-7694000,8200000,-5283000,12756000,1360000,1284000,5563000,10786000,3467000,2280000,2040000,33916000,-272000,205000,212000,-1000,-196000,226000,1066000,17601000,-18895000,1000,24000,83000,-71000,-80000,638000,,,,,,
IncomeFinanceCosts,,,,,,,,,,,,,,,,,,,,,,,,,16844000,,,-46894000,,,6901000,,,,,282000,-380000,110000,-1698000,-92000,-574000,-576000,-32407000,-15919000
IncomeOtherIncome,2481000,4835000,-4770000,9667000,3835000,3142000,-91851000,-2110000,-1934000,-4698000,-22345000,-3188000,-3460000,-10013000,-27215000,-51000,2428000,-380000,-1302000,54872000,-11026000,1002000,-3546000,-18996000,-9013000,-244000,-338000,-278000,10259000,-105000,-2172000,-3434000,-759000,-1692000,-1867000,,,,,,,,,
IncomeNetGrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282000,-380000,110000,-1698000,-92000,-574000,-576000,-32407000,-15919000
IncomeExtraordinarProfit,2481000,4835000,-4770000,9667000,3835000,3142000,-91851000,-2110000,-1934000,-4698000,-22345000,-3188000,-3460000,-10013000,-27215000,-51000,2428000,-380000,-1302000,54872000,-11026000,1002000,-3546000,-18996000,-9013000,-244000,-338000,-278000,10259000,-105000,-2172000,-3434000,-759000,-1692000,-1867000,,,,,,,,,
IncomeBeforeTaxProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000,-403000,106000,-2103000,-247000,-711000,-879000,-31681000,-15919000
IncomeDiscontinuedProfit,2481000,4835000,-4770000,9667000,3835000,3142000,-91851000,-2110000,-1934000,-4698000,-22345000,-3188000,-3460000,-10013000,-27215000,-684000,3085000,-380000,-1302000,54872000,-12619000,63000,-2641000,-19855000,-8090000,-244000,-338000,-278000,10259000,-105000,-2172000,-3434000,-5197000,-1692000,-1958000,279000,-403000,106000,-2103000,-247000,-711000,-879000,-31681000,-15919000
IncomeNetProfit,2481000,4835000,-4770000,9667000,3835000,3142000,-91851000,-2110000,-1934000,-4698000,-22345000,-3188000,-3460000,-10013000,-27215000,-684000,3085000,-380000,-1302000,54872000,-12619000,63000,-2641000,-19855000,-8090000,-244000,-338000,-278000,10259000,-105000,-2172000,-3434000,-5197000,-1692000,-1958000,,,,,,,,,
IncomeShareholderNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,66000,23000,1046000,1022000,1016000,380000,362000,353000,1343000,2800000,3992000,63000,48000,8000,35000,33000,34000,29000,21000,22000,691000,53825000,89919000,87430000,134045000,55820000,,,,8803000,14135000,14069000,17385000,19000,4000,,63000,50000,,42000,36000,,15000,12000
BalanceIntangibleAssets,8000,4000,4000,0,0,,,,,,691000,40182000,46258000,44501000,45688000,40790000,,,,7231000,6857000,6599000,6835000,46000,19000,204000,183000,171000,217000,155000,156000,131000,104000,91000,55000,44000,4000,35000,33000,34000,29000,,,13643000
BalanceProperty,8832000,10416000,54686000,371000,,,,112000,5885000,6132000,7559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
