,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,22538000,23621000,28009000,25962000,28806000,27833000,30287000,29725000,32803000,30840000,38891000,34805000,38410000,37129000,38516000,41599000,40987000,38580000,42590000,48224000,49740000,49203000,53920000,58455000,55904000,55586000,61274000,57840000,57572000,52684000,55616000,55118000,54426000,53634000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,4100000,3192000,4558000,2127000,3335000,3235000,4790000,3228000,3650000,3621000,6004000,840000,4647000,3649000,5592000,5062000,6065000,3870000,4958000,5221000,7511000,6672000,7375000,6222000,7696000,6551000,7654000,5782000,7356000,5451000,7225000,5631000,6370000,5594000
IncomeOtherOperatingIncome,691000,2588000,560000,1147000,879000,834000,888000,2249000,906000,980000,1220000,1194000,1053000,740000,1128000,1037000,1065000,995000,1086000,2559000,1044000,1222000,1447000,1424000,1700000,1283000,1379000,1346000,1210000,1044000,1031000,1466000,1371000,1063000
IncomeOtherOperatingCosts,,,,,,,,,,,1840000,,,1510000,647000,936000,,,,,,,,,,,,,,4791000,5780000,5118000,3274000,4214000
IncomeEBIT,4069000,5678000,5477000,4556000,4601000,5384000,3874000,5700000,4389000,5210000,5452000,6194000,5801000,6044000,7780000,8555000,7894000,8822000,7646000,9396000,7834000,9033000,7128000,8566000,6495000,8256000,7097000,7741000,6657000,854000,-585000,-22000,133000,596000
IncomeFinanceIncome,496000,801000,945000,1406000,356000,983000,620000,532000,476000,527000,104000,296000,264000,198000,321000,157000,108000,90000,36000,31000,77000,50000,60000,139000,237000,239000,563000,237000,173000,42000,1673000,-695000,817000,168000
IncomeFinanceCosts,631000,1627000,257000,120000,137000,126000,123000,110000,300000,-155000,185000,56000,56000,84000,230000,790000,105000,-181000,406000,141000,306000,37000,267000,73000,70000,81000,100000,58000,223000,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,4970000,0,0,,,,,,,,,,5603000,3522000,5791000,2590000,4642000,3934000
IncomeNetGrossProfit,4852000,6165000,5842000,4820000,6241000,4371000,6122000,4565000,5892000,5371000,6434000,6009000,6158000,7871000,7922000,12867000,9093000,7276000,9286000,7605000,9046000,6921000,8632000,6662000,8414000,7560000,7920000,6607000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5603000,3522000,5791000,2590000,4642000,3934000
IncomeBeforeTaxProfit,4852000,6165000,5842000,4820000,6241000,4371000,6122000,4565000,5892000,5371000,6434000,6009000,6158000,7871000,7922000,12867000,9093000,7276000,9286000,7605000,9046000,6921000,8632000,6662000,8414000,7560000,7920000,6607000,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711000,2300000,4820000,2828000,3740000,3147000
IncomeNetProfit,3863000,5443000,4700000,4000000,4961000,3501000,4955000,3642000,4779000,4338000,5223000,4956000,4882000,6443000,6408000,11457000,7260000,5485000,7333000,5869000,7561000,5529000,7079000,5301000,6848000,6102000,6383000,5318000,4711000,2300000,4820000,2828000,3740000,3147000
IncomeShareholderNetProfit,3863000,5443000,4700000,4000000,4961000,3501000,4955000,3642000,4779000,4338000,5223000,4956000,4882000,6443000,6408000,11468000,7351000,5477000,7356000,5881000,7583000,5528000,7058000,5299000,6836000,6099000,6382000,5319000,,,,,,
BalanceNoncurrentAssets,62353000,75896000,75762000,74602000,74663000,89403000,92612000,95122000,95018000,95391000,95874000,95118000,97570000,110048000,108298000,106952000,111494000,117922000,125957000,151502000,149228000,159609000,158316000,155860000,152667000,159721000,160480000,158124000,155634000,155208000,155545000,155676000,1622000,1616000
BalanceIntangibleAssets,1555000,1539000,1509000,1825000,1963000,1988000,2119000,2163000,2185000,2201000,2154000,2299000,2352000,2394000,2448000,2281000,2397000,2393000,2387000,2396000,2297000,2244000,2120000,2016000,1970000,1894000,1788000,1688000,1590000,1583000,59532000,73638000,73762000,72624000
BalanceProperty,72287000,86443000,89448000,92053000,91784000,91648000,92079000,91386000,93810000,106090000,104312000,103050000,107460000,114077000,121997000,146439000,143985000,155186000,154252000,152025000,148992000,155819000,156483000,154416000,151875000,151722000,152248000,152424000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199000,642000,445000,439000,867000,1135000
BalanceOtherNoncurrentAssets,1201000,1081000,1115000,1580000,1610000,1531000,1606000,1659000,1634000,1508000,1586000,1564000,1563000,2670000,2856000,2027000,1767000,1591000,1555000,1886000,2027000,1814000,1971000,1798000,1707000,1669000,58337000,47656000,101744000,105481000,108193000,101890000,103983000,98006000
BalanceCurrentAssets,104619000,105214000,111745000,116061000,112646000,106910000,112118000,114806000,109013000,110569000,113223000,112221000,121709000,114373000,121476000,124717000,131741000,128633000,137226000,136560000,144801000,153416000,159181000,154813000,11581000,14205000,18072000,16382000,16157000,20547000,19689000,24494000,24336000,24033000
BalanceInventory,24111000,25526000,27830000,26750000,26797000,28431000,31360000,31907000,32248000,34624000,39592000,39031000,37618000,38531000,38062000,37715000,37044000,36241000,35098000,37224000,41504000,45715000,26579000,21873000,24980000,27786000,28011000,31145000,33500000,30454000,38840000,37451000,37172000,38740000
BalanceCurrentReceivables,39220000,38366000,40925000,42363000,47502000,57808000,48432000,53801000,57062000,61642000,66545000,60020000,71995000,77301000,65990000,58977000,58656000,57338000,58589000,63994000,0,0,,113000,183000,10312000,10675000,10641000,68000,69000,144000,57000,57000,57000
BalanceCurrentInvestments,57000,57000,35000,68000,21000,57000,21000,300000,321000,300000,6316000,6000,6000,6000,14938000,19907000,30843000,35818000,30868000,19314000,11172000,58375000,60444000,53245000,39400000,39665000,42630000,41191000,43506000,49807000,51329000,45188000,41567000,43397000
BalanceCash,43214000,29535000,20709000,31683000,22843000,24262000,13087000,16027000,19032000,21071000,13377000,32806000,25328000,30395000,27803000,22132000,13278000,863000,406000,204000,686000,468000,123000,488000,360000,183000,80000,598000,409000,351000,170000,942000,763000,548000
BalanceOtherCurrentAssets,124000,803000,932000,493000,292000,986000,818000,607000,234000,1380000,1076000,745000,208000,1138000,958000,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,120690000,123552000,177506000,180083000,182856000,191293000,196595000,193128000,199637000,200605000,207619000,211179000,210216000,216958000,220416000,221758000,220507000,228491000,239180000
BalanceTotalAssets,263723000,270937000,273982000,279792000,280577000,284408000,288354000,297706000,294684000,300435000,308624000,314726000,310489000,78135000,76023000,133545000,137285000,140335000,149639000,154339000,153435000,158397000,161897000,166852000,165591000,170370000,174707000,179930000,179983000,184865000,191308000,197716000,204108000,212612000
BalanceCapital,217990000,225386000,224875000,232995000,238686000,245913000,244863000,251701000,257799000,264182000,259683000,6808000,6808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000
BalanceShareCapital,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,9808000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,56003000,62204000,109078000,109022000,123640000,123638000,123638000,134927000,134928000,134927000,134927000,147186000,147186000,147185000,147131000,159996000,159996000,159996000,159996000,176424000,179552000,177478000,177448000,197266000,197871000
