,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5528000,6026000,5687000,5921000,6569000,4200000,6355000,4482000,5535000,5550000,5979000,4897000,5013000,3426000,2392000,1660000,1639000,313000,1366000,1095000,1057000,701000,716000,663000,490000,227000,264000,623000,-75000,1189000,102000,428000,0,111000,,30000,0,8000,,,,0,400000,0
IncomeRevenues_yy,,,,,18.83,-30.30,11.75,-24.30,-15.74,32.14,-5.92,9.26,-9.43,-38.27,-59.99,-66.10,-67.31,-90.86,-42.89,-34.04,-35.51,123.80,-47.58,-39.45,-53.64,-67.62,-63.13,-6.03,-115.31,423.79,-61.36,-31.30,100.00,-90.66,-100.00,-92.99,,-93.04,,-100.00,,-99.22,,
IncomeRevenues_sy,,,,,3.85,-6.06,9.48,-11.57,-6.60,-2.29,-5.92,4.32,-1.47,-2.81,19.46,19.78,22.94,16.30,9.54,-4.77,-11.88,-1.80,-7.09,-20.16,6.76,8.06,14.26,13.64,5.64,16.46,-5.61,-15.60,19.84,8.88,15.84,3.54,,2.05,,-6.81,,5.58,,
IncomeRevenues_qq,,9.01,-5.63,4.11,10.94,-36.06,51.31,-29.47,23.49,0.27,7.73,-18.10,2.37,-31.66,-30.18,-30.60,-1.27,-80.89,336.10,-19.84,-3.47,-33.68,2.14,-7.40,-26.09,-53.67,16.30,135.98,-112.04,1685.33,-91.42,319.61,-100.00,,-100.00,,-100.00,,-100.00,,,,666566.65,-100.00
IncomeRevenues_sq,,13.25,-8.23,-9.54,10.94,2.44,-2.10,-27.44,20.08,0.27,7.73,-10.19,6.35,-10.85,-2.91,0.80,5.58,-6.10,-4.46,-9.47,3.32,-0.68,0.03,-4.97,0.85,4.91,12.11,1.30,-9.50,20.42,-8.10,5.30,-4.02,,-6.65,,-7.04,,-3.70,,,,11.80,-5.36
IncomeCostOfSales,4629000,4659000,4622000,4607000,5058000,3447000,5056000,3544000,4716000,4677000,4553000,3936000,4183000,8798000,2481000,2085000,1712000,,2043000,1322000,846000,2338000,1245000,758000,268000,2117000,227000,404000,0,,,138000,0,1744000,,24000,0,2000,,,,,393000,16000
IncomeCostOfSales_yy,,,,,9.27,-26.01,9.39,-23.07,-6.76,35.68,-9.95,11.06,-11.30,88.11,-45.51,-47.03,-59.07,-100.00,-17.65,-36.59,-50.58,,-39.06,-42.66,-68.32,-9.45,-81.77,-46.70,-100.00,-100.00,-100.00,-65.84,,,,-82.61,,-99.88,,-100.00,,-100.00,,
IncomeCostOfSales_sy,,,,,4.86,-9.84,-4.15,-17.04,-11.84,-2.69,-8.53,7.33,6.30,13.54,21.93,6.99,17.91,7.75,7.74,8.07,-11.80,,-8.38,-22.74,8.65,2.48,14.85,14.02,6.60,-1.82,-11.74,-21.43,,,,7.76,,1.96,,-2.80,,8.31,,
IncomeCostOfSales_qq,,0.65,-0.79,-0.32,9.79,-31.85,46.68,-29.91,33.07,-0.83,-2.65,-13.55,6.28,110.33,-71.80,-15.96,-17.89,-100.00,,-35.29,-36.01,176.36,-46.75,-39.12,-64.64,689.93,-89.28,77.97,-100.00,,,,-100.00,,-100.00,,-100.00,,-100.00,,,,,-95.89
IncomeCostOfSales_sq,,19.20,-2.14,-11.20,10.18,-1.13,-11.99,-22.86,17.64,-0.83,-2.65,-8.37,2.61,6.90,-2.22,-3.02,8.59,-4.29,,-11.82,-25.72,14.31,-11.04,-5.91,6.26,13.09,7.36,-0.19,-6.94,,,,-2.13,,-6.25,,-5.33,,-0.77,,,,,-7.20
IncomeDistributionExpenses,76000,200000,163000,177000,187000,273000,346000,240000,570000,822000,867000,823000,844000,,395000,329000,254000,,140000,31000,24000,,13000,14000,2000,,27000,88000,27000,,,577000,0,129000,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,146.05,36.50,112.27,35.59,204.81,201.10,150.58,242.92,48.07,-100.00,-54.44,-60.02,-69.91,,-64.56,-90.58,-90.55,,-90.71,-54.84,-91.67,,107.69,528.57,1250.00,,-100.00,555.68,-100.00,,,-100.00,,-100.00,,,,,,
IncomeDistributionExpenses_sy,,,,,9.88,14.95,31.22,-1.80,8.24,18.39,17.01,7.26,17.10,-8.53,25.00,6.33,-0.58,,9.79,5.72,-15.80,,1.36,-30.72,5.69,,33.52,23.13,14.74,,0.32,7.83,3.30,,,2.40,,-6.93,,,,,,
IncomeDistributionExpenses_qq,,163.16,-18.50,8.59,5.65,45.99,26.74,-30.64,137.50,44.21,5.47,-5.07,2.55,-100.00,,-16.71,-22.80,-100.00,,-77.86,-22.58,-100.00,,7.69,-85.71,-100.00,,225.93,-69.32,-100.00,,,-100.00,,-100.00,,,,,,,,,
IncomeDistributionExpenses_sq,,14.95,-13.31,6.55,4.33,9.36,0.67,-12.41,13.78,16.27,-16.98,-0.97,10.35,-0.03,,-5.20,-8.31,12.89,,-5.60,-14.72,20.61,,1.96,2.01,13.86,,10.88,-9.93,14.40,,,-2.95,,1.89,,,,,,,,,
IncomeAdministrativExpenses,509000,636000,624000,637000,653000,718000,617000,631000,644000,665000,551000,576000,552000,,546000,559000,538000,,247000,218000,364000,,633000,-299000,47000,,473000,94000,249000,2158000,28000,1000,4000,111000,66000,90000,40000,176000,69000,-59000,8000,40000,5000,2000
IncomeAdministrativExpenses_yy,,,,,28.29,12.89,-1.12,-0.94,-1.38,-7.38,-10.70,-8.72,-14.29,-100.00,-0.91,-2.95,-2.54,,-54.76,-61.00,-32.34,,156.28,-237.16,-87.09,,-25.28,131.44,429.79,,-94.08,-98.94,-98.39,-94.86,135.71,8900.00,900.00,58.79,3.79,-165.00,-80.00,-77.54,-92.41,103.69
