,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8545000,9251000,9303000,9627000,10308000,10751000,11941000,12025000,12251000,15127000,15449000,16487000,31761000,39061000,42488000,34007000,17889000,16181000,-30997000,665000,28678000,47266000,-37409000,2621000,2305000,9257000,2479000,1290000,1082000,634000,894000,2426000,911000,428000,2061000,923000,1138000,3972000,2675000,1333000,5661000,11428000,24166000,34148000,26826000,27192000,24582000,33552000,27840000,26029000,23532000,27799000,22948000,27301000
IncomeRevenues_yy,,,,,20.63,16.21,28.36,24.91,18.85,40.70,29.38,37.11,159.25,158.22,175.02,106.27,-43.68,-58.58,-172.95,-98.04,60.31,192.11,-20.69,294.14,-91.96,-80.42,106.63,-50.78,-53.06,-93.15,-63.94,88.06,-15.80,-32.49,130.54,-61.95,24.92,828.04,29.79,44.42,397.45,187.71,803.40,2461.74,373.87,137.94,1.72,-1.75,3.78,-4.28,-4.27,-17.15,-17.57,4.89
IncomeRevenues_sy,,,,,11.10,27.82,-2.04,13.22,18.85,35.01,57.87,37.11,53.34,36.54,41.36,45.98,-0.60,-0.51,-13.29,-1.11,-7.62,24.26,15.86,12.88,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,8.26,0.56,3.48,7.07,4.30,11.07,0.70,1.88,23.48,2.13,6.72,92.64,22.98,8.77,-19.96,-47.40,-9.55,-291.56,102.15,4212.48,64.82,-179.15,107.01,-12.06,301.61,-73.22,-47.96,-16.12,-41.40,41.01,171.36,-62.45,-53.02,381.54,-55.22,23.29,249.03,-32.65,-50.17,324.68,101.87,111.46,41.31,-21.44,1.36,-9.60,36.49,-17.02,-6.51,-9.59,18.13,-17.45,18.97
IncomeRevenues_sq,,10.13,0.08,29.96,-34.74,2.55,-11.27,36.44,1.12,16.76,2.73,31.57,-10.26,11.45,7.74,30.07,-36.92,7.72,-8.36,35.38,-15.36,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,5793000,6358000,6725000,7114000,7795000,7704000,8579000,9032000,9122000,10731000,11236000,11870000,24643000,31219000,33173000,27123000,14043000,15025000,-26711000,778000,25440000,38897000,-32113000,2131000,1796000,8788000,2121000,1126000,351000,-5000,0,1509000,506000,11000,599000,10000,575000,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,34.56,21.17,27.57,26.96,17.02,39.29,30.97,31.42,170.15,190.92,195.24,128.50,-43.01,-51.87,-180.52,-97.13,81.16,158.88,-20.22,173.91,-92.94,-77.41,106.60,-47.16,-80.46,-100.06,-100.00,34.01,44.16,320.00,,-99.34,13.64,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,34.56,21.17,-3.02,11.72,17.02,14.50,43.48,36.31,39.21,69.47,69.50,28.48,-4.81,0.42,-11.50,-7.53,12.06,19.25,6.58,6.03,9.00,2.34,22.62,30.44,3.22,3.80,3.41,-3.00,10.85,1.17,,-2.72,6.22,-5.17,-6.56,-4.30,-6.78,,,,,,,,,,,,,
IncomeCostOfSales_qq,,9.75,5.77,5.78,9.57,-1.17,11.36,5.28,1.00,17.64,4.71,5.64,107.61,26.69,6.26,-18.24,-48.22,6.99,-277.78,102.91,3169.92,52.90,-182.56,106.64,-15.72,389.31,-75.86,-46.91,-68.83,-101.42,100.00,,-66.47,-97.83,5345.45,-98.33,5650.00,-100.00,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,7.26,5.77,32.34,-30.88,3.07,-11.36,22.56,2.45,2.20,4.71,70.91,-6.98,0.66,6.26,18.72,-48.22,6.19,-13.41,22.16,-12.54,21.03,-1.01,35.08,-15.54,16.16,-2.12,20.40,-17.63,7.47,-3.52,,-15.02,0.08,-1.14,3.36,-11.56,8.34,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,228000,266000,246000,451000,143000,275000,163000,365000,201000,397000,312000,559000,549000,727000,836000,1076000,459000,305000,-406000,135000,54000,521000,-324000,76000,53000,26000,7000,442000,6000,1000,0,35000,0,0,9000,0,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,-37.28,3.38,-33.74,-19.07,40.56,44.36,91.41,53.15,173.13,83.12,167.95,92.49,-16.39,-58.05,-148.56,-87.45,-88.24,70.82,20.20,-43.70,-1.85,-95.01,102.16,481.58,-88.68,-96.15,-100.00,-92.08,-100.00,-100.00,,-100.00,,,-100.00,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,-14.15,14.38,5.98,-5.30,33.50,-3.62,91.41,53.15,39.18,62.47,78.05,35.42,-5.45,-32.74,5.22,-21.30,-9.74,8.05,-14.78,-39.04,3.90,-6.27,31.46,-0.76,-3.46,3.18,-1.74,-17.11,-1.16,-49.20,,4.58,,,-24.72,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,16.67,-7.52,83.33,-68.29,92.31,-40.73,123.93,-44.93,97.51,-21.41,79.17,-1.79,32.42,14.99,28.71,-57.34,-33.55,-233.11,133.25,-60.00,864.81,-162.19,123.46,-30.26,-50.94,-73.08,6214.29,-98.64,-83.33,-100.00,,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,20.13,-11.05,39.84,-59.54,60.14,-21.24,123.93,-18.78,32.91,-15.35,46.89,-22.15,38.26,-19.26,43.94,-50.08,22.76,-10.50,117.60,-60.00,22.08,-34.10,40.26,-23.02,13.40,-19.78,31.67,-41.55,5.56,-9.05,,-32.08,,,49.24,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,2222000,2076000,2150000,3211000,2057000,2290000,2339000,2812000,2571000,3161000,2823000,3587000,4937000,9103000,9467000,9026000,4983000,4936000,-7355000,317000,287000,7156000,-5981000,217000,642000,665000,544000,98000,982000,917000,998000,782000,607000,1136000,2163000,1226000,967000,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,-7.43,10.31,8.79,-12.43,24.99,38.03,20.69,27.56,92.03,187.98,235.35,151.63,0.93,-45.78,-177.69,-96.49,-94.24,44.98,18.68,-31.55,123.69,-90.71,109.10,-54.84,52.96,37.89,83.46,697.96,-38.19,23.88,116.73,56.78,59.31,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,6.72,42.74,3.52,-10.56,21.20,21.84,45.54,22.55,45.76,43.64,88.59,18.46,4.56,12.99,-22.77,-13.42,-7.85,-4.58,11.14,-10.60,16.60,3.52,14.66,-14.66,-0.67,12.24,-2.83,14.80,-1.11,-1.44,7.92,-2.68,5.46,-3.84,-39.19,-21.00,-8.60,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,-6.57,3.56,49.35,-35.94,11.33,2.14,20.22,-8.57,22.95,-10.69,27.06,37.64,84.38,4.00,-4.66,-44.79,-0.94,-249.01,104.31,-9.46,2393.38,-183.58,103.63,195.85,3.58,-18.20,-81.99,902.04,-6.62,8.83,-21.64,-22.38,87.15,90.40,-43.32,-21.13,-100.00,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,-0.58,2.85,91.32,-33.78,11.86,-30.88,44.01,-7.46,22.52,-10.69,90.49,-10.52,20.74,1.92,19.85,-27.72,17.66,-34.64,46.11,-24.62,3.07,-11.71,25.54,-5.45,3.58,-4.82,5.35,-4.64,2.03,-6.19,16.88,-0.50,4.30,-3.75,20.98,-18.88,-0.68,,,,,,,,,,,,,,,,
IncomeGrossProfit,302000,551000,182000,-1149000,313000,482000,860000,-184000,357000,838000,1078000,471000,1632000,-1988000,-988000,-3218000,-1596000,-4085000,3475000,-565000,2897000,692000,1009000,197000,-186000,-222000,-193000,-376000,-257000,-279000,-104000,100000,-202000,-719000,-710000,-313000,-404000,-1734000,-824000,-1198000,845000,-2766000,468000,-1053000,-869000,-485000,-1769000,4763000,1040000,-1851000,-766000,-749000,-11000,3166000
IncomeGrossProfit_yy,,,,,3.64,-12.52,372.53,83.99,14.06,73.86,25.35,355.98,357.14,-337.23,-191.65,-783.23,-197.79,-105.48,451.72,82.44,281.52,116.94,-70.96,134.87,-106.42,-132.08,-119.13,-290.86,-38.17,-25.68,46.11,126.60,21.40,-157.71,-582.69,-413.00,-100.00,-141.17,-16.06,-282.75,309.16,-59.52,156.80,12.10,-202.84,82.47,-477.99,552.33,219.68,-281.65,56.70,-115.73,-101.06,271.04
IncomeGrossProfit_sy,,,,,6.75,-41.74,-17.20,35.42,25.27,53.69,207.03,109.07,96.40,11.83,-78.69,61.13,-46.63,-91.96,-15.94,31.57,42.19,62.17,112.26,34.25,32.20,9.48,-11.82,15.83,-48.06,-13.80,-18.48,-4.47,7.86,-0.58,5.52,-9.92,40.00,7.99,18.44,12.48,9.55,-4.21,28.72,12.10,-25.90,-29.63,-12.76,14.62,25.37,26.49,23.82,11.53,14.63,15.73
IncomeGrossProfit_qq,,82.45,-66.97,-731.32,127.24,53.99,78.42,-121.40,294.02,134.73,28.64,-56.31,246.50,-221.81,50.30,-225.71,50.40,-155.95,185.07,-116.26,612.74,-76.11,45.81,-80.48,-194.42,-19.35,13.06,-94.82,31.65,-8.56,62.72,196.15,-302.00,-255.94,1.25,55.92,-29.07,-329.21,52.48,-45.39,170.53,-427.34,116.92,-325.00,17.47,44.19,-264.74,369.25,-78.17,-277.98,58.62,2.22,98.53,28881.82
IncomeGrossProfit_sq,,50.56,-57.25,-8.80,-22.24,38.28,13.15,23.60,-8.39,92.72,15.84,-31.78,-27.06,25.93,-18.05,0.51,-67.22,-36.35,-15.53,57.31,-8.21,-3.90,29.92,27.58,-30.46,-2.02,2.52,113.13,-77.66,11.96,-14.36,154.45,-50.60,31.46,-28.97,45.43,-19.04,1.58,8.35,-7.35,-0.37,25.44,-12.31,28.14,-41.00,17.58,-28.01,51.47,-27.52,12.59,-2.63,35.09,-27.63,14.79
IncomeOtherOperatingIncome,107000,16000,117000,783000,179000,216000,250000,159000,2000,250000,62000,84000,2537000,1108000,895000,1508000,272000,2808000,-2888000,52000,0,764000,-512000,133000,52000,-28000,13660000,-12420000,110000,144000,1149000,-973000,90000,157000,51000,450000,53000,99000,-11000,193000,308000,757000,281000,6423000,1105000,2436000,2182000,-2328000,484000,587000,230000,1747000,176000,325000
IncomeOtherOperatingIncome_yy,,,,,67.29,1250.00,113.68,-79.69,-98.88,15.74,-75.20,-47.17,126750.00,343.20,1343.55,1695.24,-89.28,153.43,-422.68,-96.55,-100.00,-72.79,82.27,155.77,,-103.66,2767.97,-9438.35,111.54,614.29,-91.59,92.17,-18.18,9.03,-95.56,146.25,-41.11,-36.94,-121.57,-57.11,481.13,664.65,2654.55,3227.98,258.77,221.80,676.51,-136.24,-56.20,-75.90,-89.46,175.04,-63.64,-44.63
IncomeOtherOperatingIncome_sy,,,,,-30.21,289.60,58.62,-45.68,28.71,0.16,47.66,87.90,-51.79,65.32,125.63,-17.48,62.72,-9.56,43.52,13.16,36.08,195.75,-10.58,122.60,,-68.02,-23.81,-55.31,-19.14,25.90,-6.77,115.55,13.42,7.11,14.16,69.32,-5.24,-15.20,-32.24,-40.46,31.10,-3.00,-23.08,44.85,55.26,26.70,163.33,25.81,-44.38,0.44,-5.28,-65.21,-8.50,8.56
IncomeOtherOperatingIncome_qq,,-85.05,631.25,569.23,-77.14,20.67,15.74,-36.40,-98.74,12400.00,-75.20,35.48,2920.24,-56.33,-19.22,68.49,-81.96,932.35,-202.85,101.80,-100.00,,-167.02,125.98,-60.90,-153.85,48885.71,-190.92,100.89,30.91,697.92,-184.68,109.25,74.44,-67.52,782.35,-88.22,86.79,-111.11,1854.55,59.59,145.78,-62.88,2185.77,-82.80,120.45,-10.43,-206.69,120.79,21.28,-60.82,659.57,-89.93,84.66
IncomeOtherOperatingIncome_sq,,-44.36,-27.56,508.80,-42.72,13.53,-30.46,72.46,52.12,-58.62,-37.38,122.98,-30.77,95.58,-24.62,36.64,9.56,-19.31,24.96,70.18,24.32,,-67.07,57.62,-84.25,-40.25,33.11,11.96,9.68,1.93,5.79,112.48,-12.40,27.00,-3.28,139.99,-75.09,-3.01,5.00,138.10,-24.00,58.62,-52.96,150.36,-20.48,-24.58,-10.43,223.50,-69.75,19.58,-28.57,88.27,18.83,-13.90
IncomeOtherOperatingCosts,50000,60000,97000,647000,146000,133000,300000,262000,54000,243000,57000,505000,2608000,-279000,1586000,2068000,384000,1096000,-1157000,85000,0,5946000,-2288000,392000,8000,69000,37000,718000,90000,13481000,250000,-154000,43000,150000,119000,466000,67000,257000,461000,-333000,130000,643000,273000,5702000,344000,1480000,594000,3579000,322000,206000,235000,3064000,644000,1245000
IncomeOtherOperatingCosts_yy,,,,,192.00,121.67,209.28,-59.51,-63.01,82.71,-81.00,92.75,4729.63,-214.81,2682.46,309.50,-85.28,492.83,-172.95,-95.89,-100.00,442.52,-97.75,361.18,,-98.84,101.62,83.16,1025.00,19437.68,575.68,-121.45,-52.22,-98.89,-52.40,402.60,55.81,71.33,287.39,-171.46,94.03,150.19,-40.78,1812.31,164.62,130.17,117.58,-37.23,-6.40,-86.08,-60.44,-14.39,100.00,504.37
IncomeOtherOperatingCosts_sy,,,,,192.00,37.44,52.78,-23.24,-35.56,83.91,10.56,16.47,32.81,-38.16,75.91,184.04,100.20,158.45,655.60,-7.57,-1.04,48.61,-56.51,104.84,,-37.70,4.53,-50.73,22.32,3.69,28.49,103.27,68.44,-32.28,-48.08,42.78,-1.15,-23.71,201.33,58.66,96.45,8.70,-40.78,-56.04,-44.88,-1.89,17.13,87.84,117.90,-18.89,4.94,-51.32,16.07,139.11
IncomeOtherOperatingCosts_qq,,20.00,61.67,567.01,-77.43,-8.90,125.56,-12.67,-79.39,350.00,-76.54,785.96,416.44,-110.70,668.46,30.39,-81.43,185.42,-205.57,107.35,-100.00,,-138.48,117.13,-97.96,762.50,-46.38,1840.54,-87.47,14878.89,-98.15,-161.60,127.92,248.84,-20.67,291.60,-85.62,283.58,79.38,-172.23,139.04,394.62,-57.54,1988.64,-93.97,330.23,-59.86,502.53,-91.00,-36.02,14.08,1203.83,-78.98,93.32
IncomeOtherOperatingCosts_sq,,52.29,-39.22,1041.67,-73.02,-17.24,13.61,359.56,-66.77,4.40,-39.14,27.23,-46.19,29.25,21.67,976.35,-66.46,39.27,14.92,107.35,-79.85,,-41.48,107.20,-93.32,-12.50,-2.74,207.49,-85.49,100.00,-24.11,340.15,-73.70,36.04,-29.24,609.89,-87.55,32.92,-19.35,124.89,-69.72,-26.64,-10.46,127.46,-63.69,193.74,-39.37,554.66,-65.12,10.12,1.68,815.76,-66.55,62.13
IncomeEBIT,359000,507000,202000,-1013000,346000,565000,810000,-287000,305000,845000,1083000,50000,1561000,-601000,-1679000,-3778000,-1708000,-2373000,1744000,-598000,2897000,-4490000,2785000,-62000,-142000,-319000,13430000,-13514000,-237000,-13616000,795000,-719000,-155000,-712000,-778000,-329000,-418000,-1892000,-1296000,-672000,1023000,-2652000,476000,-332000,-108000,471000,-181000,-1144000,1202000,-1470000,-771000,-2066000,-479000,2246000
IncomeEBIT_yy,,,,,-3.62,11.44,300.99,71.67,-11.85,49.56,33.70,117.42,411.80,-171.12,-255.03,-7656.00,-209.42,-294.84,203.87,84.17,269.61,-89.21,59.69,89.63,-104.90,92.90,382.23,-21696.77,-66.90,-4168.34,-94.08,94.68,34.60,94.77,-197.86,54.24,-169.68,-165.73,-66.58,-104.26,344.74,-40.17,136.73,50.60,-110.56,117.76,-138.03,-244.58,1212.96,-412.10,-325.97,-80.59,-139.85,252.79
IncomeEBIT_sy,,,,,-0.37,-11.04,5.36,44.57,187.23,38.50,227.52,94.53,53.32,-16.12,-66.61,90.52,0.82,-92.27,-27.75,-40.84,25.24,67.85,138.16,86.24,8.47,9.48,-4.58,60.56,-35.67,7.86,-32.18,-36.72,10.94,11.48,8.21,69.69,33.72,-10.14,-5.38,-42.14,-0.32,77.31,54.64,69.23,-1.38,-30.16,-17.83,12.67,8.14,-1.59,2.82,-1.97,45.35,32.54
IncomeEBIT_qq,,41.23,-60.16,-601.49,134.16,63.29,43.36,-135.43,206.27,177.05,28.17,-95.38,3022.00,-138.50,-179.37,-125.01,54.79,-38.93,173.49,-134.29,584.45,-254.99,162.03,-102.23,-129.03,-124.65,4310.03,-200.63,98.25,-5645.15,105.84,-190.44,78.44,-359.35,-9.27,57.71,-27.05,-352.63,31.50,48.15,252.23,-359.24,117.95,-169.75,67.47,536.11,-138.43,-532.04,205.07,-222.30,47.55,-167.96,76.82,568.89
IncomeEBIT_sq,,90.76,-78.80,1.26,-42.44,131.43,-26.20,-96.35,164.26,65.50,22.60,-23.85,-29.47,-1.17,-57.87,-23.08,54.79,-23.58,-6.57,11.85,54.24,5.52,11.64,-0.57,-40.16,-36.90,16.40,135.68,-81.97,4.97,-22.80,16.00,-16.62,18.90,-17.16,57.51,-33.31,-0.66,-7.78,14.04,12.62,36.11,-14.74,33.28,-36.57,10.14,-16.34,54.69,-14.24,13.08,-4.91,21.37,-7.21,55.66
IncomeFinanceIncome,49000,16000,61000,265000,97000,177000,435000,198000,6269000,13947000,-7308000,-3461000,2290000,1151000,914000,2328000,-1244000,1859000,-284000,537000,76000,19114000,2870000,633000,329000,420000,359000,14110000,287000,330000,764000,473000,254000,68000,133000,164000,176000,7714000,4460000,3626000,2927000,34907000,19173000,1695000,2067000,2404000,1512000,2667000,1188000,3038000,4411000,1087000,1786000,1897000
IncomeFinanceIncome_yy,,,,,97.96,1006.25,613.11,-25.28,6362.89,7779.66,-1780.00,-1847.98,-63.47,-91.75,112.51,167.26,-154.32,61.51,-131.07,-76.93,106.11,928.19,1110.56,17.88,332.89,-97.80,-87.49,2129.07,-12.77,-21.43,112.81,-96.65,-11.50,-79.39,-82.59,-65.33,-30.71,11244.12,3253.38,2110.98,1563.07,352.51,329.89,-53.25,-29.38,-93.11,-92.11,57.35,-42.53,26.37,191.73,-59.24,50.34,-37.56
IncomeFinanceIncome_sy,,,,,-9.20,-38.32,270.95,7.01,0.51,443.60,-22.69,-82.49,109.09,-21.21,-6.57,92.72,-10.78,66.94,-81.43,70.62,106.11,228.93,-73.72,-69.53,44.71,-75.11,100.00,91.82,40.25,-21.43,-18.12,-80.67,-27.64,-41.94,-59.29,42.42,-18.16,68.81,126.44,25.74,12.96,0.26,-19.66,-54.28,-19.06,-35.71,-76.29,7.88,-36.75,13.46,22.15,8.81,-33.38,-8.72
IncomeFinanceIncome_qq,,-67.35,281.25,334.43,-63.40,82.47,145.76,-54.48,3066.16,122.48,-152.40,52.64,166.17,-49.74,-20.59,154.70,-153.44,249.44,-115.28,289.08,-85.85,25050.00,-84.98,-77.94,-48.03,27.66,-14.52,3830.36,-97.97,14.98,131.52,-38.09,-46.30,-73.23,95.59,23.31,7.32,4282.95,-42.18,-18.70,-19.28,1092.59,-45.07,-91.16,21.95,16.30,-37.10,76.39,-55.46,155.72,45.19,-75.36,64.31,6.22
IncomeFinanceIncome_sq,,15.13,-29.24,1.88,-71.46,15.05,157.77,-38.07,-88.40,122.48,10.39,0.87,34.78,-57.34,37.42,-2.67,-30.63,96.33,7.96,82.89,-54.39,-2.90,-84.98,6.80,13.31,15.10,36.96,101.16,-39.87,15.18,-49.34,-8.30,-19.83,-12.50,-46.15,28.12,-27.74,57.43,-34.04,13.57,-35.99,31.35,-27.38,-38.89,21.95,-12.65,-24.97,19.46,-5.56,-6.86,-6.67,,-20.04,28.57
