,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,,,36000,0,,952000,573000,2412000,1688000,608000,422000,2061000,3275000,1304000,1045000,138000,778000,675000
IncomeRevenues_yy,,,,,,,1491.67,,,-36.13,-26.35,-14.55,94.02,114.47,147.63,-93.30,-76.24,-48.24
IncomeRevenues_sy,,,,,,,26.72,,,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,,,-100.00,,,-39.81,320.94,-30.02,-63.98,-30.59,388.39,58.90,-60.18,-19.86,-86.79,463.77,-13.24
IncomeRevenues_sq,,,,18.52,,,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-2931000,-2217000,-3698000,-3010000,-2771000,-3062000,-3593000,-4828000,-3336000,-5339000,-4699000,-6359000,-4739000,-6204000,-6361000,-11370000,-6533000,-5166000
IncomeGrossProfit_yy,,,,,5.46,-38.11,2.84,-60.40,-20.39,-74.36,-30.78,-31.71,-42.06,-16.20,-35.37,-78.80,-37.86,16.73
IncomeGrossProfit_sy,,,,,-25.48,-34.62,-3.34,-60.40,19.83,-46.92,-48.21,-26.79,-63.24,-32.60,33.49,29.01,26.79,10.56
IncomeGrossProfit_qq,,24.36,-66.80,18.60,7.94,-10.50,-17.34,-34.37,30.90,-60.04,11.99,-35.33,25.48,-30.91,-2.53,-78.75,42.54,20.92
