,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,7557000,10432000,13949000,11334000,7956000,12485000,13225000,13327000,7442000,14084000,14287000,15685000,8834000,12650000,13012000,12424000,9462000,9295000,10231000,11474000,9312000,12372000,11596000,12846000,8966000,10528000,12687000,13259000,11245000,12755000,13924000,14935000,12449000,17423000,17113000,18512000,16098000,20742000,24713000
IncomeCostOfSales,6553000,,33489000,7121000,,37835000,18208000,,,,,,,,,19300000,,,,,,,,,,,,,,,,,,,,,,,76000
IncomeDistributionExpenses,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4469000,2927000,,,
IncomeAdministrativExpenses,,,,,,2316000,,,,,,,,,,,,,,,,1004000,1969000,4180000,2630000,834000,2514000,1908000,-643000,-1448000,1825000,1353000,2159000,-384000,2284000,1190000,1150000,771000,92000
IncomeGrossProfit,765000,1391000,-16000,84000,-215000,-135000,-575000,-1029000,-52000,623000,1056000,914000,1216000,1795000,944000,3154000,3458000,3142000,1793000,4637000,7694000,144000,,612000,607000,,1496000,67000,55000,107000,-134000,71000,153000,936000,128000,25000,92000,2214000,223000
IncomeOtherOperatingIncome,177000,132000,223000,509000,960000,302000,455000,2180000,425000,519000,116000,409000,52000,58000,209000,45000,140000,186000,699000,28000,,251000,493000,,1070000,195000,-30000,461000,623000,196000,259000,-363000,489000,100000,182000,987000,133000,81000,265000
IncomeOtherOperatingCosts,55000,1894000,524000,204000,461000,984000,150000,183000,79000,135000,75000,317000,42000,226000,157000,-45000,247000,1120000,,10144000,948000,,5039000,-1576000,1910000,999000,1402000,-509000,2178000,2489000,789000,696000,2000,1992000,1481000,79000,-48000,-46000,-1521000
IncomeEBIT,-139000,-931000,-58000,1820000,1331000,1250000,1253000,2069000,922000,2895000,3626000,2960000,1776000,4868000,8146000,17000,,24000,1000,,445000,76000,102000,98000,738000,128000,55000,22000,14000,11000,16000,7000,24000,41000,7000,45000,4000,-12000,25000
IncomeFinanceIncome,1000,16000,1000,31000,-15000,12000,0,1000,85000,1000,7000,93000,-25000,230000,,886000,209000,,796000,136000,141000,125000,333000,710000,452000,74000,48000,64000,40000,33000,156000,671000,937000,1258000,939000,941000,958000,943000,950000
IncomeFinanceCosts,1012000,916000,764000,539000,508000,526000,445000,484000,391000,340000,327000,,,,-83000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,907000,1855000,4049000,2388000,740000,2157000,2028000,-237000,-1636000,1871000,972000,1807000,-1091000,1781000,2437000,755000,643000,-22000,1967000,1349000,-551000,-978000,-1260000,-2456000,-1092000,-1865000,-1000000,885000,320000,365000
IncomeNetGrossProfit,473000,1541000,414000,2369000,3266000,2477000,1392000,4621000,7795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
