,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7181000,10417000,5656000,8716000,12095000,17353000,7159000,13255000,21025000,27861000,12358000,29621000,24761000,29840000,12980000,22896000,21564000,36241000,19611000,25842000,23997000,23774000,17489000,29342000,62568000,39243000,33167000,45310000,45596000,82248000,41116000,49765000,76737000,57441000,42844000,42164000,38781000,43775000,32685000,22347000,39095000,31970000,36040000,22627000
IncomeRevenues_yy,,,,,68.43,66.58,26.57,52.08,73.83,60.55,72.62,123.47,17.77,7.10,5.03,-22.70,-12.91,21.45,51.09,12.87,11.28,-34.40,-10.82,13.54,160.73,65.07,89.64,54.42,-27.13,109.59,23.97,9.83,68.30,-30.16,4.20,-15.27,-49.46,-23.79,-23.71,-47.00,0.81,-26.97,10.26,1.25
IncomeRevenues_sy,,,,,17.92,3.05,-8.82,0.16,-3.18,-9.53,-2.84,-3.50,17.77,15.21,21.65,10.32,11.86,13.64,7.99,4.76,-7.34,-5.72,-9.79,-4.06,-3.12,0.29,7.52,-5.84,-3.02,-1.30,1.99,4.55,2.46,-4.82,2.73,3.65,0.15,10.97,10.84,8.17,8.92,6.62,7.89,7.27
IncomeRevenues_qq,,45.06,-45.70,54.10,38.77,43.47,-58.74,85.15,58.62,32.51,-55.64,139.69,-16.41,20.51,-56.50,76.39,-5.82,68.06,-45.89,31.77,-7.14,-0.93,-26.44,67.77,113.24,-37.28,-15.48,36.61,0.63,80.38,-50.01,21.04,54.20,-25.15,-25.41,-1.59,-8.02,12.88,-25.33,-31.63,74.95,-18.22,12.73,-37.22
IncomeRevenues_sq,,5.08,-6.36,29.60,9.48,-9.11,-20.79,32.42,16.96,-16.15,-18.31,31.46,15.03,-19.95,-12.09,45.80,9.19,-15.94,-13.88,16.16,3.14,-16.12,-9.82,32.26,5.54,-20.16,0.16,20.59,2.31,-20.64,-4.62,19.87,6.17,-23.60,2.58,17.34,4.68,-14.71,2.76,6.55,9.34,-17.77,13.99,5.02
IncomeCostOfSales,5111000,8490000,3490000,6618000,10488000,13945000,4915000,10107000,18591000,22306000,9930000,24554000,21014000,,,26999000,,,,,,78971000,14071000,24776000,54934000,33008000,26838000,39431000,39458000,72166000,34155000,42453000,67941000,53074000,37017000,37551000,34207000,40276000,27115000,18028000,34415000,26262000,32421000,14445000
IncomeCostOfSales_yy,,,,,105.20,64.25,40.83,52.72,77.26,59.96,102.03,142.94,13.03,-100.00,-100.00,9.96,-100.00,,,-100.00,,,,,,-58.20,90.73,59.15,-28.17,118.63,27.26,7.66,72.19,-26.46,8.38,-11.55,-49.65,-24.11,-26.75,-51.99,0.61,-34.79,19.57,-19.87
IncomeCostOfSales_sy,,,,,21.73,15.26,-6.00,1.90,-0.13,5.64,4.50,-1.98,11.69,11.04,21.96,11.62,10.10,,,3.44,,,,,,-6.80,6.98,-8.21,-4.03,-2.88,-1.80,1.26,8.21,-15.19,4.17,7.24,-2.33,12.69,5.78,12.77,10.00,8.10,10.81,4.79
IncomeCostOfSales_qq,,66.11,-58.89,89.63,58.48,32.96,-64.75,105.64,83.94,19.98,-55.48,147.27,-14.42,-100.00,,,-100.00,,,,,,-82.18,76.08,121.72,-39.91,-18.69,46.92,0.07,82.89,-52.67,24.30,60.04,-21.88,-30.25,1.44,-8.91,17.74,-32.68,-33.51,90.90,-23.69,23.45,-55.45
IncomeCostOfSales_sq,,6.74,-6.96,30.30,12.80,-2.64,-23.36,39.04,15.38,-11.52,-27.15,41.16,14.88,-14.62,,,9.80,,,,,,-8.06,30.41,4.15,-18.51,-0.86,24.12,4.73,-14.53,-15.33,24.30,7.45,-21.42,0.26,29.01,0.31,-8.46,-2.88,7.07,7.95,-13.40,10.76,7.66
