,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10134000,78792000,91138000,98841000,96069000,83633000,96625000,82654000,93534000,89769000,75019000,91238000,88797000,68381000,77503000,110676000,102354000,82600000,102123000,122544000,133902000,75125000,121053000,155167000,133312000,104707000,133923000,159696000,125920000,94838000,113021000,114695000,135616000,58517000,53455000,89865000,73637000,57032000,57017000,76282000,64883000,54194000,61364000,77210000,74354000,51231000,67997000,75787000
IncomeCostOfSales,5880000,45656000,53612000,53090000,57441000,44754000,53324000,47656000,55675000,58005000,43793000,48334000,52977000,37742000,45833000,65976000,62034000,50660000,59809000,56406000,58466000,65762000,70577000,98449000,91931000,77148000,91372000,102563000,76180000,62967000,73786000,74089000,92320000,28306000,29510000,49091000,38029000,29166000,24232000,34050000,30076000,26486000,32741000,37210000,35692000,23311000,28824000,31896000
IncomeDistributionExpenses,1940000,8716000,9914000,12005000,12160000,16853000,15531000,10170000,14867000,20695000,13836000,13333000,10907000,12501000,9207000,9809000,9920000,10883000,11394000,11035000,10680000,12221000,13088000,16201000,12267000,18822000,17729000,17927000,15765000,21051000,16460000,15175000,21646000,12292000,9499000,10318000,9800000,9661000,8601000,9802000,10435000,12135000,12128000,13884000,12820000,12292000,12365000,13041000
IncomeAdministrativExpenses,960000,7521000,10788000,8168000,11525000,10359000,12249000,8114000,10872000,14437000,12999000,10504000,10459000,10459000,8775000,8221000,7954000,7509000,6772000,5234000,8192000,6881000,7362000,9592000,7150000,8765000,6926000,7559000,6649000,8813000,6774000,7664000,9128000,7463000,6988000,6526000,6544000,5770000,4785000,5063000,5243000,6039000,5380000,5427000,5089000,4993000,4482000,4615000
IncomeGrossProfit,1354000,16899000,16825000,25577000,14944000,11667000,15521000,16714000,12120000,-3367000,4391000,19067000,14454000,7678000,13688000,26670000,22447000,13548000,24148000,49868000,56565000,-9739000,30026000,30924000,21964000,-29000,17896000,31646000,27326000,2007000,16001000,17767000,12522000,10455000,7458000,23929000,19264000,12435000,19400000,27367000,19128000,9534000,11115000,20689000,20753000,10636000,22326000,26235000
IncomeOtherOperatingIncome,16000,3061000,743000,18407000,967000,5104000,966000,1208000,862000,3889000,3455000,1654000,608000,-1582000,641000,854000,323000,2741000,1256000,359000,287000,2147000,1465000,882000,-259000,4333000,1287000,545000,261000,-4000,1339000,291000,860000,-605000,503000,516000,331000,145000,354000,381000,349000,429000,181000,473000,323000,388000,248000,292000
IncomeOtherOperatingCosts,56000,2827000,1958000,5306000,4620000,5104000,3970000,3358000,3988000,30688000,8185000,11608000,6317000,6816000,3341000,2297000,518000,3826000,2860000,1798000,2854000,1784000,3009000,277000,1954000,2351000,1625000,3329000,3221000,1199000,1289000,1381000,1679000,2528000,1030000,1342000,1195000,1581000,1076000,1354000,996000,1482000,1139000,1234000,1077000,1910000,804000,1025000
IncomeEBIT,1315000,17133000,15610000,38679000,11291000,11667000,12517000,14564000,8995000,-30166000,-338000,9114000,8745000,-719000,10988000,25227000,22251000,12463000,22543000,48429000,53997000,-9377000,28482000,31529000,19750000,1954000,17558000,28863000,24366000,805000,16051000,16677000,11704000,7323000,6931000,23103000,18400000,10999000,18679000,26394000,18481000,8481000,10157000,19928000,19999000,9113000,21771000,25502000
IncomeFinanceIncome,-235000,1019000,929000,-520000,1114000,2708000,-32000,1140000,-2154000,3567000,19000,5274000,-448000,2075000,5747000,-1198000,395000,1881000,7615000,-5569000,1059000,78027000,2393000,-601000,-21000,777000,1040000,723000,1324000,1203000,872000,171000,706000,1172000,699000,373000,314000,-166000,277000,159000,185000,119000,321000,178000,250000,163000,135000,87000
IncomeFinanceCosts,-139000,180000,228000,-358000,-540000,1472000,148000,-3000,164000,17407000,1335000,447000,359000,238000,162000,91000,32000,12000,16000,-56976000,7098000,1986000,-3785000,-86000,17000,2559000,-1147000,-199000,1160000,1506000,-585000,-5128000,364000,3951000,-8214000,-3575000,6484000,4315000,112000,11387000,5055000,-8762000,-1107000,-371000,168000,877000,,11000
IncomeOtherIncome,,,226000,,,467000,-121000,34000,-4000,-297000,-4000,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219000,17984000,16310000,38517000,12945000,13128000,12337000,15708000,6677000
IncomeNetGrossProfit,-43539000,-1655000,13820000,7972000,1113000,16275000,23934000,22889000,14368000,30141000,99836000,47959000,12650000,30875000,28943000,23514000,2817000,18581000,27027000,26837000,2206000,15763000,15341000,12994000,13622000,7266000,19525000,26928000,14408000,12472000,22238000,18555000,-2787000,5422000,28867000,21356000,9647000,21737000,24713000,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219000,17984000,16310000,38517000,12945000,13128000,12337000,15708000,6677000
IncomeBeforeTaxProfit,-43539000,-1655000,13820000,7972000,1113000,16275000,23934000,22889000,14368000,30141000,99836000,47959000,12650000,30875000,28943000,23514000,2817000,18581000,27027000,26837000,2206000,15763000,15341000,12994000,13622000,7266000,19525000,26928000,14408000,12472000,22238000,18555000,-2787000,5422000,28867000,21356000,9647000,21737000,24713000,,,,,,,,-1979000,586000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219000,13310000,10417000,32823000,6935000,8421000,6001000,7617000,3347000,-47407000,-10376000,-1238000
IncomeNetProfit,3657000,2900000,12011000,19336000,17312000,11675000,25239000,75745000,36856000,-35409000,25519000,20633000,14732000,6288000,16016000,19486000,14386000,498000,9139000,14322000,15040000,5750000,-1427000,14265000,22376000,9755000,9023000,17786000,14005000,-6570000,460000,23639000,17340000,6953000,17095000,18999000,1219000,9103000,8277000,27155000,3989000,5516000,3163000,3881000,1837000,-42542000,-11706000,-3670000
IncomeShareholderNetProfit,2183000,1339000,9547000,15335000,13747000,10380000,20417000,62327000,30503000,-27106000,22194000,18443000,11617000,6811000,14734000,17702000,13041000,983000,7884000,13044000,14222000,2839000,-2130000,13745000,21837000,7590000,9215000,16936000,13501000,-3734000,211000,22755000,16698000,6694000,15550000,17281000,,,,,,,,,,,,
BalanceNoncurrentAssets,,47266000,53937000,59014000,70379000,70742000,70203000,98773000,86400000,,61212000,56651000,,59844000,58281000,,73337000,71975000,,81723000,91381000,99680000,92830000,89368000,89128000,88819000,90508000,86670000,72461000,67450000,56471000,54398000,47605000,50336000,50101000,59582000,57626000,51707000,49550000,46597000,45233000,47973000,,4053000,4090000,4044000,6405000,6075000
BalanceIntangibleAssets,5702000,4289000,3446000,,2342000,2120000,,2115000,2082000,,751000,1078000,,1811000,2114000,2606000,3010000,2982000,3066000,3150000,3144000,2928000,2552000,2269000,1950000,1888000,1468000,1421000,1319000,1287000,1135000,896000,918000,905000,930000,1069000,,42185000,48249000,51482000,61696000,61571000,62147000,84445000,73966000,,49450000,45462000
BalanceProperty,,50474000,47264000,,69048000,67485000,,76282000,85403000,93286000,86274000,81903000,80485000,80106000,82053000,77352000,65678000,61347000,51029000,48939000,42436000,44131000,43987000,52009000,49051000,44061000,41992000,39311000,37797000,39725000,,575000,1142000,1228000,136000,1079000,174000,6947000,287000,,2605000,2460000,,127000,136000,,62000,25000
BalanceNoncurrentReceivables,,4000,4000,4000,,1027000,,,,,,93000,983000,1057000,1086000,1064000,1098000,1130000,,452000,457000,2259000,2142000,2017000,2180000,3092000,8702000,,2058000,1657000,,1885000,1837000,,2434000,2435000,,2682000,2778000,2857000,2690000,2575000,2578000,2659000,2773000,2596000,2278000,2231000
BalanceNoncurrInvestments,1907000,1590000,1413000,1505000,1505000,1717000,1696000,1564000,1599000,1564000,1570000,1692000,,,,,,,,,,0,0,,,4757000,4951000,,5243000,6961000,,1042000,953000,,944000,1082000,926000,856000,1908000,2999000,2904000,2539000,2766000,1955000,1602000,1585000,1982000,2288000
BalanceOtherNoncurrentAssets,3279000,3290000,4477000,4760000,4129000,3956000,3754000,3838000,4357000,,151593000,157237000,164125000,179061000,180874000,179829000,223495000,233095000,,160101000,167538000,,197912000,217301000,,229148000,243990000,,228314000,268799000,275601000,248458000,228428000,238657000,252388000,239832000,200349000,171942000,177734000,160304000,174168000,183195000,211725000,187744000,188803000,189342000,187479000,169960000
BalanceCurrentAssets,173960000,156838000,174861000,,56380000,56661000,67766000,77271000,80519000,79119000,115843000,118162000,,69917000,67631000,,62541000,69406000,,95173000,101672000,,100562000,110120000,104238000,87918000,103153000,110723000,115028000,99761000,112789000,98537000,72072000,59718000,65925000,64739000,62364000,58988000,71611000,76003000,66415000,61853000,74075000,77281000,81606000,,46128000,71992000
BalanceInventory,57564000,43095000,69606000,64320000,61276000,68855000,,49767000,56631000,,48898000,59637000,,53510000,81051000,,61278000,81865000,81151000,54626000,45793000,58540000,63350000,44978000,30838000,23324000,24441000,15568000,17583000,20386000,23030000,16226000,18523000,15774000,15685000,12919000,11337000,15761000,16557000,,,,,,,,,
BalanceCurrentReceivables,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49085000,28584000,38795000,46863000,30749000,36390000,21901000,33031000
BalanceCurrentInvestments,,40416000,40565000,,85333000,86464000,,79357000,58899000,,66474000,74362000,88350000,104176000,79481000,66403000,72903000,93423000,56723000,50082000,81220000,85018000,90659000,98071000,126330000,112530000,98668000,97566000,105379000,95188000,88548000,63797000,76699000,,,,,,11831000,,,24475000,13046000,,2711000,,1141000,1793000
BalanceCash,,1109000,2368000,,2452000,1862000,1737000,2991000,1107000,1670000,,,,,,,,,,,,,,,,,,,,,,,,,1976000,,,,,,,,,,,,,
