,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,69740000,55823000,87531000,131490000,132666000,119485000,167264000,116633000,101190000,75195000,88704000,70356000,158456000,125519000,160652000,185653000,186037000,139906000,228261000,271254000,299983000,141623000,225470000,250469000,220259000,195461000,240246000,256086000,228755000,201343000,260565000,286937000,330859000,248675000,326112000,308711000,359362000,221440000,280111000,316746000,430942000,265072000,408132000,397815000,558265000,371574000,442744000
IncomeRevenues_yy,,,,,90.23,114.04,91.09,-11.30,-23.73,-37.07,-46.97,-39.68,56.59,66.92,81.11,163.88,17.41,11.46,42.08,46.11,61.25,1.23,-1.22,-7.66,-26.58,38.02,6.55,2.24,3.86,3.01,8.46,12.05,44.63,23.51,25.16,7.59,8.61,-10.95,-14.11,2.60,19.92,19.70,45.70,25.59,29.55,40.18,8.48
IncomeRevenues_sy,,,,,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,-19.96,56.80,50.22,0.89,-9.94,39.99,-30.27,-13.24,-25.69,17.97,-20.68,125.22,-20.79,27.99,15.56,0.21,-24.80,63.15,18.84,10.59,-52.79,59.20,11.09,-12.06,-11.26,22.91,6.59,-10.67,-11.98,29.41,10.12,15.31,-24.84,31.14,-5.34,16.41,-38.38,26.50,13.08,36.05,-38.49,53.97,-2.53,40.33,-33.44,19.15
IncomeRevenues_sq,,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,65430000,52416000,83978000,120806000,120756000,108464000,152307000,102535000,85021000,66903000,78584000,63122000,141085000,114437000,149817000,170797000,169265000,131127000,216391000,255968000,273762000,129718000,214129000,235091000,209444000,185711000,224038000,239610000,212879000,188945000,244003000,273153000,306889000,236034000,312335000,296004000,331249000,207085000,261995000,295205000,400983000,247296000,388075000,387500000,503015000,335881000,422875000
IncomeCostOfSales_yy,,,,,84.56,106.93,81.37,-15.12,-29.59,-38.32,-48.40,-38.44,65.94,71.05,90.65,170.58,19.97,14.58,44.44,49.87,61.74,-1.07,-1.05,-8.16,-23.49,43.17,4.63,1.92,1.64,1.74,8.91,14.00,44.16,24.92,28.00,8.37,7.94,-12.26,-16.12,-0.27,21.05,19.42,48.12,31.26,25.45,35.82,8.97
IncomeCostOfSales_sy,,,,,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,-19.89,60.21,43.85,-0.04,-10.18,40.42,-32.68,-17.08,-21.31,17.46,-19.68,123.51,-18.89,30.92,14.00,-0.90,-22.53,65.02,18.29,6.95,-52.62,65.07,9.79,-10.91,-11.33,20.64,6.95,-11.16,-11.24,29.14,11.95,12.35,-23.09,32.33,-5.23,11.91,-37.48,26.52,12.68,35.83,-38.33,56.93,-0.15,29.81,-33.23,25.90
IncomeCostOfSales_sq,,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
