,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,42235000,48125000,57993000,82914000,44836000,81791000,62994000,59520000,59058000,45997000,37392000,47765000,67367000,72359000,73547000,89452000,96888000,89565000,89074000,100802000,104193000,94398000,102326000,97483000,117878000,101079000,103766000,100036000,115934000,100734000,110298000,121993000,125538000,121081000,125063000,137661000,124731000,114870000,126265000,125081000,171126000,162726000,162044000,173247000,179044000,163028000,175075000
IncomeRevenues_yy,,,,,6.16,69.96,8.62,-28.21,31.72,-43.76,-40.64,-19.75,14.07,57.31,96.69,87.28,43.82,23.78,21.11,12.69,7.54,5.40,14.88,-3.29,13.13,7.08,1.41,2.62,-1.65,-0.34,6.29,21.95,8.28,20.20,13.39,12.84,-0.64,-5.13,0.96,-9.14,37.20,41.66,28.34,38.51,4.63,0.19,8.04
IncomeRevenues_sy,,,,,12.68,9.37,9.93,0.66,3.49,-19.80,-14.82,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35
IncomeRevenues_qq,,13.95,20.50,42.97,-45.92,82.42,-22.98,-5.51,-0.78,-22.12,-18.71,27.74,41.04,7.41,1.64,21.63,8.31,-7.56,-0.55,13.17,3.36,-9.40,8.40,-4.73,20.92,-14.25,2.66,-3.59,15.89,-13.11,9.49,10.60,2.91,-3.55,3.29,10.07,-9.39,-7.91,9.92,-0.94,36.81,-4.91,-0.42,6.91,3.35,-8.95,7.39
IncomeRevenues_sq,,13.35,3.62,2.81,-6.58,8.02,4.32,-0.18,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52
IncomeCostOfSales,36244000,32717000,37742000,50700000,58845000,58640000,56402000,53216000,45835000,41960000,35474000,38798000,51493000,59388000,56974000,68960000,77166000,78674000,74195000,76716000,88523000,78928000,92236000,92633000,107817000,99693000,95333000,92907000,120783000,92576000,106472000,115241000,121709000,114475000,121633000,124583000,114759000,105208000,116461000,116186000,154748000,155050000,145840000,157420000,163131000,148978000,157356000
IncomeCostOfSales_yy,,,,,62.36,79.23,49.44,4.96,-22.11,-28.44,-37.11,-27.09,12.34,41.53,60.61,77.74,49.86,32.47,30.23,11.25,14.72,0.32,24.32,20.75,21.80,26.31,3.36,0.30,12.03,-7.14,11.68,24.04,0.77,23.66,14.24,8.11,-5.71,-8.10,-4.25,-6.74,34.85,47.37,25.23,35.49,5.42,-3.92,7.90
IncomeCostOfSales_sy,,,,,13.24,12.79,15.89,4.96,0.20,-17.44,-17.84,-20.42,-4.28,-1.58,13.06,28.41,27.44,34.70,26.88,26.06,14.72,14.73,9.38,0.67,-1.58,-10.53,-1.52,0.30,2.70,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94
IncomeCostOfSales_qq,,-9.73,15.36,34.33,16.07,-0.35,-3.82,-5.65,-13.87,-8.45,-15.46,9.37,32.72,15.33,-4.06,21.04,11.90,1.95,-5.69,3.40,15.39,-10.84,16.86,0.43,16.39,-7.53,-4.37,-2.54,30.00,-23.35,15.01,8.24,5.61,-5.94,6.25,2.43,-7.89,-8.32,10.70,-0.24,33.19,0.20,-5.94,7.94,3.63,-8.68,5.62
IncomeCostOfSales_sq,,8.44,2.72,4.77,3.69,-0.34,6.49,1.51,-19.82,-8.75,0.64,3.58,1.75,9.64,6.32,8.59,3.55,10.69,2.71,3.12,6.31,9.92,-0.93,1.40,-2.52,2.43,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26
