,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4751000,3464000,3190000,3074000,0,0,0,0,3682000,8344000,5577000,9814000,5325000,13491000,2579000,8971000,6979000,25697000,19380000,69306000,25338000,19215000,15894000,48807000,9263000,14403000,9430000,82202000,17969000,17878000,11994000,46165000,14527000,14407000,8769000,41212000,22958000,7504000,11912000,30572000,10956000,18412000,35537000,28230000,13277000,9186000,9341000,41452000,21462000,14835000,10886000,21747000,14865000,13946000
IncomeCostOfSales,3767000,3303000,2713000,2453000,0,0,0,0,2408000,5167000,3811000,6892000,3519000,8960000,1181000,5850000,5180000,16623000,15324000,55390000,20078000,13963000,12585000,32732000,7751000,10432000,7981000,59900000,14054000,10719000,9044000,41105000,11506000,12436000,6514000,35299000,18768000,8391000,10171000,23003000,8942000,16058000,28383000,23727000,10994000,7702000,7569000,29048000,15343000,11135000,8297000,18002000,12059000,11030000
IncomeDistributionExpenses,257000,236000,241000,220000,0,0,0,0,948000,1783000,1610000,2075000,1700000,2113000,1754000,2255000,1908000,2702000,2162000,3045000,2226000,2714000,2627000,3250000,2242000,2532000,2362000,2763000,2540000,3138000,1969000,1949000,1273000,1403000,1020000,1452000,769000,419000,2493000,810000,729000,883000,760000,937000,497000,653000,673000,890000,739000,612000,660000,762000,752000,366000
IncomeAdministrativExpenses,517000,443000,497000,458000,0,0,0,0,414000,641000,474000,480000,479000,545000,516000,729000,863000,1390000,1019000,1376000,1314000,1386000,1366000,1128000,1629000,1654000,2002000,2102000,1972000,1668000,1777000,2217000,1474000,1984000,1937000,1536000,1867000,1381000,2030000,3212000,1704000,1534000,1462000,1445000,1492000,1283000,1225000,1365000,1320000,1400000,1178000,1103000,1080000,1097000
IncomeGrossProfit,210000,-518000,-261000,-57000,0,0,0,0,-88000,753000,-318000,367000,-373000,1873000,-872000,137000,-972000,4982000,875000,9495000,1720000,1152000,-684000,11697000,-2359000,-215000,-2915000,17437000,-597000,2353000,-796000,894000,274000,-1416000,-702000,2925000,1554000,-2687000,-2782000,3547000,-419000,-63000,4932000,2121000,294000,-452000,-126000,10149000,4060000,1688000,751000,1880000,974000,1453000
IncomeOtherOperatingIncome,44000,60000,102000,402000,0,0,0,0,47000,15000,22000,38000,198000,-94000,150000,115000,178000,212000,198000,214000,44000,429000,670000,10355000,638000,1631000,248000,12003000,474000,1074000,779000,8873000,812000,1830000,994000,1230000,1439000,238000,1081000,4559000,761000,1026000,678000,3310000,822000,506000,2761000,190000,772000,414000,93000,1885000,1193000,329000
IncomeOtherOperatingCosts,79000,104000,71000,781000,0,0,0,0,12000,141000,59000,40000,117000,1000,132000,39000,110000,131000,169000,427000,168000,558000,719000,779000,281000,364000,464000,4590000,459000,1908000,418000,11896000,535000,4203000,-449000,9650000,4848000,6728000,4931000,10035000,288000,1006000,517000,969000,414000,377000,656000,631000,-549000,303000,477000,3505000,261000,222000
IncomeEBIT,175000,-562000,-230000,-436000,0,0,0,0,-53000,627000,-355000,365000,-292000,1778000,-854000,213000,-904000,5063000,904000,9282000,1596000,1023000,-733000,21273000,-2002000,1052000,-3131000,24850000,-582000,1519000,-435000,-2129000,551000,-3789000,741000,-5495000,-1855000,-9177000,-6632000,-1929000,54000,-43000,5093000,4462000,702000,-323000,1979000,9708000,5381000,1799000,367000,260000,1906000,1560000
IncomeFinanceIncome,12000,12000,-8000,-10000,0,0,0,0,47000,3000,7000,-1000,353000,341000,333000,110000,1502000,166000,264000,-617000,109000,148000,3259000,-3083000,50000,5000,41000,2297000,17000,46000,18000,,,,,,,,,,,,,,,,,,,,83000,111000,42000,178000
IncomeFinanceCosts,0,0,0,0,43000,133000,109000,145000,86000,103000,98000,124000,1320000,206000,136000,-657000,136000,191000,170000,396000,484000,643000,599000,1452000,979000,1899000,2669000,15770000,1396000,3490000,1565000,4816000,2045000,5276000,2009000,1621000,2111000,2218000,2423000,1690000,1527000,4032000,743000,2161000,1717000,1735000,1590000,1626000,1623000,2052000,,,,-1000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000,-661000,-280000,-625000,0,0
IncomeNetGrossProfit,0,0,-49000,497000,-457000,219000,-25000,2016000,-619000,199000,-722000,5023000,1032000,9322000,1569000,980000,2356000,17794000,-2436000,414000,-3689000,25695000,-1544000,-334000,-3086000,-17980000,-845000,-7279000,-824000,-10311000,-3900000,-14453000,-8641000,-3550000,-2057000,-2261000,2670000,2772000,-825000,-4355000,1236000,7547000,3664000,64000,-1223000,-1366000,283000,-492000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000,-661000,-280000,-625000,0,0
IncomeBeforeTaxProfit,0,0,-49000,497000,-457000,219000,-25000,2016000,-619000,199000,-722000,5023000,1032000,9322000,1569000,980000,2356000,17794000,-2436000,414000,-3689000,25695000,-1544000,-334000,-3086000,-17980000,-845000,-7279000,-824000,-10311000,-3900000,-14453000,-8641000,-3550000,-2057000,-2261000,2670000,2772000,-825000,-4355000,1236000,7547000,3664000,64000,-1223000,-1366000,283000,-492000,,,,,-402000,-282000
IncomeDiscontinuedProfit,-187000,-223000,-112000,10000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-144000,230000,39000,-14000,-59000,0,0,104000,-661000,-280000,-786000,-402000,-282000,-187000,-223000,-194000,295000
IncomeNetProfit,-374000,304000,-21000,1692000,-388000,153000,-730000,4195000,769000,7499000,927000,881000,1624000,16609000,-2391000,184000,-3690000,23909000,-1739000,-114000,-3058000,-18477000,-1010000,-6749000,-1107000,-10374000,-4378000,-14392000,-8786000,-3389000,-2215000,-2337000,2536000,2092000,-1193000,-4486000,1118000,7411000,3450000,-47000,-1308000,-971000,263000,-479000,104000,-661000,-280000,-786000,-402000,-282000,-187000,-223000,-193000,299000
IncomeShareholderNetProfit,-365000,254000,-20000,1602000,-290000,158000,-730000,4195000,769000,7499000,927000,881000,1624000,16603000,-2409000,136000,-3685000,23970000,-1739000,-114000,-3058000,-18477000,-1010000,-6749000,-1107000,-10374000,-4378000,-14359000,-8752000,-3383000,-2201000,-2325000,2548000,2101000,-1187000,-4480000,965000,7409000,3452000,-44000,-1308000,-971000,263000,-479000,,,,,,,,,,
BalanceNoncurrentAssets,6978000,6840000,6729000,6204000,332000,332000,2867000,14153000,13959000,14284000,14269000,14387000,14124000,28874000,28810000,34732000,34941000,35931000,80938000,80852000,88755000,91884000,97703000,170155000,175619000,148419000,168107000,168774000,172532000,128256000,124114000,116328000,112024000,105553000,101948000,101896000,103003000,98544000,103582000,102486000,103047000,98088000,97836000,97869000,89884000,87940000,87844000,88056000,,,,,0,0
BalanceIntangibleAssets,,0,10520000,10521000,10517000,10516000,10514000,10511000,24405000,24359000,24762000,24347000,24368000,21705000,21733000,21760000,10612000,10611000,24401000,24378000,70000,10573000,10671000,10799000,947000,1911000,2689000,3717000,5103000,6120000,6697000,8038000,3196000,8740000,8517000,8302000,2815000,2803000,2790000,2761000,2748000,2736000,2724000,6590000,6452000,6341000,5872000,0,0,61000,2965000,2917000,3338000,3311000
BalanceProperty,3424000,3306000,4169000,4130000,9344000,9779000,10871000,57232000,57514000,65666000,76783000,85638000,143281000,141177000,145085000,153771000,154241000,151023000,117302000,116847000,112115000,107306000,99317000,94718000,94209000,93916000,94185000,93666000,93076000,93543000,93843000,93435000,93356000,85082000,83104000,82836000,82825000,,,,,0,0,,294000,611000,465000,322000,322000,329000,69000,69000,69000,47000
BalanceNoncurrentReceivables,47000,,0,0,,463000,0,601000,1141000,1057000,774000,612000,5590000,4803000,,,,,,,40000,40000,43000,44000,,,,,,,,2180000,,,,,,0,0,0,,364000,427000,371000,1200000,800000,560000,2767000,510000,510000,511000,510000,510000,510000
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,388000,388000,388000,332000,332000,332000,332000,57000,56000,107000,120000,120000,238000,231000,252000,215000,341000,321000,801000,805000,769000,1259000,944000,1362000,8412000,3264000,2196000,2578000,9588000,4417000,553000,1524000,1001000,1133000,1110000,990000,1049000,1163000,1176000
