,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
IncomeRevenues,7057000,10147000,10115000,6735000,2374000,2346000,3218000,7395000,10763000,13569000,15405000,18063000,31389000,36694000,30589000,22577000,11061000,14277000,22019000,21818000,11698000,25109000,44389000,48870000,34103000,44346000,42923000,38626000,25979000,37984000,20446000,13987000,9319000,5478000,1006000,956000,804000,849000,533000,-2160000,,,
IncomeRevenues_yy,,,,,-66.36,-76.88,-68.19,9.80,353.37,478.39,378.71,144.26,191.64,170.43,98.57,24.99,-64.76,-61.09,-28.02,-3.36,5.76,75.87,101.59,123.99,191.53,76.61,-3.30,-20.96,-23.82,-14.35,-52.37,-63.79,-64.13,-85.58,-95.08,-93.17,-91.37,-84.50,-47.02,-325.91,-100.00,-100.00,-100.00
IncomeRevenues_sy,,,,,-12.56,12.49,26.27,39.29,99.18,59.27,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86
IncomeRevenues_qq,,43.79,-0.32,-33.42,-64.75,-1.18,37.17,129.80,45.54,26.07,13.53,17.25,73.78,16.90,-16.64,-26.19,-51.01,29.08,54.23,-0.91,-46.38,114.64,76.79,10.09,-30.22,30.04,-3.21,-10.01,-32.74,46.21,-46.17,-31.59,-33.37,-41.22,-81.64,-4.97,-15.90,5.60,-37.22,-505.19,100.00,,
IncomeRevenues_sq,,29.37,5.73,9.88,-38.46,43.69,26.67,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,,
IncomeCostOfSales,7198000,9507000,10308000,6918000,2559000,2859000,3380000,7809000,10126000,12788000,13927000,16884000,28641000,32632000,27587000,21051000,9711000,13050000,20564000,19885000,10306000,22445000,41848000,46280000,30951000,40796000,39594000,39375000,24432000,36756000,19852000,17824000,9118000,4471000,214000,-1117000,428000,479000,293000,-1155000,,,
IncomeCostOfSales_yy,,,,,-64.45,-69.93,-67.21,12.88,295.70,347.29,312.04,116.21,182.85,155.18,98.08,24.68,-66.09,-60.01,-25.46,-5.54,6.13,71.99,103.50,132.74,200.32,81.76,-5.39,-14.92,-21.06,-9.90,-49.86,-54.73,-62.68,-87.84,-98.92,-106.27,-95.31,-89.29,36.92,-3.44,-100.00,-100.00,-100.00
IncomeCostOfSales_sy,,,,,-11.02,14.98,26.77,38.28,94.54,63.64,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86
IncomeCostOfSales_qq,,32.08,8.43,-32.89,-63.01,11.72,18.22,131.04,29.67,26.29,8.91,21.23,69.63,13.93,-15.46,-23.69,-53.87,34.38,57.58,-3.30,-48.17,117.79,86.45,10.59,-33.12,31.81,-2.95,-0.55,-37.95,50.44,-45.99,-10.22,-48.84,-50.97,-95.21,-621.96,138.32,11.92,-38.83,-494.35,100.00,,
IncomeCostOfSales_sq,,23.45,11.71,12.22,-41.23,38.82,19.76,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
