,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,349947000,480287000,298920000,307628000,412089000,527912000,434528000,422991000,505177000,701281000,554863000,582047000,608405000,656951000,466297000,430233000,495539000,483246000,487425000,500645000,634585000,540095000,572061000,669308000,1023304000,787752000,752163000,827372000,1147902000,1131910000,989212000,1140091000,1487970000,1323596000,1197370000,1291402000,1632821000,1402711000,1157166000,1171456000,1580801000,1089529000,805631000,665653000,604024000,434229000,360594000,408003000,497289000,391021000,389460000
IncomeRevenues_yy,,,,,17.76,9.92,45.37,37.50,22.59,32.84,27.69,37.60,20.43,-6.32,-15.96,-26.08,-18.55,-2.48,,,,11.76,17.36,33.69,61.26,45.85,31.48,23.62,12.18,43.69,31.52,37.80,29.63,16.93,21.04,13.27,9.73,5.98,-3.36,-9.29,-3.19,-22.33,-30.38,-43.18,-61.79,-60.15,-55.24,-38.71,-17.67,-9.95,8.01
IncomeRevenues_sy,,,,,11.57,26.41,27.58,28.82,35.04,17.75,17.48,7.86,5.41,22.13,9.78,-3.85,-3.56,12.84,,,,22.16,17.24,11.98,14.00,9.18,0.09,-8.34,-5.27,-4.38,6.22,8.31,3.77,5.62,8.90,6.14,0.94,11.28,1.79,2.12,-1.20,-5.84,8.04,12.38,8.14,11.60,8.36,12.03,12.08,7.52,16.57
IncomeRevenues_qq,,37.25,-37.76,2.91,33.96,28.11,-17.69,-2.66,19.43,38.82,-20.88,4.90,4.53,7.98,-29.02,-7.73,15.18,,0.86,2.71,26.75,-14.89,5.92,17.00,52.89,-23.02,-4.52,10.00,38.74,-1.39,-12.61,15.25,30.51,-11.05,-9.54,7.85,26.44,-14.09,-17.51,1.23,34.94,-31.08,-26.06,-17.37,-9.26,-28.11,-16.96,13.15,21.88,-21.37,-0.40
IncomeRevenues_sq,,10.78,0.12,14.42,-10.10,28.11,8.84,11.29,-8.89,5.38,5.90,7.72,4.46,9.12,-1.54,-6.06,-12.67,,19.34,10.57,-2.23,1.00,10.57,4.87,-1.28,-6.65,4.06,5.76,-3.59,-9.28,12.36,1.39,-6.83,-2.51,13.88,2.34,-7.27,3.76,6.32,-0.38,-3.70,-4.04,15.77,-0.34,-0.14,-4.55,4.54,4.73,1.58,1.11,2.19
IncomeCostOfSales,332823000,440416000,287521000,283339000,389983000,492375000,406130000,390972000,468933000,643834000,510295000,535104000,546033000,575292000,421688000,394113000,451062000,445820000,443484000,468717000,581226000,502665000,530275000,623071000,958255000,736686000,698543000,773756000,1079398000,1074310000,917607000,1071413000,1388745000,1246848000,1121081000,1215532000,1533444000,1332270000,1088515000,1102650000,1500415000,1022183000,746433000,629612000,596709000,409596000,328280000,380024000,458873000,359849000,359268000
IncomeCostOfSales_yy,,,,,17.17,11.80,41.25,37.99,20.24,30.76,25.65,36.87,16.44,-10.65,-17.36,-26.35,-17.39,-1.16,,,,12.75,19.57,32.93,64.87,46.56,31.73,24.18,12.64,45.83,31.36,38.47,28.66,16.06,22.17,13.45,10.42,6.85,-2.90,-9.29,-2.15,-23.28,-31.43,-42.90,-60.23,-59.93,-56.02,-39.64,-23.10,-12.15,9.44
IncomeCostOfSales_sy,,,,,9.35,14.69,24.14,27.08,44.87,21.49,26.48,9.28,4.48,22.10,11.48,-4.22,-16.19,10.74,,,,24.08,18.13,10.44,14.31,10.64,7.20,0.63,0.11,2.26,7.05,6.71,4.68,4.51,2.38,4.28,-0.79,7.99,-2.17,1.30,-6.12,-8.28,3.21,6.26,7.27,12.24,8.23,13.10,9.74,5.60,12.01
IncomeCostOfSales_qq,,32.33,-34.72,-1.45,37.64,26.26,-17.52,-3.73,19.94,37.30,-20.74,4.86,2.04,5.36,-26.70,-6.54,14.45,,-0.52,5.69,24.00,-13.52,5.49,17.50,53.80,-23.12,-5.18,10.77,39.50,-0.47,-14.59,16.76,29.62,-10.22,-10.09,8.42,26.15,-13.12,-18.30,1.30,36.07,-31.87,-26.98,-15.65,-5.23,-31.36,-19.85,15.76,20.75,-21.58,-0.16
IncomeCostOfSales_sq,,11.21,2.77,12.06,-12.54,24.35,7.88,14.74,-3.48,7.52,6.56,6.56,1.12,4.51,0.28,-4.14,-20.92,,19.51,11.69,-4.29,9.51,11.78,4.29,3.66,-10.64,5.26,0.32,-3.28,-9.54,12.90,1.64,-6.02,-6.07,9.36,-1.31,-7.99,-4.06,13.07,-0.62,-2.09,-4.52,16.79,-2.36,1.22,-2.07,8.59,4.03,1.08,-3.30,1.98
