,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1108000,2908000,6062000,6375000,10316000,11309000,11514000,11463000,13330000,16170000,17875000,19944000,15709000,18546000,20869000,21610000,22686000,23860000,30673000,21491000,25521000,27637000
IncomeRevenues_yy,,,,,831.01,288.85,89.92,79.81,29.22,42.99,55.25,73.99,17.84,14.69,16.75,8.36,44.41,28.65,46.98,-0.55,12.50,15.83
IncomeRevenues_sy,,,,,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,162.48,108.46,5.15,61.82,9.63,1.81,-0.44,16.29,21.31,10.54,11.57,-21.23,18.06,12.53,3.55,4.98,5.17,28.55,-29.94,18.75,8.29
IncomeRevenues_sq,,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,54000,-215000,-235000,-815000,381000,81000,702000,27000,2138000,2354000,2395000,3231000,1082000,353000,248000,-899000,101000,-903000,86000,-796000,364000,534000
IncomeGrossProfit_yy,,,,,600.06,137.83,398.50,103.30,461.30,2795.64,241.29,11901.81,-49.41,-84.99,-89.65,-127.82,-90.66,-355.53,-65.32,11.46,260.40,159.14
IncomeGrossProfit_sy,,,,,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-494.89,-9.42,-246.56,146.75,-78.66,763.32,-96.16,7841.24,10.09,1.75,34.92,-66.53,-67.33,-29.82,-462.50,111.23,-994.06,109.52,-1025.58,145.73,46.70
IncomeGrossProfit_sq,,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,19000,333000,667000,838000,1975000,1563000,811000,438000,528000,628000,1045000,785000,1051000,1943000,729000,3138000,567000,788000,340000,2755000,739000,681000
IncomeOtherOperatingIncome_yy,,,,,10198.98,369.28,21.62,-47.68,-73.28,-59.82,28.87,79.06,99.13,209.37,-30.24,299.71,-46.05,-59.45,-53.36,-12.21,30.34,-13.58
IncomeOtherOperatingIncome_sy,,,,,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,1636.61,100.17,25.67,135.75,-20.87,-48.12,-45.93,20.37,19.01,66.39,-24.88,33.86,84.89,-62.48,330.45,-81.93,38.98,-56.85,710.29,-73.18,-7.85
IncomeOtherOperatingIncome_sq,,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,16000,28000,6000,224000,71000,65000,159000,-8000,92000,183000,430000,-113000,227000,337000,437000,374000,69000,162000,166000,-209000,384000,275000
IncomeOtherOperatingCosts_yy,,,,,354.97,130.86,2588.40,-103.59,30.13,180.42,170.73,-1307.78,147.64,84.17,1.54,431.09,-69.65,-51.87,-62.01,-155.88,456.52,69.75
IncomeOtherOperatingCosts_sy,,,,,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,82.05,-79.06,3684.41,-68.47,-7.63,143.89,-105.05,1244.32,99.06,135.46,-126.25,301.29,48.04,29.82,-14.42,-81.55,134.78,2.47,-225.90,283.73,-28.39
IncomeOtherOperatingCosts_sq,,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,58000,90000,426000,-201000,2286000,1579000,1354000,473000,2574000,2799000,3010000,4129000,1905000,1960000,540000,1865000,599000,-277000,260000,2168000,719000,940000
IncomeEBIT_yy,,,,,3835.39,1654.59,217.97,336.02,12.61,77.24,122.33,772.29,-25.98,-29.98,-82.06,-54.83,-68.56,-114.13,-51.85,16.25,20.03,439.35
IncomeEBIT_sy,,,,,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,54.96,373.01,-147.11,1239.65,-30.91,-14.28,-65.03,443.74,8.74,7.53,37.20,-53.86,2.87,-72.45,245.37,-67.88,-146.24,193.86,733.85,-66.84,30.74
IncomeEBIT_sq,,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,9000,7000,-30000,24000,10000,5000,-10000,60000,1000,9000,18000,3153000,14000,-5000,5000,81000,22000,1000,7000,162000,34000,-1000
IncomeFinanceIncome_yy,,,,,8.17,-37.11,65.32,156.92,-90.27,94.12,275.05,5112.77,1295.82,-151.13,-72.35,-97.43,60.83,121.37,40.00,100.00,54.55,-200.00
IncomeFinanceIncome_sy,,,,,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,-19.47,-497.41,179.02,-57.23,-53.18,-319.16,685.44,-98.38,833.78,97.62,17334.11,-99.57,-134.21,206.86,1520.00,-72.84,-95.45,600.00,2214.29,-79.01,-102.94
IncomeFinanceIncome_sq,,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,34000,91000,302000,442000,463000,516000,554000,478000,456000,531000,715000,819000,802000,712000,426000,755000,528000,1111000,395000,949000,488000,794000
IncomeFinanceCosts_yy,,,,,1268.43,464.79,83.40,8.17,-1.65,2.75,29.06,71.26,76.09,34.16,-40.43,-7.78,-34.18,56.09,-7.28,25.70,-7.58,-28.53
IncomeFinanceCosts_sy,,,,,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,170.09,230.48,46.27,4.81,11.47,7.31,-13.73,-4.70,16.46,34.79,14.48,-2.02,-11.27,-40.15,77.23,-30.07,110.42,-64.45,140.25,-48.58,62.70
IncomeFinanceCosts_sq,,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,235000,190000,140000,122000,85000,83000,66000,29000,66000,-181000,317000,,-12000,,,,,,,,,
IncomeOtherIncome_yy,,,,,-63.57,-56.53,-52.97,-76.20,-22.70,-319.60,382.53,-100.00,-118.12,100.00,-100.00,,100.00,,,,,
IncomeOtherIncome_sy,,,,,18.22,100.00,100.00,-46.96,-22.70,-100.00,141.26,-52.10,-69.56,38.24,-93.45,,25.70,,,,,
IncomeOtherIncome_qq,,-19.06,-26.33,-12.48,-30.19,-3.41,-20.30,-55.72,126.76,-374.39,275.12,-100.00,,100.00,,,,,,,,
