,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7716000,3697000,4825000,3828000,5671000,5974000,3837000,4734000,6715000,7101000,4459000,4603000,6241000,6311000,4715000,4495000,5784000,5505000,5913000,3925000,5518000,4761000,4135000,4974000,6262000,1893000,4193000,4530000,6221000,4986000,4474000,4331000,5962000,5697000,5453000,4960000,7471000,6509000,6654000,4978000
IncomeRevenues_yy,,,,,-26.50,61.59,-20.48,23.67,18.41,18.87,16.21,-2.77,-7.06,-11.13,5.74,-2.35,-7.32,-12.77,25.41,-12.68,-4.60,-13.51,-30.07,26.73,13.48,-60.24,1.40,-8.93,-0.65,163.39,6.70,-4.39,-4.16,14.26,21.88,14.52,25.31,14.25,22.02,0.36
IncomeRevenues_sy,,,,,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35
IncomeRevenues_qq,,-52.09,30.51,-20.66,48.15,5.34,-35.77,23.38,41.85,5.75,-37.21,3.23,35.59,1.12,-25.29,-4.67,28.68,-4.82,7.41,-33.62,40.59,-13.72,-13.15,20.29,25.89,-69.77,121.50,8.04,37.33,-19.85,-10.27,-3.20,37.66,-4.44,-4.28,-9.04,50.62,-12.88,2.23,-25.19
IncomeRevenues_sq,,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52
IncomeCostOfSales,5778000,2405000,,,,12179000,2253000,2672000,3963000,5171000,2659000,2731000,4031000,4668000,3062000,2922000,3506000,4344000,3795000,2493000,3454000,3330000,2381000,2985000,3665000,3766000,2584000,2793000,3894000,4336000,2806000,2688000,3725000,4828000,3637000,3310000,4933000,5720000,4173000,3092000
IncomeCostOfSales_yy,,,,,-100.00,406.40,,,,-57.54,18.02,2.21,1.72,-9.73,15.16,6.99,-13.02,-6.94,23.94,-14.68,-1.48,-23.34,-37.26,19.74,6.11,13.09,8.53,-6.43,6.25,15.14,8.59,-3.76,-4.34,11.35,29.62,23.14,32.43,18.48,14.74,-6.59
IncomeCostOfSales_sy,,,,,-20.42,-4.28,,,,27.44,34.70,26.88,26.06,14.72,14.73,9.38,0.67,-1.58,-10.53,-1.52,0.30,2.70,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94
IncomeCostOfSales_qq,,-58.38,-100.00,,,,-81.50,18.60,48.32,30.48,-48.58,2.71,47.60,15.80,-34.40,-4.57,19.99,23.90,-12.64,-34.31,38.55,-3.59,-28.50,25.37,22.78,2.76,-31.39,8.09,39.42,11.35,-35.29,-4.21,38.58,29.61,-24.67,-8.99,49.03,15.95,-27.05,-25.90
IncomeCostOfSales_sq,,-19.82,-8.75,,,,9.64,6.32,8.59,3.55,10.69,2.71,3.12,6.31,9.92,-0.93,1.40,-2.52,2.43,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26
IncomeDistributionExpenses,,,,,,2333000,528000,694000,717000,758000,522000,546000,575000,611000,581000,643000,577000,645000,543000,521000,560000,644000,545000,552000,632000,710000,550000,602000,649000,652000,631000,652000,645000,795000,787000,844000,996000,948000,805000,802000
IncomeDistributionExpenses_yy,,,,,,,,,,-67.51,-1.14,-21.33,-19.80,-19.39,11.30,17.77,0.35,5.56,-6.54,-18.97,-2.95,-0.16,0.37,5.95,12.86,10.25,0.92,9.06,2.69,-8.17,14.73,8.31,-0.62,21.93,24.72,29.45,54.42,19.25,2.29,-4.98
IncomeDistributionExpenses_sy,,,,,,,,,,5.47,21.44,9.30,18.88,10.23,31.44,18.42,2.79,5.56,-7.92,-3.95,5.98,5.46,7.13,8.62,5.08,8.22,-1.01,4.11,2.64,5.01,6.76,-2.70,-1.09,10.09,2.58,8.16,11.96,8.94,3.42,0.44
IncomeDistributionExpenses_qq,,,,,,,-77.37,31.44,3.31,5.72,-31.13,4.60,5.31,6.26,-4.91,10.67,-10.26,11.79,-15.81,-4.05,7.49,15.00,-15.37,1.28,14.49,12.34,-22.54,9.45,7.81,0.46,-3.22,3.33,-1.07,23.26,-1.01,7.24,18.01,-4.82,-15.08,-0.37
IncomeDistributionExpenses_sq,,,,,,,-8.48,12.74,8.46,6.36,-7.39,3.87,12.57,6.26,1.31,3.25,-8.35,7.39,-12.64,6.08,-2.07,11.60,-8.28,11.40,-4.17,10.91,-12.24,11.78,-1.84,8.60,-11.66,9.22,-6.68,9.50,-6.94,9.29,0.53,7.78,-15.38,11.94
IncomeAdministrativExpenses,,,,,,2066000,523000,505000,579000,566000,572000,721000,613000,597000,589000,758000,783000,836000,791000,863000,737000,801000,795000,896000,700000,846000,1119000,1049000,923000,914000,886000,994000,961000,1072000,514000,614000,520000,647000,572000,889000
IncomeAdministrativExpenses_yy,,,,,,,,,,-72.60,9.37,42.77,5.87,5.48,2.97,5.13,27.73,40.03,34.30,13.85,-5.87,-4.19,0.51,3.82,-5.02,5.62,40.75,17.08,31.86,8.04,-20.82,-5.24,4.12,17.29,-41.99,-38.23,-45.89,-39.65,11.28,44.79
IncomeAdministrativExpenses_sy,,,,,,,,,,4.32,10.62,5.58,8.25,15.09,3.37,5.53,3.46,-1.35,-1.59,7.91,2.07,-5.34,-0.11,-4.12,0.39,11.22,2.10,2.64,0.94,4.07,0.15,-2.48,4.88,-2.48,4.69,2.25,-1.40,2.53,9.42,9.05
IncomeAdministrativExpenses_qq,,,,,,,-74.69,-3.44,14.65,-2.25,1.06,26.05,-14.98,-2.61,-1.34,28.69,3.30,6.77,-5.38,9.10,-14.60,8.68,-0.75,12.70,-21.88,20.86,32.27,-6.26,-12.01,-0.98,-3.06,12.19,-3.32,11.55,-52.05,19.46,-15.31,24.42,-11.59,55.42
