,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4356000,3669000,2040000,3234000,4143000,3482000,2004000,5628000,8214000,6814000,5944000,10553000,15240000,15194000,11609000,13414000,13044000,11442000,8751000,10900000,18533000,16053000,12974000,18008000,18530000,15774000,12802000,15135000,18050000,16638000,22973000,50427000,53048000,50165000,48741000,57680000,62622000,56521000,49961000,63088000
IncomeRevenues_yy,,,,,-4.89,-5.10,-1.76,74.03,98.26,95.69,196.61,87.51,85.54,122.98,95.31,27.11,-14.41,-24.69,-24.62,-18.74,42.08,40.30,48.26,65.21,-0.02,-1.74,-1.33,-15.95,-2.59,5.48,79.45,233.18,193.89,201.51,112.17,14.38,18.05,12.67,2.50,9.38
IncomeRevenues_sy,,,,,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,-15.77,-44.40,58.53,28.11,-15.95,-42.45,180.84,45.95,-17.04,-12.77,77.54,44.41,-0.30,-23.59,15.55,-2.76,-12.28,-23.52,24.56,70.03,-13.38,-19.18,38.80,2.90,-14.87,-18.84,18.22,19.26,-7.82,38.08,119.51,5.20,-5.43,-2.84,18.34,8.57,-9.74,-11.61,26.27
IncomeRevenues_sq,,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,,11795000,,5000000,,11067000,1585000,5012000,6990000,6288000,5131000,8654000,12146000,12220000,10156000,12267000,11862000,10124000,7981000,9886000,14722000,14105000,12164000,15820000,15895000,13894000,11945000,13421000,16173000,14697000,20447000,43754000,45287000,41709000,43306000,49767000,53492000,49964000,45151000,54493000
IncomeCostOfSales_yy,,,,,,-6.17,,0.24,,-43.18,223.72,72.67,73.76,94.34,97.93,41.75,-2.34,-17.15,-21.42,-19.41,24.11,39.32,52.41,60.02,7.97,-1.50,-1.80,-15.16,1.75,5.78,71.18,226.01,180.02,183.79,111.80,13.74,18.12,19.79,4.26,9.50
IncomeCostOfSales_sy,,,,,,6.15,,35.08,,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,,-100.00,,-100.00,,-85.68,216.21,39.47,-10.04,-18.40,68.66,40.35,0.61,-16.89,20.79,-3.30,-14.65,-21.17,23.87,48.92,-4.19,-13.76,30.06,0.47,-12.59,-14.03,12.36,20.51,-9.13,39.12,113.99,3.50,-7.90,3.83,14.92,7.48,-6.60,-9.63,20.69
IncomeCostOfSales_sq,,,-16.41,,2.10,,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
