,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,10000,109000,58000,55000,95000,465000,57000,353000,268000,304000,1064000,1699000,275000,264000,173000,43000,44000,306000,109000,413000,650000,311000,256000,712000,1219000,285000,1748000,462000,522000,489000,394000,592000,7232000,4973000,9374000,17212000,6648000,8019000,7939000,-7102000,11911000,10759000,-4021000,11401000,5834000,5543000,7619000,-5211000,7533000,7404000,13016000,-1852000,9091000,996000,900000
IncomeRevenues_yy,,,,,850.00,326.61,-1.72,541.82,182.11,-34.62,1766.67,381.30,2.61,-13.16,-83.74,-97.47,-84.00,15.91,-36.99,860.47,1377.27,1.63,134.86,72.40,87.54,-8.36,582.81,-35.11,-57.18,71.58,-77.46,28.14,1285.51,916.97,2279.22,2807.50,-8.08,61.25,-15.31,-141.26,79.17,34.17,-150.64,260.53,-51.02,-48.48,289.50,-145.71,29.11,33.56,70.84,64.46,20.69,-86.55,-93.09
IncomeRevenues_sy,,,,,6.10,100.00,29.92,100.00,66.32,-18.41,39.22,50.11,18.90,13.07,-5.19,-9.98,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05,-40.93
IncomeRevenues_qq,,990.00,-46.79,-5.17,72.73,389.47,-87.74,519.30,-24.08,13.43,250.00,59.68,-83.81,-4.00,-34.47,-75.14,2.33,595.45,-64.38,278.90,57.38,-52.15,-17.68,178.12,71.21,-76.62,513.33,-73.57,12.99,-6.32,-19.43,50.25,1121.68,-31.24,88.50,83.62,-61.38,20.62,-1.00,-189.46,267.73,-9.67,-137.37,383.56,-48.82,-4.99,37.44,-168.40,244.55,-1.71,75.80,-114.23,590.92,-89.05,-9.67
IncomeRevenues_sq,,-3.30,41.83,-8.06,10.05,6.76,-5.56,97.14,-28.10,13.43,0.63,17.74,-8.06,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32,-9.68
IncomeCostOfSales,,5000,28000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,48000,390000,12000,1008000,-530000,375000,474000,,,,6000,59000,139000,42000,-186000,0,1000,62000,63000,5333000,3494000,1532000
IncomeCostOfSales_yy,,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.94,-1196.26,-3.83,3737.38,-100.00,100.00,-100.00,-98.83,,,,-3455.42,-99.92,-99.31,46.78,133.92,10666320.31,363855.20,2386.77
IncomeCostOfSales_sy,,,,,,3.42,-50.31,-9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,-1.52,-27.04,-3.15,-10.96,-53.08,-14.08,6.82,,,,-15.12,-20.33,-0.74,-11.98,-10.06,-15.38,-2.38,2386.77
IncomeCostOfSales_qq,,,460.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.53,705.29,-96.83,8052.99,-152.64,170.64,26.57,-100.00,,,,968.59,134.59,-69.79,-543.02,100.03,1820.00,6315.62,2.39,8357.36,-34.49,-56.16
IncomeCostOfSales_sq,,,88.50,,-27.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34,6.22,-3.86,3.97,5.74,-20.21,7.66,-8.66,,,,-17.94,-2.86,-0.72,-9.64,-10.02,-3.41,-13.38,-1.34,-9.86,5.26,-56.16
