,2011/Q1,2011/Q2,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,285000,468000,761000,773000,936000,2611000,1420000,1364000,2173000,3094000,2759000,2785000,3946000,4197000,4924000,3133000,4666000,4593000,6633000,6843000,5416000,3861000,4459000,5003000,4376000,3817000,3359000,4444000
IncomeRevenues_yy,,,167.02,65.17,,,86.65,76.51,132.18,18.52,94.27,104.12,81.59,35.65,78.46,12.49,18.24,9.43,34.70,118.42,16.07,-15.93,-32.77,-26.89,-19.21,-1.14,-24.68,-11.16
IncomeRevenues_sy,,,12.14,1.88,,,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,64.21,,1.58,21.09,178.90,-45.59,-3.94,59.28,42.37,-10.82,0.93,41.70,6.35,17.33,-36.38,48.94,-1.58,44.42,3.17,-20.85,-28.71,15.50,12.19,-12.53,-12.77,-12.00,32.31
IncomeRevenues_sq,,7.69,,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,,,,,2670000,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,28.34,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-225000,21000,-13000,27000,-214000,871000,152000,26000,204000,704000,447000,505000,875000,1700000,952000,923000,586000,537000,349000,413000,-526000,-776000,-363000,-107000,-518000,-940000,-1383000,-1154000
