,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
IncomeRevenues,44177000,38187000,45572000,49909000,47621000,39878000,41134000,47576000,47488000,35924000,43163000,46060000,39893000,33154000,36395000,43911000,47525000,38483000,39573000,46360000,46384000,38509000,44447000,59329000,46036000,35560000,28469000,37615000,35004000,20024000,10826000,11805000,10208000,9833000,11734000,12880000,9857000,9245000,8882000,12449000,9123000,9333000,10265000,8508000,8691000,8213000,4066000,2092000,850000
IncomeRevenues_yy,,,,,7.80,4.43,-9.74,-4.67,-0.28,-9.92,4.93,-3.19,-15.99,-7.71,-15.68,-4.67,19.13,16.07,8.73,5.58,-2.40,0.07,12.32,27.97,-0.75,-7.66,-35.95,-36.60,-23.96,-43.69,-61.97,-68.62,-70.84,-50.89,8.39,9.11,-3.44,-5.98,-24.31,-3.35,-7.45,0.95,15.57,-31.66,-4.74,-12.00,-60.39,-75.41,-90.22
IncomeRevenues_sy,,,,,7.51,10.32,11.53,17.58,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14
IncomeRevenues_qq,,-13.56,19.34,9.52,-4.58,-16.26,3.15,15.66,-0.18,-24.35,20.15,6.71,-13.39,-16.89,9.78,20.65,8.23,-19.03,2.83,17.15,0.05,-16.98,15.42,33.48,-22.41,-22.76,-19.94,32.13,-6.94,-42.80,-45.93,9.04,-13.53,-3.67,19.33,9.77,-23.47,-6.21,-3.93,40.16,-26.72,2.30,9.99,-17.12,2.15,-5.50,-50.49,-48.55,-59.37
IncomeRevenues_sq,,-0.16,11.90,9.52,-9.48,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66
IncomeCostOfSales,34963000,30660000,39300000,41561000,39183000,33353000,33947000,37224000,38591000,29871000,35080000,35468000,29276000,23900000,26861000,31058000,38017000,31412000,28833000,31283000,35701000,33289000,37695000,48390000,38522000,30352000,22696000,30858000,30814000,17790000,10738000,11370000,8753000,8325000,9733000,10082000,8241000,7624000,7236000,11024000,7439000,7687000,8783000,7245000,7252000,6619000,4159000,7096000,889000
IncomeCostOfSales_yy,,,,,12.07,8.78,-13.62,-10.44,-1.51,-10.44,3.34,-4.72,-24.14,-19.99,-23.43,-12.43,29.86,31.43,7.34,0.72,-6.09,5.98,30.74,54.68,7.90,-8.82,-39.79,-36.23,-20.01,-41.39,-52.69,-63.15,-71.59,-53.20,-9.36,-11.33,-5.85,-8.42,-25.65,9.34,-9.73,0.83,21.38,-34.28,-2.51,-13.89,-52.65,-2.06,-87.74
IncomeCostOfSales_sy,,,,,12.07,8.78,4.92,12.82,17.72,15.58,26.32,7.52,17.44,4.08,4.13,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10
IncomeCostOfSales_qq,,-12.31,28.18,5.75,-5.72,-14.88,1.78,9.65,3.67,-22.60,17.44,1.11,-17.46,-18.36,12.39,15.62,22.41,-17.37,-8.21,8.50,14.12,-6.76,13.24,28.37,-20.39,-21.21,-25.22,35.96,-0.14,-42.27,-39.64,5.89,-23.02,-4.89,16.91,3.59,-18.26,-7.49,-5.09,52.35,-32.52,3.33,14.26,-17.51,0.10,-8.73,-37.17,70.62,-87.47
IncomeCostOfSales_sq,,-13.80,28.18,4.32,-6.64,2.28,10.52,18.62,-9.92,7.91,13.34,6.09,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05
IncomeDistributionExpenses,6319000,7315000,7276000,10577000,5486000,5052000,5995000,8153000,5506000,6627000,5953000,8304000,6718000,6841000,7478000,8542000,7145000,7552000,7903000,10530000,9024000,8407000,8183000,12020000,8519000,8385000,4430000,6472000,5540000,5128000,2105000,1525000,843000,490000,800000,1343000,703000,778000,894000,1102000,856000,982000,832000,870000,745000,825000,864000,1097000,196000
IncomeDistributionExpenses_yy,,,,,-13.18,-30.94,-17.61,-22.92,0.36,31.18,-0.70,1.85,22.01,3.23,25.62,2.87,6.36,10.39,5.68,23.27,26.30,11.32,3.54,14.15,-5.60,-0.26,-45.86,-46.16,-34.97,-38.84,-52.48,-76.44,-84.78,-90.44,-62.00,-11.93,-16.61,58.78,11.75,-17.94,21.76,26.22,-6.94,-21.05,-12.97,-15.99,3.85,26.09,-73.69
IncomeDistributionExpenses_sy,,,,,21.28,4.75,24.80,17.36,37.43,21.84,14.44,7.95,10.24,34.56,25.27,7.29,12.17,8.62,5.68,11.91,13.79,10.38,6.85,20.70,4.54,5.28,-4.18,-9.34,11.99,17.57,14.82,17.94,-5.38,-1.04,-0.80,-0.97,-4.71,4.47,4.30,6.40,-0.96,2.86,-1.91,-2.58,-2.89,-4.06,3.86,1.80,5.68
IncomeDistributionExpenses_qq,,15.76,-0.53,45.37,-48.13,-7.91,18.67,36.00,-32.47,20.36,-10.17,39.49,-19.10,1.83,9.31,14.23,-16.35,5.70,4.65,33.24,-14.30,-6.84,-2.66,46.89,-29.13,-1.57,-47.17,46.09,-14.40,-7.44,-58.95,-27.55,-44.72,-41.87,63.27,67.88,-47.65,10.67,14.91,23.27,-22.32,14.72,-15.27,4.57,-14.37,10.74,4.73,26.97,-82.13
