,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,14438000,17728000,23541000,22596000,23968000,20060000,23607000,30724000,19466000,22639000,23883000,27657000,23345000,26794000,31259000,28226000,24647000,29645000,33062000,33217000,29645000,33862000,37485000,40129000,37721000,41467000,40393000,36908000,33691000,38989000
IncomeCostOfSales,14258000,,,,,,,,,39675000,10669000,8070000,12357000,15421000,9524000,10739000,12992000,15037000,13533000,13152000,16106000,15122000,17088000,16205000,17049000,13513000,13449000,12922000,,
IncomeDistributionExpenses,,,,,,,,304000,152000,39720000,9480000,13644000,13983000,9008000,11686000,14664000,16143000,16818000,15046000,17380000,18118000,19741000,17821000,19315000,17342000,17101000,16331000,18303000,,
IncomeAdministrativExpenses,,,,,,,,,,9244000,2698000,2815000,2804000,2835000,3200000,3932000,3931000,3182000,4186000,3993000,4297000,3912000,4203000,4515000,4356000,3910000,4054000,3789000,180000,1007000
IncomeGrossProfit,2275000,949000,523000,803000,771000,3537000,-264000,912000,952000,2950000,498000,2265000,2115000,962000,237000,310000,-4000,-1820000,-3120000,-663000,-1036000,1354000,-1391000,1432000,1646000,2384000,-143000,3975000,88000,222000
IncomeOtherOperatingIncome,80000,199000,302000,87000,221000,-243000,361000,262000,154000,456000,787000,432000,424000,1077000,639000,429000,519000,663000,526000,396000,635000,636000,816000,586000,481000,699000,361000,419000,5000,76000
IncomeOtherOperatingCosts,57000,289000,240000,77000,170000,207000,58000,152000,295000,548000,517000,418000,579000,141000,130000,282000,332000,964000,220000,357000,454000,1026000,477000,827000,1126000,462000,216000,432000,263000,1153000
IncomeEBIT,2299000,859000,584000,812000,821000,3087000,39000,1023000,810000,2858000,768000,2279000,1960000,1898000,746000,457000,183000,-2121000,-2814000,-624000,-855000,964000,-1052000,1191000,1001000,2621000,2000,3962000,443000,312000
IncomeFinanceIncome,-597000,850000,20000,128000,1000,11000,16000,13000,14000,417000,22000,20000,65000,272000,26000,93000,27000,60000,342000,391000,426000,-41000,333000,439000,5285000,49000,251000,-88000,17000,208000
IncomeFinanceCosts,2941000,-2793000,467000,-99000,244000,203000,294000,276000,237000,714000,562000,301000,572000,187000,585000,385000,111000,251000,331000,300000,283000,368000,350000,285000,176000,673000,258000,283000,,
